Frequency,Z,?°
1 kHz,20.602 m?,8.9542 °
2 kHz,20.4109 m?,17.715 °
3 kHz,20.0408 m?,28.4464 °
4 kHz,20.2246 m?,41.5178 °
5 kHz,21.6013 m?,55.2657 °
6 kHz,24.5938 m?,68.1332 °
7 kHz,29.2155 m?,78.5958 °
8 kHz,34.5727 m?,86.2035 °
9 kHz,41.3073 m?,91.2912 °
10 kHz,48.4642 m?,95.0369 °
11 kHz,56.2854 m?,97.4105 °
12 kHz,64.4316 m?,99.2682 °
13 kHz,72.8242 m?,100.198 °
14 kHz,81.4349 m?,100.786 °
15 kHz,90.0726 m?,101.372 °
16 kHz,98.7445 m?,101.396 °
17 kHz,107.412 m?,101.385 °
18 kHz,116.222 m?,101.402 °
19 kHz,125.186 m?,101.387 °
20 kHz,134.238 m?,101.369 °
21 kHz,142.921 m?,101.142 °
22 kHz,151.742 m?,100.857 °
23 kHz,160.536 m?,100.643 °
24 kHz,169.602 m?,100.433 °
25 kHz,178.618 m?,100.245 °
26 kHz,187.293 m?,99.9986 °
27 kHz,196.03 m?,99.7367 °
28 kHz,204.779 m?,99.4852 °
29 kHz,213.6 m?,99.2549 °
30 kHz,222.445 m?,99.0192 °
31 kHz,230.874 m?,98.7851 °
32 kHz,239.379 m?,98.5489 °
33 kHz,248.074 m?,98.3434 °
34 kHz,256.534 m?,98.1198 °
35 kHz,265.294 m?,97.9192 °
36 kHz,273.784 m?,97.6984 °
37 kHz,282.489 m?,97.4859 °
38 kHz,291.137 m?,97.3095 °
39 kHz,299.861 m?,97.112 °
40 kHz,308.674 m?,96.9158 °
41 kHz,317.047 m?,96.7282 °
42 kHz,325.535 m?,96.5715 °
43 kHz,333.893 m?,96.4096 °
44 kHz,342.431 m?,96.2124 °
45 kHz,350.767 m?,96.0634 °
46 kHz,359.312 m?,95.9199 °
47 kHz,367.803 m?,95.7451 °
48 kHz,376.272 m?,95.6039 °
49 kHz,384.814 m?,95.4229 °
50 kHz,393.28 m?,95.3007 °
51 kHz,401.61 m?,95.1535 °
52 kHz,409.852 m?,95.0206 °
53 kHz,418.131 m?,94.8957 °
54 kHz,426.513 m?,94.7677 °
55 kHz,434.828 m?,94.6462 °
56 kHz,443.1 m?,94.5149 °
57 kHz,451.372 m?,94.3961 °
58 kHz,459.711 m?,94.2803 °
59 kHz,468.125 m?,94.1646 °
60 kHz,476.303 m?,94.0469 °
61 kHz,484.52 m?,93.9469 °
62 kHz,492.799 m?,93.8471 °
63 kHz,500.938 m?,93.7446 °
64 kHz,509.124 m?,93.6541 °
65 kHz,517.267 m?,93.5513 °
66 kHz,525.414 m?,93.457 °
67 kHz,533.643 m?,93.3587 °
68 kHz,541.77 m?,93.2641 °
69 kHz,549.882 m?,93.1764 °
70 kHz,558.054 m?,93.0852 °
71 kHz,566.186 m?,92.9973 °
72 kHz,574.397 m?,92.9059 °
73 kHz,582.453 m?,92.8167 °
74 kHz,590.678 m?,92.7356 °
75 kHz,598.73 m?,92.6504 °
76 kHz,606.889 m?,92.5654 °
77 kHz,614.999 m?,92.4829 °
78 kHz,623.09 m?,92.3921 °
79 kHz,631.214 m?,92.3144 °
80 kHz,639.237 m?,92.2351 °
81 kHz,647.316 m?,92.1693 °
82 kHz,655.3 m?,92.1015 °
83 kHz,663.263 m?,92.0324 °
84 kHz,671.293 m?,91.9722 °
85 kHz,679.291 m?,91.9046 °
86 kHz,687.264 m?,91.8476 °
87 kHz,695.291 m?,91.781 °
88 kHz,703.249 m?,91.7172 °
89 kHz,711.144 m?,91.6547 °
90 kHz,719.164 m?,91.5981 °
91 kHz,727.04 m?,91.5403 °
92 kHz,735.012 m?,91.4756 °
93 kHz,743.004 m?,91.4109 °
94 kHz,750.867 m?,91.3616 °
95 kHz,758.891 m?,91.3005 °
96 kHz,766.735 m?,91.24 °
97 kHz,774.683 m?,91.1925 °
98 kHz,782.565 m?,91.1359 °
99 kHz,790.422 m?,91.0752 °
100 kHz,798.35 m?,91.0215 °
