Frequency,Z,?°
0.02 kHz,10.3506 m?,0.2375 °
0.04 kHz,10.3888 m?,0.5137 °
0.06 kHz,10.6827 m?,0.6041 °
0.08 kHz,10.3689 m?,1.2315 °
0.1 kHz,10.4225 m?,0.6928 °
0.12 kHz,10.3573 m?,0.8349 °
0.14 kHz,10.014 m?,3.8037 °
0.16 kHz,9.9398 m?,4.3772 °
0.18 kHz,10.1772 m?,2.9335 °
0.2 kHz,10.4202 m?,1.5078 °
0.22 kHz,10.4146 m?,2.0634 °
0.24 kHz,10.4438 m?,2.6767 °
0.26 kHz,10.4593 m?,2.7658 °
0.28 kHz,10.4478 m?,2.3554 °
0.3 kHz,10.4239 m?,2.0088 °
0.32 kHz,10.4522 m?,1.9781 °
0.34 kHz,10.4589 m?,2.0639 °
0.36 kHz,10.454 m?,2.1762 °
0.38 kHz,10.4551 m?,2.2512 °
0.4 kHz,10.4422 m?,2.308 °
0.42 kHz,10.4429 m?,2.448 °
0.44 kHz,10.4423 m?,2.4783 °
0.46 kHz,10.4563 m?,2.6347 °
0.48 kHz,10.4556 m?,2.766 °
0.5 kHz,10.4553 m?,2.9679 °
0.52 kHz,10.4639 m?,2.971 °
0.54 kHz,10.4767 m?,3.0652 °
0.56 kHz,10.4745 m?,3.1351 °
0.58 kHz,10.4658 m?,3.3076 °
0.6 kHz,10.4776 m?,3.5041 °
0.62 kHz,10.4493 m?,3.4766 °
0.64 kHz,10.4405 m?,3.6078 °
0.66 kHz,10.4313 m?,3.712 °
0.68 kHz,10.4309 m?,3.7853 °
0.7 kHz,10.4389 m?,3.8461 °
0.72 kHz,10.4346 m?,4.0057 °
0.74 kHz,10.4468 m?,4.0918 °
0.76 kHz,10.4632 m?,4.2271 °
0.78 kHz,10.4794 m?,4.2856 °
0.8 kHz,10.5101 m?,4.389 °
0.82 kHz,10.4995 m?,4.5503 °
0.84 kHz,10.4987 m?,4.6366 °
0.86 kHz,10.5096 m?,4.7284 °
0.88 kHz,10.5091 m?,4.7202 °
0.9 kHz,10.5127 m?,4.8801 °
0.92 kHz,10.5076 m?,4.9694 °
0.94 kHz,10.5199 m?,5.0774 °
0.96 kHz,10.5359 m?,5.1626 °
0.98 kHz,10.5391 m?,5.1943 °
