Frequency,Z,?°
1 kHz,9.9846 m?,9.4257 °
2 kHz,10.3954 m?,18.0974 °
3 kHz,10.9848 m?,25.9875 °
4 kHz,11.6257 m?,33.0354 °
5 kHz,12.7923 m?,40.0896 °
6 kHz,13.8063 m?,44.7304 °
7 kHz,14.965 m?,48.8247 °
8 kHz,16.1964 m?,53.0995 °
9 kHz,17.477 m?,56.015 °
10 kHz,18.8485 m?,58.9473 °
11 kHz,19.6449 m?,62.9968 °
12 kHz,21.5014 m?,62.0761 °
13 kHz,22.7092 m?,66.1774 °
14 kHz,24.5905 m?,66.1092 °
15 kHz,25.846 m?,67.7546 °
16 kHz,27.5675 m?,68.9729 °
17 kHz,28.5553 m?,70.5636 °
18 kHz,30.4571 m?,71.1118 °
19 kHz,31.7962 m?,72.1217 °
20 kHz,33.3609 m?,73.5443 °
21 kHz,34.9249 m?,74.6818 °
22 kHz,36.03 m?,75.3736 °
23 kHz,37.7423 m?,75.7625 °
24 kHz,39.6204 m?,77.0086 °
25 kHz,41.1345 m?,77.6308 °
26 kHz,42.6207 m?,77.969 °
27 kHz,44.2227 m?,78.5106 °
28 kHz,45.7656 m?,79.3424 °
29 kHz,47.5154 m?,79.2402 °
30 kHz,49.0217 m?,79.6524 °
31 kHz,50.3579 m?,79.1956 °
32 kHz,52.4973 m?,80.0406 °
33 kHz,53.923 m?,80.4165 °
34 kHz,55.1339 m?,80.7753 °
35 kHz,56.8737 m?,81.0475 °
36 kHz,58.7173 m?,81.6237 °
37 kHz,60.2282 m?,81.8225 °
38 kHz,62.0875 m?,82.0959 °
39 kHz,63.6099 m?,81.919 °
40 kHz,65.5618 m?,82.3526 °
41 kHz,67.8426 m?,83.161 °
42 kHz,70.1892 m?,84.3932 °
43 kHz,72.9129 m?,85.0459 °
44 kHz,75.4072 m?,85.6365 °
45 kHz,71.0891 m?,80.7223 °
46 kHz,73.4666 m?,81.234 °
47 kHz,75.5764 m?,81.9639 °
48 kHz,77.3361 m?,82.6702 °
49 kHz,79.7317 m?,83.0709 °
50 kHz,81.6678 m?,83.7553 °
51 kHz,83.0397 m?,83.5296 °
52 kHz,84.9307 m?,84.0161 °
53 kHz,86.5522 m?,84.2276 °
54 kHz,88.3509 m?,84.4659 °
55 kHz,89.7716 m?,84.4872 °
56 kHz,91.4002 m?,84.583 °
57 kHz,92.9744 m?,84.6539 °
58 kHz,94.6461 m?,84.6878 °
59 kHz,96.22 m?,84.7495 °
60 kHz,97.7727 m?,84.8038 °
61 kHz,99.4832 m?,85.0824 °
62 kHz,101.139 m?,85.1669 °
63 kHz,103.011 m?,85.4789 °
64 kHz,104.403 m?,85.6773 °
65 kHz,106.157 m?,85.7433 °
66 kHz,107.986 m?,85.8764 °
67 kHz,109.591 m?,85.97 °
68 kHz,111.203 m?,86.0006 °
69 kHz,112.72 m?,86.1563 °
70 kHz,114.498 m?,86.3021 °
71 kHz,116.104 m?,86.364 °
72 kHz,117.785 m?,86.4103 °
73 kHz,119.303 m?,86.5105 °
74 kHz,120.811 m?,86.5786 °
75 kHz,122.699 m?,86.5492 °
76 kHz,124.063 m?,86.643 °
77 kHz,125.719 m?,86.5971 °
78 kHz,127.273 m?,86.6262 °
79 kHz,128.829 m?,86.6691 °
80 kHz,130.342 m?,86.6561 °
81 kHz,132.131 m?,86.7074 °
82 kHz,133.744 m?,86.8307 °
83 kHz,135.578 m?,86.874 °
84 kHz,137.116 m?,86.9446 °
85 kHz,139.054 m?,87.0437 °
86 kHz,140.639 m?,87.0827 °
87 kHz,142.348 m?,87.0566 °
88 kHz,144.026 m?,87.197 °
89 kHz,145.633 m?,87.1237 °
90 kHz,147.324 m?,87.339 °
91 kHz,148.826 m?,87.313 °
92 kHz,150.882 m?,87.2877 °
93 kHz,152.319 m?,87.3075 °
94 kHz,153.859 m?,87.3614 °
95 kHz,155.544 m?,87.3362 °
96 kHz,157.136 m?,87.3527 °
97 kHz,158.633 m?,87.3963 °
98 kHz,160.312 m?,87.4089 °
99 kHz,161.981 m?,87.3668 °
100 kHz,163.49 m?,87.398 °
