Frequency,Z,?°
1 kHz,10.5338 m?,5.2299 °
2 kHz,10.8119 m?,9.1652 °
3 kHz,11.0737 m?,12.6671 °
4 kHz,11.1565 m?,15.3544 °
5 kHz,11.6783 m?,20.0357 °
6 kHz,12.0683 m?,22.3117 °
7 kHz,12.3844 m?,24.6642 °
8 kHz,12.6687 m?,27.4185 °
9 kHz,13.1173 m?,29.2599 °
10 kHz,13.501 m?,31.6629 °
11 kHz,13.6671 m?,32.2364 °
12 kHz,14.0155 m?,33.2641 °
13 kHz,14.4214 m?,36.5304 °
14 kHz,15.1191 m?,38.4321 °
15 kHz,16.1044 m?,41.1254 °
16 kHz,16.0526 m?,40.7697 °
17 kHz,16.2178 m?,42.2741 °
18 kHz,17.0656 m?,43.0138 °
19 kHz,17.1668 m?,45.241 °
20 kHz,17.7336 m?,45.9726 °
21 kHz,17.9336 m?,47.6044 °
22 kHz,18.504 m?,48.6557 °
23 kHz,18.6805 m?,49.801 °
24 kHz,19.1039 m?,52.2171 °
25 kHz,19.6772 m?,52.9767 °
26 kHz,20.2953 m?,53.6616 °
27 kHz,20.6013 m?,54.2385 °
28 kHz,21.2357 m?,55.0778 °
29 kHz,21.7921 m?,56.4876 °
30 kHz,22.4562 m?,57.1029 °
31 kHz,23.5538 m?,56.0817 °
32 kHz,23.6061 m?,57.0471 °
33 kHz,23.8569 m?,58.0163 °
34 kHz,24.2586 m?,58.2865 °
35 kHz,24.7996 m?,59.2803 °
36 kHz,25.2681 m?,60.1951 °
37 kHz,25.7635 m?,61.099 °
38 kHz,26.4749 m?,61.5636 °
39 kHz,27.058 m?,62.1646 °
40 kHz,27.8615 m?,62.2064 °
41 kHz,28.9909 m?,65.2216 °
42 kHz,29.5634 m?,67.5296 °
43 kHz,30.7693 m?,70.3521 °
44 kHz,32.0226 m?,71.4966 °
45 kHz,33.286 m?,73.4404 °
46 kHz,34.6351 m?,75.0644 °
47 kHz,30.7859 m?,61.7927 °
48 kHz,31.4946 m?,63.2385 °
49 kHz,32.4311 m?,64.92 °
50 kHz,33.4359 m?,66.3123 °
51 kHz,33.6556 m?,67.0643 °
52 kHz,34.2192 m?,67.3165 °
53 kHz,34.6827 m?,67.7257 °
54 kHz,35.4578 m?,68.3366 °
55 kHz,35.8001 m?,68.1959 °
56 kHz,36.2905 m?,68.8325 °
57 kHz,36.808 m?,68.9386 °
58 kHz,37.3829 m?,69.3423 °
59 kHz,38.1908 m?,69.4099 °
60 kHz,38.5033 m?,69.4986 °
61 kHz,39.3097 m?,70.2674 °
62 kHz,39.6723 m?,70.8055 °
63 kHz,40.2329 m?,71.1465 °
64 kHz,40.7127 m?,71.5783 °
65 kHz,41.3387 m?,71.9956 °
66 kHz,41.7852 m?,72.1344 °
67 kHz,42.4732 m?,72.5028 °
68 kHz,42.9896 m?,73.0067 °
69 kHz,43.5657 m?,73.3578 °
70 kHz,43.8767 m?,73.4058 °
71 kHz,44.5728 m?,73.7066 °
72 kHz,45.11 m?,73.9936 °
73 kHz,45.747 m?,74.2765 °
74 kHz,46.2204 m?,74.3719 °
75 kHz,46.7525 m?,74.4845 °
76 kHz,47.2351 m?,74.4067 °
77 kHz,47.7552 m?,74.7768 °
78 kHz,48.3833 m?,74.7776 °
79 kHz,48.8378 m?,74.7023 °
80 kHz,49.2137 m?,74.9137 °
81 kHz,50.0344 m?,75.4756 °
82 kHz,50.5577 m?,75.3125 °
83 kHz,51.2132 m?,75.5952 °
84 kHz,51.8168 m?,75.8291 °
85 kHz,52.3277 m?,76.1779 °
86 kHz,52.9941 m?,76.4256 °
87 kHz,53.5428 m?,76.4336 °
88 kHz,54.217 m?,76.6461 °
89 kHz,54.9171 m?,76.676 °
90 kHz,55.4766 m?,76.7453 °
91 kHz,56.2059 m?,77.1329 °
92 kHz,56.636 m?,76.9354 °
93 kHz,57.1243 m?,77.1961 °
94 kHz,57.7505 m?,77.1621 °
95 kHz,58.4399 m?,77.3864 °
96 kHz,58.7681 m?,77.1635 °
97 kHz,59.4857 m?,77.4661 °
98 kHz,59.7901 m?,77.3568 °
99 kHz,60.4701 m?,77.4637 °
100 kHz,61.0519 m?,77.48 °
