Frequency,Z,?°
0.02 kHz,10.0808 m?,0.2898 °
0.04 kHz,10.1089 m?,0.4398 °
0.06 kHz,10.3958 m?,0.8896 °
0.08 kHz,10.0369 m?,1.3694 °
0.1 kHz,10.0975 m?,0.9839 °
0.12 kHz,10.0354 m?,1.1773 °
0.14 kHz,9.6667 m?,4.3801 °
0.16 kHz,9.6318 m?,5.0434 °
0.18 kHz,9.8355 m?,3.5938 °
0.2 kHz,10.0385 m?,2.0852 °
0.22 kHz,10.0379 m?,2.7548 °
0.24 kHz,10.0613 m?,3.4846 °
0.26 kHz,10.0558 m?,3.706 °
0.28 kHz,10.0418 m?,3.3553 °
0.3 kHz,10.0261 m?,3.0482 °
0.32 kHz,10.0357 m?,3.1122 °
0.34 kHz,10.0332 m?,3.2719 °
0.36 kHz,10.0374 m?,3.3703 °
0.38 kHz,10.0166 m?,3.5913 °
0.4 kHz,10.0184 m?,3.8154 °
0.42 kHz,10.0066 m?,3.9783 °
0.44 kHz,10.0102 m?,4.1975 °
0.46 kHz,9.9906 m?,4.3286 °
0.48 kHz,9.9837 m?,4.5483 °
0.5 kHz,9.9964 m?,4.7949 °
0.52 kHz,9.9978 m?,4.917 °
0.54 kHz,9.9891 m?,5.0826 °
0.56 kHz,9.9922 m?,5.2428 °
0.58 kHz,9.9901 m?,5.5133 °
0.6 kHz,10.0024 m?,5.7771 °
0.62 kHz,9.9657 m?,5.9318 °
0.64 kHz,9.954 m?,5.9429 °
0.66 kHz,9.9457 m?,6.2171 °
0.68 kHz,9.9382 m?,6.4469 °
0.7 kHz,9.9311 m?,6.6459 °
0.72 kHz,9.9309 m?,6.821 °
0.74 kHz,9.9398 m?,7.0455 °
0.76 kHz,9.958 m?,7.2627 °
0.78 kHz,9.9756 m?,7.4103 °
0.8 kHz,9.9921 m?,7.6456 °
0.82 kHz,9.9899 m?,7.8217 °
0.84 kHz,9.9892 m?,8.0296 °
0.86 kHz,9.9856 m?,8.2226 °
0.88 kHz,9.9908 m?,8.4064 °
0.9 kHz,9.9991 m?,8.613 °
0.92 kHz,10.0026 m?,8.752 °
0.94 kHz,10.0057 m?,8.9384 °
0.96 kHz,10.0152 m?,9.1243 °
0.98 kHz,10.0136 m?,9.2708 °
