Frequency,Z,?°
5 kHz,10.8557 m?,30.289 °
30 kHz,28.1095 m?,70.1182 °
55 kHz,48.2928 m?,80.9327 °
80 kHz,70.2391 m?,86.283 °
105 kHz,93.1791 m?,89.1998 °
130 kHz,109.275 m?,91.9348 °
155 kHz,140.709 m?,93.173 °
180 kHz,167.348 m?,94.3533 °
205 kHz,193.522 m?,95.0591 °
230 kHz,221.613 m?,95.5391 °
255 kHz,249.238 m?,95.8762 °
280 kHz,277.938 m?,96.0011 °
305 kHz,306.364 m?,96.1453 °
330 kHz,336.573 m?,96.0774 °
355 kHz,366.315 m?,95.9892 °
380 kHz,395.394 m?,95.9695 °
405 kHz,424.375 m?,95.9216 °
430 kHz,454.599 m?,95.7301 °
455 kHz,484.331 m?,95.5605 °
480 kHz,513.619 m?,95.4396 °
505 kHz,542.846 m?,95.3072 °
530 kHz,572.834 m?,95.1268 °
555 kHz,602.388 m?,94.9801 °
580 kHz,631.865 m?,94.8277 °
605 kHz,661.374 m?,94.7005 °
630 kHz,691.931 m?,94.5761 °
655 kHz,722.147 m?,94.4481 °
680 kHz,752.152 m?,94.3238 °
705 kHz,781.882 m?,94.1562 °
730 kHz,811.065 m?,94.0038 °
755 kHz,840.012 m?,93.8458 °
780 kHz,868.252 m?,93.6605 °
805 kHz,896.367 m?,93.5072 °
830 kHz,926.785 m?,93.3528 °
855 kHz,956.137 m?,93.2353 °
880 kHz,985.287 m?,93.095 °
905 kHz,1.0139 ?,92.9906 °
930 kHz,1.0421 ?,92.8995 °
