Frequency,Z,?°
1 kHz,8.2808 m?,13.2588 °
1.1 kHz,8.5771 m?,13.2721 °
1.2 kHz,8.6519 m?,13.8929 °
1.3 kHz,8.7326 m?,14.5261 °
1.4 kHz,8.7985 m?,15.1057 °
1.5 kHz,8.8622 m?,15.6203 °
1.6 kHz,8.9303 m?,16.2574 °
1.7 kHz,8.9638 m?,16.8432 °
1.8 kHz,9.0329 m?,17.4266 °
1.9 kHz,9.0855 m?,17.955 °
2 kHz,9.1411 m?,18.4589 °
2.1 kHz,9.1986 m?,19.0227 °
2.2 kHz,9.2414 m?,19.525 °
2.3 kHz,9.2921 m?,20.0897 °
2.4 kHz,9.3358 m?,20.5588 °
2.5 kHz,9.3761 m?,21.0631 °
2.6 kHz,9.4264 m?,21.5732 °
2.7 kHz,9.4765 m?,22.0581 °
2.8 kHz,9.5183 m?,22.5522 °
2.9 kHz,9.5664 m?,23.0496 °
3 kHz,9.6059 m?,23.5322 °
3.1 kHz,9.9381 m?,22.8865 °
3.2 kHz,10.0265 m?,23.3213 °
3.3 kHz,10.0261 m?,23.0721 °
3.4 kHz,10.1397 m?,24.0853 °
3.5 kHz,10.1809 m?,24.4881 °
3.6 kHz,10.2357 m?,24.8152 °
3.7 kHz,10.2779 m?,25.4223 °
3.8 kHz,10.3258 m?,25.6015 °
3.9 kHz,10.3792 m?,26.1152 °
4 kHz,10.406 m?,26.677 °
4.1 kHz,10.4433 m?,26.8502 °
4.2 kHz,10.5471 m?,27.5649 °
4.3 kHz,10.5589 m?,27.6791 °
4.4 kHz,10.5853 m?,28.0929 °
4.5 kHz,10.6245 m?,28.4678 °
4.6 kHz,10.6896 m?,28.7947 °
4.7 kHz,10.7673 m?,29.2299 °
4.8 kHz,10.7436 m?,29.5184 °
4.9 kHz,10.8898 m?,29.6375 °
5 kHz,10.8321 m?,30.4353 °
