Frequency,Z,?°
5 kHz,9.21 m?,26.5261 °
30 kHz,26.6919 m?,79.2184 °
55 kHz,50.2801 m?,88.3747 °
80 kHz,75.909 m?,91.7637 °
105 kHz,102.353 m?,93.168 °
130 kHz,121.59 m?,94.7366 °
155 kHz,155.949 m?,94.9162 °
180 kHz,185.251 m?,95.3514 °
205 kHz,213.748 m?,95.482 °
230 kHz,243.873 m?,95.4894 °
255 kHz,273.319 m?,95.4497 °
280 kHz,303.69 m?,95.2978 °
305 kHz,333.668 m?,95.1688 °
330 kHz,365.096 m?,94.9341 °
355 kHz,395.737 m?,94.7155 °
380 kHz,425.746 m?,94.559 °
405 kHz,455.59 m?,94.4149 °
430 kHz,486.369 m?,94.1662 °
455 kHz,516.782 m?,93.9507 °
480 kHz,546.553 m?,93.7871 °
505 kHz,576.215 m?,93.6348 °
530 kHz,606.51 m?,93.4459 °
555 kHz,636.475 m?,93.2967 °
580 kHz,666.323 m?,93.1626 °
605 kHz,696.121 m?,93.0436 °
630 kHz,726.989 m?,92.9441 °
655 kHz,757.529 m?,92.8538 °
680 kHz,787.685 m?,92.7385 °
705 kHz,817.538 m?,92.6232 °
730 kHz,847.216 m?,92.4894 °
755 kHz,876.308 m?,92.366 °
780 kHz,904.918 m?,92.2406 °
805 kHz,933.388 m?,92.1178 °
830 kHz,963.766 m?,92.0341 °
855 kHz,994.108 m?,91.942 °
880 kHz,1.0236 ?,91.8571 °
905 kHz,1.0527 ?,91.7846 °
930 kHz,1.0814 ?,91.7425 °
955 kHz,1.1097 ?,91.6895 °
980 kHz,1.1373 ?,91.6319 °
