Frequency,Z,?°
1 kHz,8.2897 m?,8.4117 °
1.1 kHz,8.541 m?,8.4351 °
1.2 kHz,8.5682 m?,8.8651 °
1.3 kHz,8.5877 m?,9.37 °
1.4 kHz,8.6086 m?,9.7903 °
1.5 kHz,8.6226 m?,10.2637 °
1.6 kHz,8.643 m?,10.7852 °
1.7 kHz,8.6332 m?,11.3014 °
1.8 kHz,8.6471 m?,11.789 °
1.9 kHz,8.6635 m?,12.3098 °
2 kHz,8.6714 m?,12.7867 °
2.1 kHz,8.674 m?,13.2828 °
2.2 kHz,8.685 m?,13.8244 °
2.3 kHz,8.6876 m?,14.3319 °
2.4 kHz,8.6878 m?,14.8321 °
2.5 kHz,8.6937 m?,15.3498 °
2.6 kHz,8.6983 m?,15.8431 °
2.7 kHz,8.7022 m?,16.3795 °
2.8 kHz,8.7049 m?,16.858 °
2.9 kHz,8.7115 m?,17.366 °
3 kHz,8.7151 m?,17.8677 °
3.1 kHz,9.0148 m?,17.4222 °
3.2 kHz,9.0481 m?,17.8534 °
3.3 kHz,9.0515 m?,18.3717 °
3.4 kHz,9.0791 m?,18.6468 °
3.5 kHz,9.0548 m?,19.4157 °
3.6 kHz,9.0801 m?,19.7712 °
3.7 kHz,9.1133 m?,20.2203 °
3.8 kHz,9.159 m?,20.6665 °
3.9 kHz,9.1457 m?,20.9973 °
4 kHz,9.1687 m?,21.4635 °
4.1 kHz,9.1966 m?,22.0546 °
4.2 kHz,9.2116 m?,22.4619 °
4.3 kHz,9.2255 m?,23.0431 °
4.4 kHz,9.2447 m?,23.4514 °
4.5 kHz,9.2666 m?,24.0792 °
4.6 kHz,9.2878 m?,24.472 °
4.7 kHz,9.3049 m?,25.0233 °
4.8 kHz,9.3133 m?,25.4614 °
4.9 kHz,9.3378 m?,26.076 °
5 kHz,9.3555 m?,26.6093 °
