Frequency,Z,?°
20 Hz,8.543 m?,-0.6382 °
40 Hz,8.3249 m?,-0.8508 °
60 Hz,8.2617 m?,-0.2122 °
80 Hz,8.2443 m?,0.3141 °
100 Hz,8.2136 m?,1.2659 °
120 Hz,8.2663 m?,1.042 °
140 Hz,8.4828 m?,2.0279 °
160 Hz,8.5383 m?,2.4675 °
180 Hz,8.4076 m?,2.1149 °
200 Hz,8.2696 m?,1.8151 °
220 Hz,8.256 m?,2.4544 °
240 Hz,8.2496 m?,3.1173 °
260 Hz,8.2407 m?,3.3072 °
280 Hz,8.2244 m?,2.9844 °
300 Hz,8.212 m?,2.6473 °
320 Hz,8.2902 m?,2.7619 °
340 Hz,8.2861 m?,2.8994 °
360 Hz,8.2864 m?,3.0865 °
380 Hz,8.2849 m?,3.2902 °
400 Hz,8.2738 m?,3.4725 °
420 Hz,8.2724 m?,3.598 °
440 Hz,8.2706 m?,3.7768 °
460 Hz,8.2664 m?,3.944 °
480 Hz,8.2574 m?,4.1472 °
500 Hz,8.2465 m?,4.4372 °
520 Hz,8.2481 m?,4.5792 °
540 Hz,8.246 m?,4.7501 °
560 Hz,8.2462 m?,4.9817 °
580 Hz,8.2459 m?,5.2349 °
600 Hz,8.2479 m?,5.5222 °
620 Hz,8.2345 m?,5.6506 °
640 Hz,8.2304 m?,5.8264 °
660 Hz,8.2212 m?,5.9892 °
680 Hz,8.2246 m?,6.1583 °
700 Hz,8.2284 m?,6.337 °
720 Hz,8.2329 m?,6.5317 °
740 Hz,8.2466 m?,6.7077 °
760 Hz,8.2595 m?,6.862 °
780 Hz,8.2776 m?,7.0385 °
800 Hz,8.2916 m?,7.2032 °
820 Hz,8.296 m?,7.3426 °
840 Hz,8.2937 m?,7.5134 °
860 Hz,8.2938 m?,7.6373 °
880 Hz,8.2976 m?,7.7587 °
900 Hz,8.3024 m?,7.8805 °
920 Hz,8.3028 m?,8.0013 °
940 Hz,8.3131 m?,8.0763 °
960 Hz,8.3132 m?,8.2315 °
980 Hz,8.3151 m?,8.3081 °
