Frequency,Z,?°
1 kHz,19.4417 m?,10.0199 °
2 kHz,19.4094 m?,19.3824 °
3 kHz,19.2617 m?,30.4175 °
4 kHz,19.6823 m?,44.0953 °
5 kHz,21.3478 m?,57.8994 °
6 kHz,24.4151 m?,70.4935 °
7 kHz,29.2383 m?,80.4293 °
8 kHz,34.8197 m?,87.6145 °
9 kHz,41.5736 m?,92.4491 °
10 kHz,48.6962 m?,96.1003 °
11 kHz,56.6754 m?,98.347 °
12 kHz,64.6417 m?,99.8977 °
13 kHz,73.2557 m?,100.869 °
14 kHz,81.7484 m?,101.332 °
15 kHz,90.4285 m?,101.855 °
16 kHz,99.2386 m?,101.828 °
17 kHz,107.869 m?,101.783 °
18 kHz,116.724 m?,101.75 °
19 kHz,125.634 m?,101.701 °
20 kHz,134.601 m?,101.722 °
21 kHz,143.422 m?,101.423 °
22 kHz,152.181 m?,101.171 °
23 kHz,161.163 m?,100.888 °
24 kHz,170.123 m?,100.692 °
25 kHz,179.172 m?,100.462 °
26 kHz,187.798 m?,100.19 °
27 kHz,196.554 m?,99.8998 °
28 kHz,205.347 m?,99.6497 °
29 kHz,214.178 m?,99.3838 °
30 kHz,223.084 m?,99.1598 °
31 kHz,231.535 m?,98.9387 °
32 kHz,240.048 m?,98.7 °
33 kHz,248.652 m?,98.4388 °
34 kHz,257.252 m?,98.2206 °
35 kHz,265.852 m?,98.0116 °
36 kHz,274.594 m?,97.7908 °
37 kHz,283.219 m?,97.562 °
38 kHz,291.83 m?,97.3432 °
39 kHz,300.579 m?,97.1539 °
40 kHz,309.365 m?,96.9718 °
41 kHz,317.707 m?,96.7764 °
42 kHz,326.159 m?,96.6051 °
43 kHz,334.516 m?,96.4225 °
44 kHz,343.092 m?,96.2305 °
45 kHz,351.566 m?,96.0756 °
46 kHz,359.919 m?,95.896 °
47 kHz,368.472 m?,95.7381 °
48 kHz,376.899 m?,95.5836 °
49 kHz,385.325 m?,95.4198 °
50 kHz,393.876 m?,95.2604 °
51 kHz,402.178 m?,95.1252 °
52 kHz,410.456 m?,94.9975 °
53 kHz,418.835 m?,94.8544 °
54 kHz,427.046 m?,94.713 °
55 kHz,435.409 m?,94.5921 °
56 kHz,443.638 m?,94.4629 °
57 kHz,451.996 m?,94.3275 °
58 kHz,460.289 m?,94.2087 °
59 kHz,468.537 m?,94.0905 °
60 kHz,476.828 m?,93.9828 °
61 kHz,484.978 m?,93.8687 °
62 kHz,493.178 m?,93.7559 °
63 kHz,501.332 m?,93.657 °
64 kHz,509.557 m?,93.5507 °
65 kHz,517.632 m?,93.4644 °
66 kHz,525.718 m?,93.3603 °
67 kHz,533.851 m?,93.2621 °
68 kHz,541.969 m?,93.1614 °
69 kHz,550.142 m?,93.0705 °
70 kHz,558.264 m?,92.9795 °
71 kHz,566.369 m?,92.8802 °
72 kHz,574.498 m?,92.7904 °
73 kHz,582.549 m?,92.7072 °
74 kHz,590.65 m?,92.6202 °
75 kHz,598.783 m?,92.5257 °
76 kHz,606.89 m?,92.4446 °
77 kHz,614.976 m?,92.3593 °
78 kHz,623.089 m?,92.271 °
79 kHz,631.134 m?,92.1891 °
80 kHz,639.149 m?,92.1114 °
81 kHz,647.153 m?,92.0417 °
82 kHz,655.063 m?,91.9753 °
83 kHz,663.114 m?,91.9068 °
84 kHz,671.062 m?,91.8376 °
85 kHz,679.056 m?,91.7698 °
86 kHz,686.968 m?,91.7052 °
87 kHz,694.946 m?,91.6417 °
88 kHz,702.796 m?,91.5747 °
89 kHz,710.825 m?,91.5159 °
90 kHz,718.682 m?,91.455 °
91 kHz,726.585 m?,91.3913 °
92 kHz,734.604 m?,91.3359 °
93 kHz,742.402 m?,91.2718 °
94 kHz,750.362 m?,91.215 °
95 kHz,758.235 m?,91.1547 °
96 kHz,766.16 m?,91.1012 °
97 kHz,773.94 m?,91.0388 °
98 kHz,781.901 m?,90.9831 °
99 kHz,789.703 m?,90.9278 °
100 kHz,797.618 m?,90.8762 °
