Ladekurvenmessung
Zeit: 2018_05_04 10.03.08
Info: FVA3, v = 0.747, T = 23, F = 20, h = 457.0
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7
71	-0.004949	-0.005443	-1.9e-05	-0.001827	-0.002155	0.001296	0.001132
72	-0.005114	-0.008237	0.003268	0.000967	-0.001334	0.001789	0.007213
73	-0.00347	-0.005114	0.001296	-0.001169	-0.002484	0.002447	0.000146
74	-0.002648	-0.003963	-0.002155	-0.001991	-0.000512	0.002282	0.000967
75	-0.006429	-0.00347	0.002447	-1.9e-05	0.003761	0.001296	-0.000841
76	-0.004128	-0.004128	0.000146	0.000474	-0.000676	-0.001991	0.003597
77	-0.005771	-0.00347	0.001296	-0.002155	0.003761	0.000967	-0.002484
78	-0.004128	-0.001827	0.000639	0.003433	-0.002813	0.000146	-0.000676
79	-0.006593	-0.005114	0.000146	0.001789	0.000639	0.00146	-0.001498
80	-0.005278	-0.005278	-0.000841	0.000803	-0.000841	-0.001662	-0.001662
81	-0.004785	-0.005278	0.001954	-0.00232	-1.9e-05	0.000967	-0.002484
82	-0.003635	-0.004621	0.00031	-0.000347	-0.000512	-1.9e-05	0.001296
83	-0.001827	-0.005607	0.003268	-0.001991	0.000803	-0.001005	-0.001827
84	-0.001662	-0.003963	-0.000841	-0.004292	0.000967	-0.004456	-1.9e-05
85	-0.003635	-0.004621	0.002775	-0.007579	-0.000347	-0.000512	0.005405
86	-0.001991	-0.003142	0.000474	-0.006429	-0.001005	-0.004456	-0.002155
87	0.001132	-0.0061	0.003597	-0.001662	-0.002155	-0.00347	-0.000512
88	-0.001662	-0.002155	-0.000347	-0.003635	-0.004128	-0.000347	0.00146
89	-0.00232	-0.003306	0.002282	0.000474	-0.002813	0.000967	-0.000512
90	-0.003635	-0.001662	0.002611	-0.000512	-0.0061	0.000803	-0.006264
91	0.000146	-0.002648	0.001296	-0.000183	-0.006593	0.001132	0.003433
92	-0.002977	-1.9e-05	0.004583	-0.001169	-0.000347	-1.9e-05	-0.003306
93	0.001625	-0.004621	0.001296	0.003104	-0.000347	-0.002977	0.001296
94	-0.001991	-0.010373	0.007706	-0.001827	0.00146	0.001625	-0.010702
95	-0.000512	-0.005114	0.00409	0.002118	-0.001169	-0.001005	-0.001827
96	-0.004456	-0.00873	0.001296	-0.001991	-0.000676	-0.001169	-1.9e-05
97	-0.001005	-0.005607	0.002447	-0.000347	-0.000347	-0.001498	0.002447
98	-0.002648	-0.006264	0.003926	-0.001334	0.000803	0.001789	0.003104
