Ladekurvenmessung
Zeit: 2018_05_03 14.06.18
Info: FVA3, v = 0.382, T = 40, F = 10, h =???
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8
55	-0.006264	0.003104	0.007542	0.002282	0.000639	-0.016783	0.001132	-0.001334
56	-0.003963	0.007213	0.005898	0.004912	0.003926	-0.008565	0.002118	0.000474
57	-0.005607	0.002447	0.009678	0.001954	-0.000183	-0.007415	-0.000512	0.00146
58	-0.002484	0.002118	0.005241	0.004748	0.004748	-0.009223	0.006062	-0.004456
59	-0.002648	-0.002484	0.010336	0.004912	0.003597	-0.012181	-0.002484	0.000146
60	-0.002813	-0.002155	0.006884	0.000474	0.009021	-0.006593	0.003433	-0.001662
61	-0.001991	0.001296	0.005405	-0.005936	0.006227	-0.010045	0.002611	-0.001827
62	-0.002484	-0.000512	0.001296	-0.000676	0.003597	-0.010209	0.000639	-0.004949
63	-0.004456	0.00409	0.003761	0.001132	0.005898	-0.010702	-0.000841	-0.001334
64	-0.004292	-0.002155	0.007377	-0.000183	0.005076	-0.010045	-0.000347	-0.004621
65	-0.005936	-0.001498	0.005734	0.001954	0.006556	-0.007744	0.000967	-0.004128
66	-0.004785	0.003268	0.005734	0.003926	0.005076	-0.013003	-0.003142	-0.002484
67	-0.002813	-0.001827	0.004419	0.004419	0.005076	-0.004456	0.002447	-0.001169
68	-0.00347	-0.000676	0.009021	0.00409	0.003268	-0.010866	-0.001005	-0.001334
69	-0.001991	0.000146	0.00409	0.004583	0.001625	-0.009223	0.000474	-0.005771
70	0.000146	-0.002813	0.005569	0.00294	0.004255	-0.010866	0.000474	-0.003142
71	-0.008072	-0.003306	0.00146	0.003268	0.006227	-0.009716	-0.000512	-0.00347
72	-0.002977	-0.002155	0.004912	0.000967	0.004255	-0.012674	-0.001662	-0.004128
73	-0.002484	-0.002813	0.004748	0.005241	0.009678	-0.010045	0.002611	0.001132
74	-0.003963	-0.002155	0.005734	0.003597	0.003433	-0.01251	-0.001498	-0.002648
75	-0.001334	-0.004621	0.007213	0.002775	0.006062	-0.011031	-1.9e-05	-0.001827
76	-0.003963	-0.001498	0.010007	0.004583	0.005734	-0.010538	0.001954	-0.000183
77	-0.002648	0.000967	0.004419	0.00294	0.005569	-0.013003	-0.00347	-0.004785
78	-0.005114	-0.000183	0.009514	-0.001991	0.006062	-0.011359	0.001296	-0.00347
79	-0.006757	-0.006922	0.006227	0.004748	0.006227	-0.011195	-0.000512	-0.004128
80	-0.006593	0.001132	0.003761	0.001296	0.005076	-0.01251	0.00031	-0.001498
81	-0.003635	-0.001334	0.002447	0.00409	0.006227	-0.009716	0.002282	-0.004949
82	-0.004456	-0.003142	0.00409	0.003433	0.001625	-0.010538	-1.9e-05	-0.005607
83	-0.003799	-0.003799	0.00409	0.003104	0.005569	-0.01251	-0.007744	-0.002155
84	-0.005278	-0.00232	0.00409	0.004583	0.003761	-0.006593	-0.001498	-0.004949
85	-0.003142	-0.005443	0.003597	0.006556	0.003926	-0.014318	-0.000676	-0.000676
86	-0.00232	-0.004785	0.003926	0.002775	0.003761	-0.016454	-0.003799	-0.003799
87	0.00031	-0.005278	0.004912	0.00031	0.005241	-0.01629	0.000639	-0.003635
88	-0.001662	-1.9e-05	0.004583	0.004912	0.002611	-0.014811	-0.003799	-0.000841
89	-0.002813	-0.000676	0.004912	0.002447	0.00031	-0.015961	-0.002155	-0.001662
90	-0.003306	0.000146	0.006062	0.00672	-1.9e-05	-0.013496	-0.001334	-0.001169
91	-0.005443	0.00146	0.008199	0.00146	0.002118	-0.013332	-0.002155	-0.001498
92	-0.006757	-0.004292	0.003597	0.005405	0.003597	-0.011031	0.001625	-0.001827
93	-0.003799	0.001625	0.001954	0.004748	0.00409	-0.011359	0.002447	0.000639
