Ladekurvenmessung
Zeit: 2018_05_03 13.53.57
Info: FVA3, v = 2.06, T = 40, F = 20, h = 599.6
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15	Kurve_16
32	-0.006264	-0.004949	-0.002813	-0.012017	-0.005771	-0.00347	-0.000841	0.000146	-0.00232	0.001296	-0.00347	0.000803	0.004419	0.007377	0.009678	0.001296
33	-0.011688	-0.005771	-0.002155	-0.009387	-0.004785	0.00294	-0.000347	-0.002484	0.002282	0.003268	0.00031	-0.000183	0.002775	0.003433	0.010336	0.000967
34	-0.005278	-0.0061	-0.001498	-0.009716	-0.006922	-0.001991	-0.004621	-0.006429	-1.9e-05	0.005076	-0.001169	0.002447	0.003268	0.007049	0.0105	-0.000347
35	-0.005936	-0.005114	-0.001498	-0.00873	-0.00347	0.000967	-0.003635	-0.004785	0.002282	0.006391	-0.000676	0.00787	0.003926	0.006556	0.010993	-1.9e-05
36	-0.005771	-0.005114	-0.002813	-0.010538	-0.003635	0.00146	-0.005443	-0.003142	-0.001991	0.006227	0.00146	0.001132	0.00294	0.00787	0.011158	-0.001334
37	-0.003142	-0.007415	-0.001005	-0.012674	-0.007908	0.001132	-0.004949	-0.002813	-1.9e-05	0.003268	0.001296	-0.001169	0.003597	0.008035	0.009514	-0.004128
38	-0.002648	-0.004949	-0.005114	-0.012674	-0.002977	0.001296	-0.006264	-0.002648	0.000967	0.00935	0.003433	0.000803	0.001954	0.00787	0.010336	0.00031
39	-0.003799	-0.00725	-0.003635	-0.013496	-0.005936	0.000146	-0.003635	-0.006264	0.000967	0.006227	0.007706	0.000146	0.004419	0.008035	0.011158	-0.001498
40	-0.001498	-0.007908	-0.002484	-0.013003	-0.008401	-0.000183	-0.005443	-0.005443	0.002447	0.011651	0.00672	0.000803	0.002118	0.008035	0.012144	-0.003963
41	-0.003963	-0.005936	-0.004292	-0.013825	-0.006757	-0.000183	-0.00725	-0.005771	0.001789	0.006556	0.003268	0.00031	0.003926	0.006227	0.01313	-0.003963
42	-0.00347	-0.008894	-0.002484	-0.011195	-0.003306	-0.003635	-0.004456	-0.006593	0.004419	0.008035	0.006062	0.000474	-0.001005	0.007377	0.013294	-0.002813
43	-0.004128	-0.006922	-0.00725	-0.014318	-0.008894	-0.007744	-0.008072	-0.004785	-0.000183	0.007542	0.004748	0.000146	0.002282	0.008199	0.012801	-0.004621
44	-0.00347	-0.007415	-0.005771	-0.015304	-0.005936	-0.003635	-0.009058	-0.00873	0.003268	0.008528	0.005241	0.002775	0.00409	0.00935	0.013787	-0.003799
45	-0.002155	-0.004292	-0.003306	-0.015797	-0.00873	-0.005936	-0.004456	-0.006593	0.00031	0.004748	0.004748	-0.000676	0.004255	0.008692	0.01428	-0.004949
46	-0.00347	-0.005771	-0.005278	-0.01366	-0.0061	-0.0061	-0.002977	-0.007415	0.000803	0.006884	0.004912	-0.000347	0.00409	0.007049	0.013787	-0.005114
47	-0.001662	-0.010702	-0.007086	-0.014318	-0.006922	-0.005936	-0.004456	-0.005771	0.000639	0.005569	0.010171	-1.9e-05	0.003597	0.00935	0.017567	-0.00232
48	-0.001827	-0.010045	-0.008237	-0.01251	-0.006922	-0.008565	-0.004292	-0.008072	0.000803	0.005569	0.004748	-0.000512	0.002118	0.007706	0.014938	-0.005278
49	-0.003142	-0.008401	-0.004949	-0.011852	-0.012017	-0.011852	-0.00725	-0.004785	0.000967	0.008199	0.004419	-0.000183	0.003597	0.009185	0.018061	-0.00347
50	0.00031	-0.006757	-0.006429	-0.010209	-0.009387	-0.007415	-0.004949	-0.005443	0.00146	0.005076	0.009021	-1.9e-05	0.004748	0.006227	0.019704	-0.004949
51	-1.9e-05	-0.00873	-0.006264	-0.01366	-0.008565	-0.008565	-0.007908	-0.005936	0.002118	0.008857	-0.004785	-0.000183	0.004255	0.005241	0.018882	-0.000841
52	-0.003963	-0.009716	-0.005443	-0.007744	-0.009223	-0.007415	-0.004785	-0.006264	0.002775	0.011486	-0.001991	-0.000183	0.002611	0.005076	0.023156	-0.003306
53	0.001296	-0.009223	-0.007415	-0.011359	-0.007579	-0.010209	-0.003635	-0.006429	0.002118	0.007213	-0.001827	0.000146	0.004748	0.006556	0.022498	-0.001827
54	-0.001169	-0.007744	-0.007744	-0.010045	-0.00873	-0.011359	-0.001498	-0.005278	0.003268	0.007049	0.000474	-0.000347	0.006556	0.006062	0.020197	-0.004456
55	0.000474	-0.007415	-0.007086	-0.00988	-0.008072	-0.009716	-0.003963	-0.005936	0.003104	0.008035	0.000639	-0.000183	0.00409	0.00672	0.021183	-0.002813
56	0.003433	-0.006593	-0.005936	-0.009716	-0.013167	-0.010702	-0.001991	-0.0061	-0.000183	0.007377	0.002282	-0.000183	0.004419	0.006556	0.020033	-0.004456
57	0.000146	-0.006593	-0.006264	-0.0061	-0.009058	-0.011688	-0.001498	-0.007579	0.002775	0.006391	0.001296	-0.000183	0.007213	0.004255	0.021841	-0.002977
58	-0.000841	-0.008072	-0.003635	-0.008072	-0.009058	-0.013167	-0.00232	-0.007415	0.000474	0.001789	0.003268	-1.9e-05	0.004419	0.005734	0.019211	-0.002813
59	0.003104	-0.006264	-0.007086	-0.00873	-0.00988	-0.014647	0.00031	-0.007579	0.002447	0.005569	0.003597	-0.000183	0.005734	0.00294	0.016253	-0.003142
60	0.00146	-0.005278	-0.004785	-0.006757	-0.015304	-0.01514	-0.004621	-0.0061	0.001625	0.005241	0.002775	-0.000183	0.005898	0.003433	0.020033	-0.003142
61	0.001954	-0.002813	-0.007086	-0.005443	-0.011195	-0.012674	0.000803	-0.008565	0.001789	0.003926	0.003761	-1.9e-05	0.004583	0.00409	0.020197	-0.004456
62	0.005734	-0.004949	-0.005607	-0.005114	-0.010045	-0.013332	-0.00347	-0.003799	0.002118	0.000474	0.003104	-0.000183	0.005898	0.000146	0.020362	-0.004292
63	-0.000512	-0.005278	-0.003799	-0.001827	-0.011359	-0.010373	-0.001005	-0.009716	0.002118	0.005076	0.003926	-0.000347	0.003761	0.000146	0.019047	-0.003306
64	0.001625	-0.004128	-0.005278	-0.004785	-0.011195	-0.011031	-0.002155	-0.009058	-0.000512	0.002775	0.003268	-0.000347	0.007213	-0.000676	0.016746	-0.002648
65	-0.000512	-0.003306	-0.009223	-0.002155	-0.011359	-0.010702	-0.001827	-0.006429	0.00294	0.003926	0.004748	-1.9e-05	0.005405	-0.000183	0.017239	-0.003306
66	0.00031	-0.001169	-0.003963	-0.003963	-0.012346	-0.008565	-0.00347	-0.005771	0.001625	0.005569	0.001789	-1.9e-05	0.007213	0.000803	0.01428	-0.001662
67	-0.002484	-0.002977	-0.005114	-0.001662	-0.012017	-0.000512	-1.9e-05	-0.008894	0.003761	0.00787	0.003268	-0.000512	0.00672	-0.001334	0.01691	-0.002648
68	0.000967	-0.001005	-0.0061	-0.002977	-0.008401	-0.000512	-0.002155	-0.007579	0.002118	-0.000347	-0.001498	-0.000347	0.008199	-0.001005	0.017732	-0.002977
69	-0.001991	0.000803	-0.001334	-0.002648	-0.008894	0.00294	-0.001827	-0.008237	0.00146	-1.9e-05	0.001789	-0.000183	0.007542	-0.002484	0.014116	-0.00347
70	0.003104	0.001132	-0.005607	-0.004785	-0.009387	0.001789	0.000803	-0.007415	0.005076	0.006227	-0.000183	-0.000347	0.007377	-0.001662	0.01428	-0.002484
71	0.001954	0.00031	-0.002155	-0.002977	-0.009223	0.005569	-0.000512	-0.009058	0.003597	0.005734	-0.001498	-0.000183	0.009021	-0.00232	0.013294	-0.002484
72	0.00409	0.00146	-0.003963	-0.002813	-0.00988	0.005898	-0.000841	-0.00988	0.001625	0.006391	0.002118	-0.000347	0.007213	-0.002484	0.013294	-0.003963
73	0.007377	0.002118	-0.003963	-0.001334	-0.010373	0.007049	-0.000676	-0.003635	0.00409	0.004255	-0.00347	-0.000347	0.010007	-0.002813	0.013623	-0.000676
74	0.000803	0.004419	-0.004456	0.000146	-0.005607	0.005569	0.00146	-0.008072	0.000146	0.00787	-0.008401	-0.000347	0.00935	-0.001498	0.019047	0.001789
75	0.002775	0.003104	-0.002813	-0.002813	-0.009716	0.006884	0.00031	-0.008565	0.00031	0.007049	-0.004949	-0.000183	0.010336	-0.003306	0.012472	-0.000676
76	0.001954	0.004419	-0.004456	-0.002484	-0.007579	0.011322	0.00294	-0.006429	-0.000183	0.008857	-0.007086	-0.000347	0.002775	-0.001169	0.013459	-0.000183
77	0.002775	0.00294	-0.001169	-0.003142	-0.007744	0.011486	-0.000676	-0.006429	0.00031	0.008857	-0.007579	-0.000347	0.004583	-0.002813	0.012308	-0.00232
78	0.002447	0.004583	-0.003635	-0.002813	-0.007908	0.013623	0.00031	-0.007086	0.00031	0.010664	-0.010045	-0.000347	0.005076	-0.001662	0.010336	-0.00232
79	0.001954	0.004419	-0.002484	-0.002813	-0.007744	0.011651	-0.001498	-0.003799	-0.001169	0.007706	-0.01251	-0.000512	0.009678	-0.001005	0.009678	-0.001498
80	0.000146	0.002447	-0.001169	-0.001334	-0.005607	0.017403	-0.000841	-0.008894	0.001132	0.010007	-0.010538	-0.000512	0.005076	-0.00347	0.009021	-0.002977
81	0.004583	0.003926	-0.002155	-0.003306	-0.007908	0.01428	-0.000676	-0.007744	-0.000347	0.014116	-0.013332	-0.000512	0.007542	-0.002977	0.007706	-0.001991
82	0.003761	0.002447	-0.00347	-1.9e-05	-0.0061	0.017567	-0.000841	-0.00725	0.001625	0.010171	-0.01251	-0.000512	0.007706	0.000146	0.010171	-0.002155
83	0.005405	0.004255	-0.002155	-0.005278	-0.008894	0.014773	-0.002484	-0.006757	-1.9e-05	0.011815	-0.015468	-0.000347	0.008857	-0.000676	0.008692	-0.002977
84	0.002447	0.000474	-0.00347	-0.001991	-0.006429	0.018882	-0.001498	-0.007086	0.006884	0.010993	-0.013003	-0.000347	0.008857	0.00031	0.007706	-0.003963
85	0.005076	0.003433	-0.003963	-0.000841	-0.007744	0.019211	-0.00347	-0.006593	-0.001827	0.015595	-0.01366	-0.000512	0.010171	-0.002155	0.008857	-0.00347
86	0.006227	0.000967	-0.003799	-0.004785	-0.0061	0.022663	-0.002813	-0.006429	-0.000183	0.013459	-0.011852	-0.000676	0.011651	-0.001005	0.008035	-0.003799
87	0.005405	0.00146	-0.005771	-0.000347	-0.002977	0.020526	-0.00347	-0.004949	-0.000347	0.015924	-0.013167	-0.000512	0.009021	-0.001005	0.008528	-0.004128
88	0.00409	0.002611	-0.001662	-0.004292	-0.007086	0.022005	-0.000512	-0.005607	-0.000347	0.015924	-0.011195	-0.000347	0.012637	-0.000676	0.005241	-0.005278
89	0.005569	0.005076	-0.004621	-0.005771	-0.005443	0.02332	0.003926	-0.004949	0.000639	0.01428	-0.010209	-0.000512	0.013294	0.000639	0.009678	-0.003799
90	0.005241	0.001789	-0.001662	-0.004785	-0.006429	0.01954	0.008035	-0.001991	-0.001005	0.017239	-0.004292	-0.000347	0.006391	0.000803	0.005898	-0.004949
91	0.004748	0.003104	-0.000512	-0.004949	-0.005936	0.020855	0.00787	-0.003963	-0.001169	0.018882	-0.007744	-0.000512	0.012472	0.001789	0.009843	-0.002155
92	0.005405	0.001954	0.000146	-0.00725	-0.006429	0.018225	0.012637	-0.008237	-0.001991	0.016253	-0.007415	-0.000512	0.013787	0.00031	0.008528	-0.002813
