Ladekurvenmessung
Zeit: 2018_05_03 11.57.03
Info: FVA3, v = 1.05, T = 60, F = 20, h = 289.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15	Kurve_16
31	-0.006429	-0.026645	-0.001334	-0.008237	-0.000512	0.003597	0.004419	-0.001991	0.002447	0.002118	0.018061	-0.000347	-0.000841	-0.002648	0.00146	0.005734
32	-0.009716	-0.028124	0.001296	-0.003799	0.007377	0.00294	-0.000347	-0.000183	-0.001498	0.000474	0.018225	-0.000676	-0.001169	-1.9e-05	0.006227	0.00935
33	-0.009223	-0.028288	-0.000841	-0.005443	-0.001498	0.001132	-0.003635	-0.001662	-0.00347	-0.000183	0.017567	0.001132	-0.002155	-0.001662	0.003761	0.009514
34	-0.010209	-0.027631	-0.001498	-0.00232	0.000146	0.005898	-0.001334	0.000803	0.000639	-0.001827	0.016581	0.000803	0.00146	-0.004456	0.005076	0.010829
35	-0.009058	-0.030096	-0.001498	-0.003963	0.00031	0.003433	-0.003799	-0.002648	-0.000183	-0.002484	0.019868	-0.000347	-0.003142	-0.008072	0.00672	0.009021
36	-0.013167	-0.031247	-0.001334	-0.000841	-0.001169	0.004583	-0.003142	-0.000183	-0.001334	-0.000676	0.015431	-0.002813	-0.002484	-0.003306	0.008528	0.008857
37	-0.00988	-0.028124	0.000639	-0.00725	-0.000676	0.001625	-0.004456	-0.000676	0.001132	-0.001169	0.01691	-0.002648	-0.001005	-0.00347	0.006062	0.006556
38	-0.01251	-0.029767	0.001789	-0.001498	-0.002813	0.003597	-0.002155	-1.9e-05	-0.00232	-0.002813	0.017896	-0.000676	-0.004128	-0.002484	0.010829	0.009843
39	-0.010209	-0.02911	-0.000183	-0.001005	0.000967	0.001954	-0.002484	-0.001498	-0.000512	-1.9e-05	0.016253	-0.001991	0.00146	-0.00232	0.004419	0.003926
40	-0.011688	-0.029603	-0.002977	-0.003306	-0.001334	-0.008565	-0.002484	0.001296	-0.001498	-0.001662	0.014773	-0.002484	-0.003635	-0.005936	0.010171	0.00672
41	-0.011852	-0.030096	-0.001005	-0.006593	0.00031	-0.00232	0.000967	-0.000512	0.000474	-0.001662	0.017896	-0.002813	-0.001334	-0.001334	0.012965	0.005076
42	-0.011852	-0.032726	-0.002977	-0.000676	-0.002648	0.002118	0.004419	-0.00347	-0.000676	0.001132	0.019868	-0.003635	-0.001005	-0.002484	0.008035	0.007542
43	-0.013167	-0.036342	-0.000183	-0.003963	-0.009387	-0.000676	-0.000512	0.00031	-0.000841	-0.001498	0.017403	-0.005607	-0.003142	-0.000841	0.008692	0.006062
44	-0.012346	-0.033876	-0.002648	-0.003963	-0.005278	0.004748	-0.001827	-1.9e-05	-0.001334	-0.00232	0.015102	-0.001169	-0.004949	-0.001498	0.008857	0.007542
45	-0.010538	-0.029767	-0.003799	0.000803	-0.004785	0.003926	-0.001827	-0.00347	0.00031	-0.004785	0.017239	-0.002813	-0.002155	-0.002155	0.008199	0.005405
46	-0.00988	-0.03174	-0.000183	-0.003635	-0.000676	0.000803	0.000146	-0.002484	0.001789	-0.003306	0.012308	-0.001169	-0.002977	-0.00232	0.007049	0.005734
47	-0.010866	-0.036342	-0.000183	0.001132	0.001789	0.001789	-0.001991	-0.007086	0.001296	-0.005607	0.013294	-0.002155	-0.001334	0.00146	0.005076	0.007049
48	-0.013496	-0.03174	-0.002648	0.001132	-0.003306	0.00409	0.000146	-0.005114	-0.000183	-0.002648	0.012308	-0.001991	-0.001334	0.001954	0.008692	0.004583
49	-0.010538	-0.036999	-0.005607	0.002282	0.002447	0.00146	-0.001498	-0.000676	0.004583	-0.005443	0.013952	-0.003142	-0.001662	0.002447	0.01428	-0.000183
50	-0.009716	-0.031411	-0.004949	0.000474	-0.002155	-0.001662	-0.000841	-0.004621	-0.001005	-0.003142	0.014116	-0.001334	-0.007744	0.003104	0.011651	0.000146
51	-0.008237	-0.033219	-0.004785	0.002611	-0.001991	0.003761	0.00031	0.000803	-0.001498	-0.002813	0.011486	-0.001827	-0.002813	-0.003799	0.010829	0.007049
52	-0.008565	-0.03026	-0.00347	0.000639	0.000474	-0.002155	-0.004456	-0.000512	0.003597	-0.000512	0.011815	-0.007744	-0.001498	-0.001169	0.01691	0.001132
53	-0.014482	-0.031082	-0.002648	0.000474	-0.002648	-0.001991	-0.001169	-0.001005	-0.000347	0.00146	0.011651	-0.00232	-0.004785	-0.001662	0.001296	0.00409
54	-0.010538	-0.028946	-0.004621	0.005241	-0.000841	0.000803	-0.005936	-0.002484	-0.001662	-0.000676	0.009514	-0.005278	-0.000841	-0.00347	0.001296	-0.001005
55	-0.010538	-0.028617	-0.001827	0.001789	-0.002648	-0.00232	-0.002155	-0.000512	-1.9e-05	-0.006429	0.008363	-0.003635	-0.003142	-0.000841	0.007377	0.005241
56	-0.00988	-0.03174	-0.002648	-0.001005	-0.001005	-0.001498	-0.001827	-0.002648	0.000967	-0.004785	0.00935	-0.003142	-0.000841	-0.003635	0.005569	-0.001498
57	-0.007744	-0.027631	-0.001334	0.00146	-1.9e-05	-0.003142	0.000474	-0.001169	0.00031	0.000474	0.007213	-0.001334	-0.000676	-0.002155	0.00409	0.002447
58	-0.009551	-0.033055	-0.001827	-1.9e-05	-0.001498	-0.005607	-0.001827	-0.005771	0.000474	-0.002484	0.010336	-0.004785	-0.002977	-0.004456	0.004912	-1.9e-05
59	-0.011359	-0.028781	-0.001498	0.000639	-0.003635	-0.000841	-0.001991	-0.001827	0.000146	-0.001005	0.008199	-0.000512	-0.002813	0.000146	0.005405	-0.001334
60	-0.007086	-0.031082	0.00146	0.002447	0.00031	-0.004292	-0.001827	0.000474	0.003926	-0.005936	0.015102	-0.000347	-0.003142	-0.000347	0.005898	0.000146
61	-0.007744	-0.031575	0.00031	0.001625	-0.005114	-0.000841	-0.001662	-0.002977	0.000639	-0.002813	0.008857	-0.001498	0.000803	-0.010373	0.006227	0.00031
62	-0.006757	-0.028288	-0.002484	0.001954	-0.001169	0.00146	-0.002648	-0.00347	0.002118	-0.003963	0.008528	-0.001498	0.002447	-0.002813	0.005569	0.00031
63	-0.006757	-0.028946	-0.002977	-0.000512	-0.002484	-0.003799	-0.000347	-0.001827	-0.000676	-0.00232	0.008528	-0.001005	-0.00232	-0.002155	0.005076	-0.00725
64	-0.006429	-0.033383	-0.000841	-0.000183	-0.001498	-0.005114	-0.001498	-0.003635	0.000474	-0.006593	0.005898	-0.00232	-0.004128	-0.000676	0.005734	-0.002648
65	-0.001662	-0.035684	-1.9e-05	0.003761	-0.000347	-0.005607	-0.003142	-0.004621	-0.001169	-0.001991	0.005405	-0.001498	-0.000841	-0.00232	0.008363	-0.0061
66	-0.004128	-0.025658	0.000146	0.003104	-0.002648	0.00146	0.001132	-0.004456	0.000474	-0.004621	0.004583	0.00031	-0.00232	-0.000841	0.008035	-0.003963
67	-0.0061	-0.029932	0.000803	0.00146	-0.003799	-0.002155	0.001132	-0.004128	-0.001662	-0.001827	0.003597	-0.003142	-0.00232	-0.00232	0.007049	-0.003799
68	-0.002648	-0.028617	-0.001827	0.00672	-0.003142	-0.003799	0.000967	-0.002155	-0.003799	-0.001334	0.003926	-0.004456	-0.001005	-0.002648	0.010993	-0.003963
69	-0.005278	-0.023029	-0.001005	0.005076	-0.000347	-0.004785	-0.001334	-0.004949	-1.9e-05	-0.001334	0.002447	-0.004785	-0.001498	-0.001827	0.008528	-0.008401
70	-0.006593	-0.025165	-0.000512	0.005569	-0.002977	-0.001169	-0.002813	-0.002155	-0.006429	-0.003635	0.004419	-0.003963	-0.004785	-0.000841	0.011322	-0.007415
71	-0.003963	-0.024508	-0.001662	0.004255	-0.001498	-0.002977	-0.002977	-0.008072	0.002775	0.001296	-0.000183	-0.005771	-0.005936	-0.003142	0.010829	-0.010373
72	-0.004128	-0.024508	0.000146	0.002611	-0.003142	-0.000676	-0.004128	-0.002155	-0.00347	-0.000347	0.001296	-0.002648	-0.003635	-0.002155	0.013952	-0.00873
73	-0.007744	-0.024344	-0.00347	0.00409	-0.002977	-0.001498	-0.005936	-0.003635	0.000474	-0.000676	0.005076	-0.002813	-0.000841	-0.003142	0.009514	-0.010045
74	-0.002977	-0.022864	-0.005443	0.003104	-0.00347	0.00146	-0.004949	-0.001662	-0.001827	0.001296	-0.004128	-0.005443	-0.001662	-0.003142	0.014445	-0.013167
75	-0.009387	-0.024344	-0.000676	0.004419	-0.001991	-0.004128	-0.002648	-0.003635	0.001132	-0.001498	-0.000183	-0.006264	-0.004292	-0.002484	0.009843	-0.010209
76	-0.002648	-0.022043	-0.0061	0.002611	-0.005278	-0.001169	0.000146	-0.001005	0.000803	0.000967	-0.003635	-1.9e-05	-0.001005	-0.003963	0.0105	-0.013332
77	-0.001827	-0.024344	-0.003799	0.003268	-0.001827	-0.003635	-0.002648	-0.000183	0.004255	0.000146	-0.006757	-0.003306	-0.002648	-0.002977	0.00787	-0.012017
78	-0.00347	-0.020235	-0.000512	0.001954	-0.005443	-0.001827	-0.000841	-0.0061	-0.003963	-0.003963	-0.006264	-0.001827	-0.002484	0.000639	0.008692	-0.011195
79	-0.00347	-0.022207	-0.001334	0.003433	-0.001991	0.000146	-0.001827	-0.000841	0.002447	-0.000183	-0.001169	0.002611	0.002611	-0.002155	0.007213	-0.012017
80	0.000639	-0.017441	-0.002155	-0.000183	-0.004949	-0.002813	-1.9e-05	-0.004456	-0.000841	-0.005607	-0.003635	-0.004128	-0.001498	-0.001169	0.007542	-0.012017
81	-0.003142	-0.024344	0.000146	-0.001991	-0.003306	-0.000183	-0.00232	-0.004128	-0.001334	-0.003963	-0.003306	-0.003306	-0.000183	-1.9e-05	0.010336	-0.011688
82	-0.000347	-0.01892	0.000146	0.002118	-0.001169	-0.004128	0.00146	-0.003142	-0.002484	-0.001991	-0.004785	-0.003306	0.001296	-0.002813	0.00935	-0.009058
83	-0.001334	-0.021385	0.002611	0.00146	-0.001991	-0.001169	-0.002813	0.003268	-0.001169	-0.005443	-0.005114	-0.001991	-0.000347	-0.004456	0.001625	-0.008565
84	-0.001827	-0.019742	-0.002813	-1.9e-05	0.000146	-0.000676	-0.004292	-0.004292	-0.000183	-0.004949	-0.00347	-0.001334	-0.000676	-0.003799	-0.000183	-0.014811
