Ladekurvenmessung
Zeit: 2018_05_02 15.27.09
Info: FVA3, v = 0.8059, T = 40, F = 20, h = 332.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1
429	0.188783
430	0.189276
431	0.19375
432	0.190921
433	0.191941
434	0.19
435	0.191744
436	0.191974
437	0.18977
438	0.19227
439	0.192763
440	0.189638
441	0.18773
442	0.189441
443	0.191711
444	0.188618
445	0.184473
446	0.187927
447	0.188092
448	0.187796
449	0.191546
450	0.194112
451	0.187368
452	0.186611
453	0.191974
454	0.187763
455	0.188947
456	0.187927
457	0.188816
458	0.188092
459	0.188519
460	0.187796
461	0.18671
462	0.186513
463	0.186973
464	0.188947
465	0.190493
466	0.191908
467	0.193027
468	0.190855
469	0.192599
470	0.192336
471	0.189243
472	0.189474
473	0.19148
474	0.195724
475	0.187335
476	0.195198
477	0.188454
478	0.192961
479	0.189243
480	0.192336
481	0.194014
482	0.191678
483	0.191382
484	0.19329
485	0.196053
486	0.197402
487	0.189671
488	0.195428
489	0.196613
490	0.195955
491	0.198159
492	0.198587
493	0.201482
494	0.196349
495	0.200199
496	0.199902
497	0.198784
498	0.199409
499	0.198817
500	0.203225
501	0.201317
502	0.19806
503	0.201054
504	0.202534
505	0.199146
506	0.202765
507	0.201909
508	0.205989
509	0.199771
510	0.200857
511	0.202173
512	0.198981
513	0.199541
514	0.200626
515	0.202699
516	0.203587
517	0.204607
518	0.203817
519	0.203456
520	0.202173
521	0.203159
522	0.202173
523	0.204804
524	0.197994
525	0.204146
526	0.202699
527	0.198948
528	0.199606
529	0.203752
530	0.200429
531	0.198652
532	0.201613
533	0.201054
534	0.205331
535	0.198718
536	0.201186
537	0.201383
538	0.200363
539	0.20135
540	0.201087
541	0.199014
542	0.197731
543	0.200034
544	0.198718
545	0.196349
546	0.200133
547	0.196316
548	0.197863
549	0.196316
550	0.198718
551	0.200922
552	0.195988
553	0.197698
554	0.196974
555	0.197468
556	0.193224
557	0.196316
558	0.194244
559	0.191645
560	0.193224
561	0.195198
562	0.190921
563	0.193323
564	0.19
565	0.196448
566	0.189243
567	0.191711
568	0.189506
569	0.189474
570	0.191415
571	0.188454
572	0.192961
573	0.188848
574	0.192763
575	0.190855
576	0.191941
577	0.189474
578	0.190625
579	0.187203
580	0.189342
581	0.189079
582	0.188848
583	0.193158
584	0.187763
585	0.19
586	0.190954
587	0.190296
588	0.189737
589	0.191316
590	0.192237
591	0.193027
592	0.187401
593	0.194474
594	0.191217
595	0.191086
596	0.189177
597	0.190329
598	0.192763
599	0.188487
600	0.190131
601	0.192237
602	0.190954
603	0.19046
604	0.192237
605	0.189112
606	0.193816
607	0.189967
608	0.19352
609	0.191447
610	0.191382
611	0.190789
612	0.191086
613	0.190888
614	0.189342
615	0.190428
616	0.193915
617	0.193257
618	0.191908
619	0.19352
620	0.19352
621	0.193981
622	0.195099
623	0.194343
624	0.192467
625	0.194178
626	0.194606
627	0.190329
628	0.19579
629	0.19352
630	0.1925
631	0.199146
632	0.192369
633	0.194474
634	0.196284
635	0.195362
636	0.197731
637	0.19658
638	0.198488
639	0.197534
640	0.201383
641	0.201844
642	0.193421
643	0.198258
644	0.200133
645	0.200495
646	0.198619
647	0.198126
648	0.201251
649	0.198554
650	0.201186
651	0.202502
652	0.199705
653	0.201712
654	0.197632
655	0.202534
656	0.200297
657	0.202238
658	0.199968
659	0.202107
660	0.199376
661	0.200725
662	0.199442
663	0.198192
664	0.197764
665	0.195593
666	0.197764
667	0.20237
668	0.196909
669	0.195395
670	0.196382
671	0.194573
672	0.192895
673	0.19306
674	0.195757
675	0.191184
676	0.195856
677	0.180722
678	0.19375
679	0.190625
680	0.183617
681	0.184111
682	0.185361
683	0.188158
684	0.186611
685	0.187302
686	0.185197
687	0.188388
688	0.183025
689	0.184111
690	0.183321
691	0.185032
692	0.18342
693	0.184604
694	0.184045
695	0.183091
696	0.183223
697	0.181512
698	0.185559
699	0.181249
700	0.180328
701	0.179341
702	0.180821
703	0.180492
704	0.182367
705	0.183289
706	0.184473
707	0.183881
708	0.185591
709	0.184802
710	0.186513
711	0.184868
712	0.184539
713	0.185986
714	0.185032
715	0.185953
716	0.187401
717	0.191579
718	0.190131
719	0.190197
720	0.18977
721	0.191711
722	0.189539
723	0.192533
724	0.189177
725	0.19431
726	0.191283
727	0.192566
728	0.195066
729	0.195165
730	0.19329
731	0.195626
732	0.192763
733	0.193421
734	0.194968
735	0.193981
736	0.199541
737	0.194902
738	0.202205
739	0.19454
740	0.196415
741	0.199606
742	0.200034
743	0.199442
744	0.202205
745	0.197731
746	0.20033
747	0.201679
748	0.202403
749	0.204245
750	0.198455
751	0.199245
752	0.199212
753	0.201317
754	0.198323
755	0.202699
756	0.200067
757	0.200396
758	0.200067
759	0.203094
760	0.19806
761	0.201712
762	0.199639
763	0.200396
764	0.20214
765	0.197369
766	0.199212
767	0.194408
768	0.199409
769	0.198587
770	0.199705
771	0.19533
772	0.199573
773	0.198488
774	0.198356
775	0.197665
776	0.194639
777	0.193356
778	0.196316
779	0.198159
780	0.198587
781	0.19658
782	0.19533
783	0.198488
784	0.194672
785	0.197698
786	0.185624
787	0.19681
788	0.192369
789	0.191053
790	0.195264
791	0.192171
792	0.192336
793	0.192204
794	0.193454
795	0.192862
796	0.197961
797	0.192303
798	0.19352
799	0.189112
800	0.190822
801	0.192698
802	0.191217
803	0.191151
804	0.192007
805	0.191118
806	0.192007
807	0.188651
808	0.190855
809	0.187269
810	0.188092
811	0.189013
812	0.18977
813	0.188947
814	0.189342
815	0.188322
816	0.189441
817	0.1925
818	0.187236
819	0.189145
820	0.188421
821	0.188684
822	0.188618
823	0.189408
824	0.186052
825	0.18467
826	0.18444
827	0.185657
828	0.188684
829	0.188816
830	0.185624
831	0.189408
832	0.187401
833	0.18796
834	0.187039
835	0.185657
836	0.186677
837	0.186677
838	0.189243
839	0.183289
840	0.184933
841	0.182828
842	0.185394
843	0.181117
844	0.184275
845	0.183716
846	0.182631
847	0.182861
848	0.184111
849	0.186282
850	0.185986
851	0.186414
852	0.180657
853	0.186282
854	0.182565
855	0.181117
856	0.18092
857	0.18194
858	0.179703
859	0.181216
860	0.182302
861	0.182038
862	0.184473
863	0.182894
864	0.182565
865	0.18013
866	0.186151
867	0.186118
868	0.188585
869	0.184308
870	0.18444
871	0.185131
872	0.184736
873	0.183256
874	0.185262
875	0.183716
876	0.182005
877	0.183091
878	0.1824
879	0.183354
880	0.182565
881	0.180262
882	0.185559
883	0.187335
884	0.18569
885	0.189112
886	0.188158
887	0.188848
888	0.186973
889	0.185822
890	0.184835
891	0.185526
892	0.183683
893	0.190493
894	0.185888
895	0.18694
896	0.187006
897	0.187269
898	0.183848
899	0.189704
900	0.184901
901	0.186019
902	0.186447
903	0.186414
904	0.189342
905	0.186842
906	0.187105
907	0.186085
908	0.18819
909	0.184637
910	0.185657
911	0.188454
