Time,Cp,D
0 s,41.8799 pF,37.981
1 s,40.0356 pF,39.6066
2 s,40.413 pF,39.1802
3 s,40.1314 pF,39.4762
4 s,40.7022 pF,38.9596
5 s,80.8876 pF,20.0832
6 s,39.0802 pF,40.5645
7 s,42.8976 pF,37.0033
8 s,41.1054 pF,38.5103
9 s,41.9965 pF,37.7614
10 s,40.4211 pF,39.2968
11 s,41.0671 pF,38.5897
12 s,38.8336 pF,41.0122
13 s,41.5665 pF,38.2367
14 s,40.2259 pF,39.4183
15 s,39.1508 pF,40.4686
16 s,40.3237 pF,39.3731
17 s,37.7902 pF,41.9437
18 s,37.5511 pF,41.9504
19 s,39.7302 pF,39.8981
20 s,41.0376 pF,38.5975
21 s,78.1989 pF,20.8042
22 s,37.8499 pF,41.9558
23 s,40.0556 pF,39.5521
24 s,40.3455 pF,39.2367
25 s,39.5396 pF,40.0781
26 s,48.4872 pF,32.7773
27 s,40.838 pF,38.8069
28 s,40.1334 pF,39.4846
29 s,38.893 pF,40.7718
