Time,Cp,D
0 s,39.1218 pF,40.513
1 s,41.6042 pF,38.0766
2 s,41.7691 pF,37.9488
3 s,44.9485 pF,35.7025
4 s,40.8208 pF,38.8458
5 s,40.2934 pF,39.5186
6 s,38.6481 pF,41.0714
7 s,41.3865 pF,38.259
8 s,39.5449 pF,40.0796
9 s,-77.0919 pF,23.2323
10 s,39.2962 pF,40.4023
11 s,40.9934 pF,38.6382
12 s,39.6107 pF,40.151
13 s,40.5891 pF,39.1333
14 s,39.7054 pF,39.9514
15 s,36.099 pF,43.7976
16 s,40.2236 pF,39.3912
17 s,39.8212 pF,39.9087
18 s,41.1884 pF,38.5064
19 s,39.742 pF,39.8503
20 s,40.0707 pF,39.5784
21 s,57.538 pF,27.646
22 s,39.1454 pF,40.5521
23 s,41.2346 pF,38.4624
24 s,42.1157 pF,37.5959
25 s,40.2805 pF,39.3938
26 s,40.8569 pF,38.9131
27 s,40.7975 pF,38.8304
28 s,40.997 pF,38.6332
29 s,26.3493 pF,60.1698
