Frequency,Z,?°
1 kHz,7.1968 m?,8.2526 °
1.1 kHz,7.4292 m?,8.2858 °
1.2 kHz,7.4478 m?,8.792 °
1.3 kHz,7.4522 m?,9.3733 °
1.4 kHz,7.4609 m?,9.9295 °
1.5 kHz,7.4592 m?,10.4419 °
1.6 kHz,7.4692 m?,11.1026 °
1.7 kHz,7.4446 m?,11.732 °
1.8 kHz,7.4495 m?,12.3017 °
1.9 kHz,7.4493 m?,12.9437 °
2 kHz,7.4472 m?,13.5778 °
2.1 kHz,7.4475 m?,14.1975 °
2.2 kHz,7.4426 m?,14.8392 °
2.3 kHz,7.4384 m?,15.4745 °
2.4 kHz,7.433 m?,16.1246 °
2.5 kHz,7.4267 m?,16.7698 °
2.6 kHz,7.425 m?,17.3967 °
2.7 kHz,7.4272 m?,18.0404 °
2.8 kHz,7.4213 m?,18.6904 °
2.9 kHz,7.4208 m?,19.3665 °
3 kHz,7.4235 m?,20.0283 °
3.1 kHz,7.7055 m?,19.4006 °
3.2 kHz,7.7348 m?,19.9099 °
3.3 kHz,7.7445 m?,20.6053 °
3.4 kHz,7.7643 m?,21.0925 °
3.5 kHz,7.7553 m?,21.7033 °
3.6 kHz,7.7966 m?,22.3522 °
3.7 kHz,7.771 m?,23.3043 °
3.8 kHz,7.7756 m?,23.9129 °
3.9 kHz,7.7979 m?,24.3698 °
4 kHz,7.8236 m?,25.1795 °
4.1 kHz,7.8377 m?,25.5435 °
4.2 kHz,7.8532 m?,26.407 °
4.3 kHz,7.8768 m?,26.8362 °
4.4 kHz,7.8835 m?,27.5082 °
4.5 kHz,7.9102 m?,28.2411 °
4.6 kHz,7.9194 m?,28.8713 °
4.7 kHz,7.9436 m?,29.41 °
4.8 kHz,7.9438 m?,30.4362 °
4.9 kHz,7.9702 m?,30.7095 °
5 kHz,8.0826 m?,31.6972 °
