Frequency,Z,?°
20 Hz,7.4742 m?,0.7293 °
40 Hz,7.5394 m?,-1.3866 °
60 Hz,7.452 m?,-0.8242 °
80 Hz,7.4254 m?,-0.2374 °
100 Hz,7.3888 m?,0.7008 °
120 Hz,7.4345 m?,0.4762 °
140 Hz,7.6473 m?,1.5179 °
160 Hz,7.6942 m?,2.0222 °
180 Hz,7.545 m?,1.5125 °
200 Hz,7.4013 m?,1.1752 °
220 Hz,7.3829 m?,1.7811 °
240 Hz,7.3685 m?,2.4769 °
260 Hz,7.3581 m?,2.754 °
280 Hz,7.3372 m?,2.3567 °
300 Hz,7.3144 m?,1.9418 °
320 Hz,7.3897 m?,2.0462 °
340 Hz,7.3874 m?,2.2148 °
360 Hz,7.376 m?,2.439 °
380 Hz,7.3634 m?,2.5857 °
400 Hz,7.3494 m?,2.75 °
420 Hz,7.3426 m?,2.9227 °
440 Hz,7.3419 m?,3.0853 °
460 Hz,7.3324 m?,3.2612 °
480 Hz,7.3188 m?,3.524 °
500 Hz,7.3026 m?,3.7952 °
520 Hz,7.2997 m?,3.8965 °
540 Hz,7.2917 m?,4.117 °
560 Hz,7.288 m?,4.3602 °
580 Hz,7.2863 m?,4.633 °
600 Hz,7.2794 m?,4.9696 °
620 Hz,7.2631 m?,5.1256 °
640 Hz,7.2492 m?,5.2525 °
660 Hz,7.2419 m?,5.4388 °
680 Hz,7.2405 m?,5.6112 °
700 Hz,7.2366 m?,5.8613 °
720 Hz,7.2487 m?,6.05 °
740 Hz,7.2464 m?,6.2289 °
760 Hz,7.2576 m?,6.4169 °
780 Hz,7.2693 m?,6.5938 °
800 Hz,7.2837 m?,6.7705 °
820 Hz,7.2843 m?,6.9474 °
840 Hz,7.2788 m?,7.1323 °
860 Hz,7.2817 m?,7.2859 °
880 Hz,7.2784 m?,7.4214 °
900 Hz,7.2755 m?,7.5417 °
920 Hz,7.2749 m?,7.6862 °
940 Hz,7.2774 m?,7.7976 °
960 Hz,7.2757 m?,7.9478 °
980 Hz,7.2789 m?,8.0271 °
