Frequency,Z,?°
5 kHz,7.9596 m?,31.4702 °
30 kHz,29.8955 m?,86.0887 °
55 kHz,58.1868 m?,92.193 °
80 kHz,88.3067 m?,94.1561 °
105 kHz,119.202 m?,94.8106 °
130 kHz,142.626 m?,95.8747 °
155 kHz,181.223 m?,95.7152 °
180 kHz,214.936 m?,95.9025 °
205 kHz,247.804 m?,95.8579 °
230 kHz,282.114 m?,95.7518 °
255 kHz,315.878 m?,95.626 °
280 kHz,350.499 m?,95.4323 °
305 kHz,384.75 m?,95.2454 °
330 kHz,420.375 m?,94.9833 °
355 kHz,455.128 m?,94.7548 °
380 kHz,489.445 m?,94.5655 °
405 kHz,523.381 m?,94.4143 °
430 kHz,558.554 m?,94.1573 °
455 kHz,593.021 m?,93.9717 °
480 kHz,626.97 m?,93.8043 °
505 kHz,660.776 m?,93.642 °
530 kHz,695.393 m?,93.4768 °
555 kHz,729.497 m?,93.3352 °
580 kHz,763.399 m?,93.2094 °
605 kHz,797.409 m?,93.1015 °
630 kHz,832.449 m?,92.9946 °
655 kHz,867.11 m?,92.9097 °
680 kHz,901.477 m?,92.8213 °
705 kHz,935.666 m?,92.7156 °
730 kHz,969.587 m?,92.6067 °
755 kHz,1.0028 ?,92.4887 °
780 kHz,1.0356 ?,92.3721 °
805 kHz,1.0684 ?,92.2715 °
830 kHz,1.1035 ?,92.2105 °
855 kHz,1.1374 ?,92.1157 °
880 kHz,1.1712 ?,92.0401 °
905 kHz,1.2045 ?,91.9819 °
930 kHz,1.2376 ?,91.9312 °
955 kHz,1.2701 ?,91.8868 °
980 kHz,1.3021 ?,91.845 °
