Frequency,Z,?°
5 kHz,7.817 m?,31.4929 °
30 kHz,21.8896 m?,74.8547 °
55 kHz,38.7843 m?,85.1939 °
80 kHz,57.5995 m?,90.2547 °
105 kHz,77.2582 m?,92.718 °
130 kHz,90.6073 m?,95.5357 °
155 kHz,118.38 m?,96.2665 °
180 kHz,141.909 m?,97.1957 °
205 kHz,164.765 m?,97.7433 °
230 kHz,189.301 m?,98.0775 °
255 kHz,213.585 m?,98.2872 °
280 kHz,239.05 m?,98.3006 °
305 kHz,264.157 m?,98.2648 °
330 kHz,290.742 m?,98.0733 °
355 kHz,316.811 m?,97.8827 °
380 kHz,342.453 m?,97.7563 °
405 kHz,367.872 m?,97.6051 °
430 kHz,394.647 m?,97.3016 °
455 kHz,420.8 m?,97.0629 °
480 kHz,446.486 m?,96.8475 °
505 kHz,472.226 m?,96.6351 °
530 kHz,498.568 m?,96.3833 °
555 kHz,524.696 m?,96.1575 °
580 kHz,550.394 m?,95.9648 °
605 kHz,576.338 m?,95.7564 °
630 kHz,603.562 m?,95.5584 °
655 kHz,629.989 m?,95.414 °
680 kHz,656.627 m?,95.2323 °
705 kHz,682.388 m?,95.0154 °
730 kHz,708.063 m?,94.818 °
755 kHz,733.262 m?,94.5994 °
780 kHz,757.866 m?,94.3709 °
805 kHz,782.375 m?,94.1688 °
830 kHz,808.932 m?,94.0114 °
855 kHz,834.88 m?,93.7972 °
880 kHz,860.334 m?,93.6281 °
905 kHz,885.185 m?,93.4946 °
930 kHz,909.748 m?,93.361 °
955 kHz,934 m?,93.2324 °
980 kHz,957.466 m?,93.0983 °
