Frequency,Z,?°
1 kHz,5.9585 m?,13.6971 °
1.1 kHz,6.249 m?,13.3828 °
1.2 kHz,6.296 m?,13.946 °
1.3 kHz,6.3479 m?,14.5468 °
1.4 kHz,6.3864 m?,15.119 °
1.5 kHz,6.4257 m?,15.64 °
1.6 kHz,6.4712 m?,16.2967 °
1.7 kHz,6.49 m?,16.954 °
1.8 kHz,6.5313 m?,17.5027 °
1.9 kHz,6.5625 m?,18.1246 °
2 kHz,6.5984 m?,18.5576 °
2.1 kHz,6.6298 m?,19.2539 °
2.2 kHz,6.6623 m?,19.7925 °
2.3 kHz,6.6831 m?,20.3547 °
2.4 kHz,6.7134 m?,20.9598 °
2.5 kHz,6.7345 m?,21.5301 °
2.6 kHz,6.7658 m?,22.0444 °
2.7 kHz,6.7878 m?,22.593 °
2.8 kHz,6.8113 m?,23.108 °
2.9 kHz,6.8363 m?,23.6319 °
3 kHz,6.8815 m?,24.1548 °
3.1 kHz,7.1819 m?,23.2932 °
3.2 kHz,7.1914 m?,23.5526 °
3.3 kHz,7.2577 m?,25.8053 °
3.4 kHz,7.2884 m?,25.2312 °
3.5 kHz,7.3552 m?,25.5456 °
3.6 kHz,7.3356 m?,25.431 °
3.7 kHz,7.3999 m?,25.8706 °
3.8 kHz,7.4324 m?,25.6034 °
3.9 kHz,7.4355 m?,26.279 °
4 kHz,7.4098 m?,27.0692 °
4.1 kHz,7.5147 m?,27.3014 °
4.2 kHz,7.5697 m?,27.6712 °
4.3 kHz,7.5908 m?,28.358 °
4.4 kHz,7.5787 m?,28.8741 °
4.5 kHz,7.6565 m?,29.2127 °
4.6 kHz,7.6944 m?,29.9783 °
4.7 kHz,7.7028 m?,30.476 °
4.8 kHz,7.6537 m?,30.4945 °
4.9 kHz,7.8304 m?,32.4551 °
5 kHz,7.7923 m?,31.6938 °
