Frequency,Z,?°
20 Hz,5.5913 m?,1.3104 °
40 Hz,5.6764 m?,-1.0044 °
60 Hz,5.6565 m?,-0.1286 °
80 Hz,5.6053 m?,0.6293 °
100 Hz,5.6036 m?,2.2597 °
120 Hz,5.6372 m?,1.9822 °
140 Hz,5.8619 m?,3.4846 °
160 Hz,5.9407 m?,4.15 °
180 Hz,5.8011 m?,3.6929 °
200 Hz,5.6779 m?,3.4943 °
220 Hz,5.6664 m?,4.2649 °
240 Hz,5.6608 m?,5.3053 °
260 Hz,5.662 m?,5.5566 °
280 Hz,5.6576 m?,5.2155 °
300 Hz,5.6401 m?,4.9322 °
320 Hz,5.7235 m?,4.9938 °
340 Hz,5.7347 m?,5.3063 °
360 Hz,5.733 m?,5.5625 °
380 Hz,5.7335 m?,6.1544 °
400 Hz,5.7454 m?,6.4848 °
420 Hz,5.7414 m?,6.7529 °
440 Hz,5.7472 m?,6.9215 °
460 Hz,5.7454 m?,7.3103 °
480 Hz,5.7468 m?,7.7419 °
500 Hz,5.7557 m?,8.0152 °
520 Hz,5.7559 m?,8.2834 °
540 Hz,5.7593 m?,8.6094 °
560 Hz,5.7669 m?,8.9666 °
580 Hz,5.778 m?,9.492 °
600 Hz,5.777 m?,9.6173 °
620 Hz,5.7735 m?,9.8424 °
640 Hz,5.7706 m?,10.1207 °
660 Hz,5.7836 m?,10.3633 °
680 Hz,5.7928 m?,10.6589 °
700 Hz,5.8053 m?,10.9071 °
720 Hz,5.8256 m?,11.1549 °
740 Hz,5.841 m?,11.3588 °
760 Hz,5.8746 m?,11.6507 °
780 Hz,5.8926 m?,11.8463 °
800 Hz,5.9011 m?,12.0884 °
820 Hz,5.9104 m?,12.3083 °
840 Hz,5.9172 m?,12.412 °
860 Hz,5.9309 m?,12.608 °
880 Hz,5.9336 m?,12.8061 °
900 Hz,5.9435 m?,12.96 °
920 Hz,5.9496 m?,13.1264 °
940 Hz,5.9652 m?,13.2647 °
960 Hz,5.9752 m?,13.472 °
