Frequency,Z,?°
20 Hz,8.3886 m?,20.5672 °
40 Hz,6.1934 m?,1.1214 °
60 Hz,7.0573 m?,3.9395 °
80 Hz,6.956 m?,-0.2037 °
100 Hz,6.6522 m?,8.4638 °
120 Hz,6.3764 m?,8.6794 °
140 Hz,6.2691 m?,6.5761 °
160 Hz,6.4894 m?,7.0067 °
180 Hz,6.4947 m?,2.1081 °
200 Hz,7.2067 m?,8.4262 °
220 Hz,7.0478 m?,7.2591 °
240 Hz,6.8414 m?,15.2196 °
260 Hz,6.4077 m?,10.5033 °
280 Hz,6.2935 m?,14.4026 °
300 Hz,7.0597 m?,13.1228 °
320 Hz,6.5304 m?,12.6924 °
340 Hz,6.2564 m?,4.8901 °
360 Hz,6.2428 m?,8.4978 °
380 Hz,6.6771 m?,2.5765 °
400 Hz,6.9288 m?,12.6581 °
420 Hz,5.8151 m?,15.7967 °
440 Hz,6.757 m?,13.2789 °
460 Hz,5.6936 m?,13.6705 °
480 Hz,6.6869 m?,16.4937 °
500 Hz,8.028 m?,13.8795 °
520 Hz,7.9626 m?,12.0194 °
540 Hz,6.9181 m?,15.73 °
560 Hz,7.1669 m?,19.0343 °
580 Hz,6.8398 m?,13.8825 °
600 Hz,7.2933 m?,14.446 °
620 Hz,7.1041 m?,20.3201 °
640 Hz,7.205 m?,20.9158 °
660 Hz,6.6156 m?,27.4647 °
680 Hz,6.9508 m?,24.0055 °
700 Hz,7.3666 m?,18.6272 °
720 Hz,8.2478 m?,23.2212 °
740 Hz,7.4369 m?,24.2379 °
760 Hz,7.3172 m?,22.544 °
780 Hz,6.9615 m?,28.402 °
800 Hz,8.055 m?,26.5197 °
820 Hz,7.6658 m?,17.943 °
840 Hz,8.047 m?,28.6309 °
860 Hz,7.016 m?,27.7169 °
880 Hz,7.0503 m?,25.5509 °
900 Hz,7.56 m?,23.7839 °
920 Hz,7.937 m?,25.4999 °
940 Hz,8.0127 m?,26.5053 °
960 Hz,7.8559 m?,29.9363 °
980 Hz,8.0552 m?,30.0373 °
