,FileName,Kap_6_F,Kap_7_F,Kap_8_F,Kap_9_F,Kap_10_F,Oil,Speed,Temperature,Load,Film
39,2018_05_02_15_27_31_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.711609e-11,FVA3,0.8059,40.0,20.0,332.7
40,2018_05_02_15_27_40_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.407455e-11,FVA3,0.8059,40.0,20.0,332.7
41,2018_05_02_15_27_47_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.33095e-11,FVA3,0.8059,40.0,20.0,332.7
42,2018_05_02_15_31_26_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.737841e-11,FVA3,1.1269,40.0,20.0,465.0
43,2018_05_02_15_31_34_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.055708e-10,FVA3,1.1269,40.0,20.0,465.0
44,2018_05_02_15_31_43_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.471239e-11,FVA3,1.1269,40.0,20.0,465.0
45,2018_05_02_15_34_21_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.432586999999999e-11,FVA3,1.5797,40.0,20.0,552.7
46,2018_05_02_15_34_25_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,8.909048e-11,FVA3,1.5797,40.0,20.0,552.7
47,2018_05_02_15_34_31_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,8.599397e-11,FVA3,1.5797,40.0,20.0,552.7
48,2018_05_02_15_34_36_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.470049e-11,FVA3,1.5797,40.0,20.0,552.7
49,2018_05_02_15_34_42_m001,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.266545999999999e-11,FVA3,1.5797,40.0,20.0,552.7
73,2018_05_03_13_39_10_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,,FVA3,0.1,40.0,20.0,110.6
74,2018_05_03_13_39_19_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.961633e-11,FVA3,0.1,40.0,20.0,110.6
75,2018_05_03_13_40_03_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.452156999999999e-11,FVA3,0.139,40.0,20.0,135.0
76,2018_05_03_13_40_14_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.091828e-10,FVA3,0.139,40.0,20.0,135.0
77,2018_05_03_13_40_25_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,2.017001e-10,FVA3,0.139,40.0,20.0,135.0
78,2018_05_03_13_41_59_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,2.568723e-10,FVA3,0.275,40.0,20.0,214.6
79,2018_05_03_13_42_09_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.441658e-11,FVA3,0.275,40.0,20.0,214.6
80,2018_05_03_13_42_25_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,2.222601e-10,FVA3,0.275,40.0,20.0,214.6
