Frequency,Z,?°
1 kHz,9.8606 m?,4.6755 °
2 kHz,10.0695 m?,8.1417 °
3 kHz,10.2961 m?,11.4628 °
4 kHz,10.3649 m?,13.8629 °
5 kHz,10.7932 m?,17.9581 °
6 kHz,11.0941 m?,20.2296 °
7 kHz,11.4048 m?,22.5033 °
8 kHz,11.5999 m?,25.1444 °
9 kHz,11.9625 m?,26.9206 °
10 kHz,12.2332 m?,29.0017 °
11 kHz,11.916 m?,29.493 °
12 kHz,12.482 m?,33.3226 °
13 kHz,13.0894 m?,35.6978 °
14 kHz,13.6351 m?,35.8478 °
15 kHz,14.253 m?,38.472 °
16 kHz,14.4919 m?,37.3511 °
17 kHz,14.5325 m?,37.8596 °
18 kHz,15.1517 m?,40.4195 °
19 kHz,15.555 m?,40.6793 °
20 kHz,15.8642 m?,42.3133 °
21 kHz,15.9875 m?,43.9772 °
22 kHz,16.34 m?,45.8757 °
23 kHz,16.5466 m?,46.7465 °
24 kHz,16.7649 m?,47.6279 °
25 kHz,17.341 m?,48.8855 °
26 kHz,17.7811 m?,50.2613 °
27 kHz,18.2096 m?,50.4761 °
28 kHz,18.334 m?,50.805 °
29 kHz,18.9252 m?,51.7348 °
30 kHz,19.4701 m?,52.5445 °
31 kHz,20.0945 m?,51.6865 °
32 kHz,20.2403 m?,53.1776 °
33 kHz,20.7171 m?,53.5657 °
34 kHz,20.7141 m?,54.814 °
35 kHz,21.1678 m?,55.453 °
36 kHz,21.759 m?,56.7164 °
37 kHz,21.8365 m?,56.3442 °
38 kHz,22.4271 m?,57.5137 °
39 kHz,23.0815 m?,58.3294 °
40 kHz,23.8958 m?,58.9411 °
41 kHz,24.3259 m?,62.1402 °
42 kHz,25.3208 m?,64.3912 °
43 kHz,26.3026 m?,67.4999 °
44 kHz,27.6872 m?,69.3616 °
45 kHz,28.4501 m?,71.6951 °
46 kHz,29.697 m?,73.7656 °
47 kHz,26.0749 m?,57.0833 °
48 kHz,26.6993 m?,59.0353 °
49 kHz,27.4092 m?,60.8712 °
50 kHz,28.0777 m?,62.043 °
51 kHz,28.7447 m?,62.5655 °
52 kHz,28.8955 m?,63.5812 °
53 kHz,29.2743 m?,64.14 °
54 kHz,30.0213 m?,64.1683 °
55 kHz,30.3459 m?,64.8835 °
56 kHz,30.6514 m?,65.1206 °
57 kHz,31.0009 m?,64.9382 °
58 kHz,31.5547 m?,65.2243 °
59 kHz,31.8242 m?,65.438 °
60 kHz,32.2236 m?,65.7027 °
61 kHz,32.696 m?,65.8378 °
62 kHz,33.2856 m?,66.7902 °
63 kHz,33.6082 m?,67.2703 °
64 kHz,34.0814 m?,68.0242 °
65 kHz,34.3201 m?,68.2191 °
66 kHz,35.0344 m?,68.9143 °
67 kHz,35.4413 m?,69.1085 °
68 kHz,35.8455 m?,69.4311 °
69 kHz,36.1025 m?,69.7956 °
70 kHz,36.6124 m?,69.9785 °
71 kHz,37.1217 m?,69.9657 °
72 kHz,37.5759 m?,70.5401 °
73 kHz,37.9665 m?,70.4033 °
74 kHz,38.3432 m?,70.427 °
75 kHz,38.6535 m?,70.7459 °
76 kHz,39.2271 m?,70.9939 °
77 kHz,39.509 m?,71.0622 °
78 kHz,39.8971 m?,71.1218 °
79 kHz,40.2954 m?,70.8861 °
80 kHz,40.6313 m?,70.8515 °
81 kHz,41.1352 m?,71.267 °
82 kHz,41.7112 m?,71.5469 °
83 kHz,42.223 m?,71.846 °
84 kHz,42.7655 m?,71.8363 °
85 kHz,43.2952 m?,72.469 °
86 kHz,43.6586 m?,72.5086 °
87 kHz,44.2034 m?,72.5563 °
88 kHz,44.7481 m?,72.8398 °
89 kHz,45.2585 m?,73.1053 °
90 kHz,45.6704 m?,73.0485 °
91 kHz,46.1152 m?,73.1736 °
92 kHz,46.5759 m?,73.2604 °
93 kHz,47.0315 m?,73.2644 °
94 kHz,47.3629 m?,73.2294 °
95 kHz,47.9248 m?,73.204 °
96 kHz,48.2731 m?,73.3608 °
97 kHz,48.6517 m?,73.4333 °
98 kHz,49.0843 m?,73.5851 °
99 kHz,49.5495 m?,73.3683 °
100 kHz,49.9058 m?,73.4152 °
