Frequency,Z,?°
1 kHz,10.4792 m?,9.4934 °
2 kHz,10.8907 m?,18.1619 °
3 kHz,11.5228 m?,26.1526 °
4 kHz,12.162 m?,32.7308 °
5 kHz,13.4175 m?,40.0561 °
6 kHz,14.5501 m?,44.7558 °
7 kHz,15.7696 m?,48.9676 °
8 kHz,17.0054 m?,53.1087 °
9 kHz,18.3987 m?,55.9746 °
10 kHz,19.8508 m?,58.8707 °
11 kHz,20.7985 m?,62.4915 °
12 kHz,22.1611 m?,62.0757 °
13 kHz,23.7191 m?,64.4683 °
14 kHz,25.695 m?,67.282 °
15 kHz,27.8296 m?,67.7967 °
16 kHz,28.8944 m?,69.1471 °
17 kHz,30.4412 m?,69.094 °
18 kHz,31.7593 m?,71.1591 °
19 kHz,33.5774 m?,72.1907 °
20 kHz,35.2735 m?,73.4696 °
21 kHz,36.757 m?,73.8912 °
22 kHz,37.7497 m?,74.8585 °
23 kHz,39.9238 m?,75.7958 °
24 kHz,41.3811 m?,76.8191 °
25 kHz,43.1253 m?,77.4797 °
26 kHz,44.8152 m?,77.691 °
27 kHz,46.5765 m?,78.5712 °
28 kHz,48.0758 m?,78.8652 °
29 kHz,50.1494 m?,78.8315 °
30 kHz,51.5328 m?,79.2209 °
31 kHz,53.3187 m?,79.2689 °
32 kHz,54.9576 m?,79.6521 °
33 kHz,56.5683 m?,80.3036 °
34 kHz,58.1981 m?,80.6864 °
35 kHz,59.8334 m?,80.8395 °
36 kHz,61.5078 m?,81.0833 °
37 kHz,63.2633 m?,81.4151 °
38 kHz,65.1601 m?,82.1365 °
39 kHz,67.0938 m?,81.8422 °
40 kHz,68.787 m?,82.3251 °
41 kHz,71.4659 m?,83.1357 °
42 kHz,73.65 m?,83.971 °
43 kHz,76.4914 m?,84.7956 °
44 kHz,78.8513 m?,85.3605 °
45 kHz,74.8078 m?,80.4735 °
46 kHz,77.3743 m?,81.1618 °
47 kHz,79.1149 m?,81.6534 °
48 kHz,81.3234 m?,82.2989 °
49 kHz,83.501 m?,82.7668 °
50 kHz,85.6239 m?,83.2488 °
51 kHz,87.3054 m?,83.5654 °
52 kHz,89.2646 m?,83.7719 °
53 kHz,90.7408 m?,83.7662 °
54 kHz,92.405 m?,84.0226 °
55 kHz,94.0741 m?,84.1852 °
56 kHz,95.5995 m?,84.2416 °
57 kHz,97.6374 m?,84.2864 °
58 kHz,99.2076 m?,84.3929 °
59 kHz,101.085 m?,84.3864 °
60 kHz,102.452 m?,84.4664 °
61 kHz,104.27 m?,84.6824 °
62 kHz,106.021 m?,84.7671 °
63 kHz,108 m?,85.1437 °
64 kHz,109.423 m?,85.0758 °
65 kHz,111.294 m?,85.3226 °
66 kHz,112.956 m?,85.5154 °
67 kHz,114.706 m?,85.5739 °
68 kHz,116.448 m?,85.6481 °
69 kHz,118.091 m?,85.69 °
70 kHz,119.798 m?,85.8291 °
71 kHz,121.591 m?,85.956 °
72 kHz,123.329 m?,85.914 °
73 kHz,124.817 m?,85.9966 °
74 kHz,126.46 m?,86.1351 °
75 kHz,128.157 m?,86.1531 °
76 kHz,129.901 m?,86.1159 °
77 kHz,131.498 m?,86.1519 °
78 kHz,133.118 m?,86.2375 °
79 kHz,134.876 m?,86.1579 °
80 kHz,136.605 m?,86.2047 °
81 kHz,138.189 m?,86.2982 °
82 kHz,140.04 m?,86.4459 °
83 kHz,141.822 m?,86.4589 °
84 kHz,143.582 m?,86.5257 °
85 kHz,145.409 m?,86.6373 °
86 kHz,147.145 m?,86.6747 °
87 kHz,148.948 m?,86.6781 °
88 kHz,150.678 m?,86.6522 °
89 kHz,152.441 m?,86.7697 °
90 kHz,153.953 m?,86.8337 °
91 kHz,155.76 m?,86.765 °
92 kHz,157.252 m?,86.8916 °
93 kHz,159.121 m?,86.8704 °
94 kHz,160.89 m?,86.8422 °
95 kHz,162.442 m?,86.9295 °
96 kHz,164.056 m?,86.9164 °
97 kHz,165.824 m?,86.9435 °
98 kHz,167.496 m?,86.943 °
99 kHz,169.026 m?,86.9389 °
100 kHz,170.634 m?,86.9274 °
