Frequency,Z,?°
0.02 kHz,10.1952 m?,0.2039 °
0.04 kHz,10.2031 m?,0.3745 °
0.06 kHz,10.4746 m?,0.3577 °
0.08 kHz,10.165 m?,1.1238 °
0.1 kHz,10.1782 m?,0.5524 °
0.12 kHz,10.0991 m?,0.549 °
0.14 kHz,9.7082 m?,3.6407 °
0.16 kHz,9.658 m?,4.2391 °
0.18 kHz,9.8504 m?,2.7558 °
0.2 kHz,10.065 m?,1.289 °
0.22 kHz,10.0619 m?,1.8169 °
0.24 kHz,10.0733 m?,2.408 °
0.26 kHz,10.0844 m?,2.4774 °
0.28 kHz,10.0489 m?,2.1101 °
0.3 kHz,10.0197 m?,1.757 °
0.32 kHz,10.0304 m?,1.6874 °
0.34 kHz,10.0274 m?,1.78 °
0.36 kHz,10.0302 m?,1.8316 °
0.38 kHz,10.0154 m?,1.9236 °
0.4 kHz,9.9906 m?,1.978 °
0.42 kHz,9.9942 m?,2.0602 °
0.44 kHz,9.9912 m?,2.1156 °
0.46 kHz,9.9832 m?,2.2264 °
0.48 kHz,9.9756 m?,2.3759 °
0.5 kHz,9.9653 m?,2.549 °
0.52 kHz,9.9708 m?,2.5871 °
0.54 kHz,9.9542 m?,2.63 °
0.56 kHz,9.9641 m?,2.713 °
0.58 kHz,9.9458 m?,2.898 °
0.6 kHz,9.9415 m?,3.0723 °
0.62 kHz,9.921 m?,3.0935 °
0.64 kHz,9.8988 m?,3.1465 °
0.66 kHz,9.8817 m?,3.1638 °
0.68 kHz,9.87 m?,3.2966 °
0.7 kHz,9.8589 m?,3.3627 °
0.72 kHz,9.8618 m?,3.4469 °
0.74 kHz,9.8659 m?,3.5693 °
0.76 kHz,9.8761 m?,3.643 °
0.78 kHz,9.8864 m?,3.7481 °
0.8 kHz,9.9136 m?,3.8675 °
0.82 kHz,9.8936 m?,3.9577 °
0.84 kHz,9.892 m?,4.0478 °
0.86 kHz,9.8878 m?,4.1476 °
0.88 kHz,9.8874 m?,4.2255 °
0.9 kHz,9.8906 m?,4.311 °
0.92 kHz,9.8965 m?,4.3826 °
0.94 kHz,9.8894 m?,4.4383 °
0.96 kHz,9.8973 m?,4.538 °
0.98 kHz,9.9014 m?,4.561 °
