Frequency,Z,?°
1 kHz,11.3996 m?,6.2303 °
2 kHz,11.7404 m?,11.0519 °
3 kHz,12.103 m?,15.4864 °
4 kHz,12.382 m?,19.408 °
5 kHz,12.9983 m?,24.0829 °
6 kHz,13.5281 m?,27.0854 °
7 kHz,14.0894 m?,30.0325 °
8 kHz,14.5746 m?,32.9087 °
9 kHz,15.2003 m?,35.2141 °
10 kHz,15.8604 m?,37.8288 °
11 kHz,16.1042 m?,40.0084 °
12 kHz,16.755 m?,41.5279 °
13 kHz,17.4866 m?,42.1646 °
14 kHz,18.5863 m?,45.0729 °
15 kHz,19.3404 m?,47.4377 °
16 kHz,19.8262 m?,47.841 °
17 kHz,20.1981 m?,48.8175 °
18 kHz,21.1331 m?,51.3165 °
19 kHz,22.1239 m?,51.5144 °
20 kHz,22.5758 m?,52.9958 °
21 kHz,22.9271 m?,54.1135 °
22 kHz,23.3334 m?,54.3756 °
23 kHz,24.1912 m?,55.6637 °
24 kHz,25.253 m?,56.7892 °
25 kHz,25.8376 m?,58.2921 °
26 kHz,26.4117 m?,59.2997 °
27 kHz,27.0851 m?,59.4329 °
28 kHz,27.998 m?,60.9235 °
29 kHz,28.6703 m?,61.3746 °
30 kHz,29.719 m?,61.5783 °
31 kHz,30.4993 m?,61.82 °
32 kHz,31.0493 m?,62.3815 °
33 kHz,31.6343 m?,62.8817 °
34 kHz,32.3023 m?,64.1473 °
35 kHz,33.1676 m?,64.0678 °
36 kHz,33.806 m?,64.8009 °
37 kHz,34.6386 m?,65.4863 °
38 kHz,35.4255 m?,65.9666 °
39 kHz,36.3276 m?,66.4309 °
40 kHz,37.1914 m?,66.7014 °
41 kHz,38.6109 m?,68.9314 °
42 kHz,40.0385 m?,70.3262 °
43 kHz,41.2082 m?,72.1912 °
44 kHz,42.8585 m?,73.5507 °
45 kHz,44.204 m?,74.8263 °
46 kHz,45.7438 m?,76.0314 °
47 kHz,41.6237 m?,66.0086 °
48 kHz,42.8535 m?,67.5043 °
49 kHz,43.8475 m?,68.8492 °
50 kHz,45.1158 m?,69.5454 °
51 kHz,45.6484 m?,69.8983 °
52 kHz,46.5555 m?,70.3563 °
53 kHz,47.1608 m?,70.7162 °
54 kHz,48.0744 m?,70.8217 °
55 kHz,48.6514 m?,71.2596 °
56 kHz,49.4904 m?,71.4171 °
57 kHz,50.3808 m?,71.6507 °
58 kHz,51.237 m?,71.8135 °
59 kHz,51.8977 m?,71.8079 °
60 kHz,52.4896 m?,71.9408 °
61 kHz,53.3823 m?,72.6566 °
62 kHz,54.2573 m?,72.7169 °
63 kHz,54.8953 m?,73.1476 °
64 kHz,55.6251 m?,73.6107 °
65 kHz,56.3468 m?,73.8287 °
66 kHz,57.1491 m?,74.0304 °
67 kHz,58.0508 m?,74.2665 °
68 kHz,58.6409 m?,74.6948 °
69 kHz,59.4755 m?,74.7485 °
70 kHz,60.207 m?,74.9932 °
71 kHz,61.1107 m?,74.9742 °
72 kHz,61.6711 m?,75.3958 °
73 kHz,62.4024 m?,75.4172 °
74 kHz,63.2009 m?,75.6179 °
75 kHz,63.9168 m?,75.6369 °
76 kHz,64.6603 m?,75.7333 °
77 kHz,65.5169 m?,75.9151 °
78 kHz,66.1573 m?,75.8421 °
79 kHz,66.8413 m?,75.8494 °
80 kHz,67.5988 m?,75.9647 °
81 kHz,68.2707 m?,76.2177 °
82 kHz,69.2783 m?,76.2331 °
83 kHz,70.092 m?,76.6297 °
84 kHz,70.9574 m?,76.6473 °
85 kHz,71.8446 m?,76.7466 °
86 kHz,72.605 m?,76.8634 °
87 kHz,73.3637 m?,77.0963 °
88 kHz,74.137 m?,77.1039 °
89 kHz,75.004 m?,77.1953 °
90 kHz,75.8473 m?,77.3374 °
91 kHz,76.612 m?,77.3573 °
92 kHz,77.3375 m?,77.4611 °
93 kHz,78.2547 m?,77.5075 °
94 kHz,78.8054 m?,77.4617 °
95 kHz,79.5495 m?,77.5742 °
96 kHz,80.3287 m?,77.6155 °
97 kHz,81.0605 m?,77.599 °
98 kHz,81.8475 m?,77.6466 °
99 kHz,82.5169 m?,77.6463 °
100 kHz,83.3146 m?,77.743 °
