Frequency,Z,?°
0.02 kHz,11.0054 m?,0.2068 °
0.04 kHz,11.0413 m?,0.5668 °
0.06 kHz,11.3194 m?,0.6809 °
0.08 kHz,11.0228 m?,1.3349 °
0.1 kHz,11.0772 m?,0.8778 °
0.12 kHz,11.0294 m?,0.9149 °
0.14 kHz,10.6573 m?,3.7027 °
0.16 kHz,10.6228 m?,4.3416 °
0.18 kHz,10.8345 m?,3.0362 °
0.2 kHz,11.081 m?,1.7736 °
0.22 kHz,11.0823 m?,2.2588 °
0.24 kHz,11.1062 m?,2.8839 °
0.26 kHz,11.1381 m?,2.9832 °
0.28 kHz,11.119 m?,2.6386 °
0.3 kHz,11.1117 m?,2.318 °
0.32 kHz,11.1672 m?,2.3297 °
0.34 kHz,11.2248 m?,2.4568 °
0.36 kHz,11.2372 m?,2.5678 °
0.38 kHz,11.2301 m?,2.638 °
0.4 kHz,11.2212 m?,2.7338 °
0.42 kHz,11.2435 m?,2.8689 °
0.44 kHz,11.2555 m?,2.9789 °
0.46 kHz,11.2574 m?,3.1022 °
0.48 kHz,11.2614 m?,3.2465 °
0.5 kHz,11.2596 m?,3.4537 °
0.52 kHz,11.2689 m?,3.4936 °
0.54 kHz,11.2936 m?,3.5777 °
0.56 kHz,11.3044 m?,3.7059 °
0.58 kHz,11.2949 m?,3.8933 °
0.6 kHz,11.3088 m?,4.0803 °
0.62 kHz,11.2992 m?,4.1487 °
0.64 kHz,11.2865 m?,4.2384 °
0.66 kHz,11.2834 m?,4.3402 °
0.68 kHz,11.2831 m?,4.4013 °
0.7 kHz,11.2766 m?,4.552 °
0.72 kHz,11.2859 m?,4.675 °
0.74 kHz,11.2975 m?,4.8155 °
0.76 kHz,11.317 m?,4.9058 °
0.78 kHz,11.3236 m?,5.0456 °
0.8 kHz,11.3574 m?,5.1855 °
0.82 kHz,11.3528 m?,5.2963 °
0.84 kHz,11.3635 m?,5.4385 °
0.86 kHz,11.366 m?,5.5681 °
0.88 kHz,11.3796 m?,5.6669 °
0.9 kHz,11.3803 m?,5.7702 °
0.92 kHz,11.3924 m?,5.8359 °
0.94 kHz,11.3945 m?,5.941 °
0.96 kHz,11.4002 m?,6.0208 °
0.98 kHz,11.4165 m?,6.1267 °
