Frequency,Z,?°
100 kHz,147.15 m?,90.2859 °
200 kHz,289.126 m?,89.4114 °
300 kHz,434.97 m?,89.4554 °
400 kHz,572.455 m?,89.4596 °
500 kHz,710.059 m?,89.412 °
600 kHz,844.252 m?,89.2683 °
700 kHz,983.768 m?,89.4404 °
800 kHz,1.1032 ?,89.283 °
900 kHz,1.2332 ?,89.1587 °
