Frequency,Z,?°
1 kHz,4.5523 m?,163.848 °
2 kHz,4.9055 m?,150.818 °
3 kHz,5.2825 m?,140.602 °
4 kHz,5.6854 m?,134.412 °
5 kHz,6.5056 m?,133.469 °
6 kHz,7.9422 m?,121.716 °
7 kHz,8.0402 m?,114.869 °
8 kHz,9.2588 m?,112.33 °
9 kHz,9.4928 m?,108.438 °
10 kHz,10.3046 m?,106.918 °
11 kHz,10.8395 m?,105.199 °
12 kHz,11.9124 m?,103.041 °
13 kHz,12.3282 m?,104.342 °
14 kHz,13.4755 m?,101.523 °
15 kHz,14.4538 m?,101.674 °
16 kHz,14.8857 m?,98.2452 °
17 kHz,15.9731 m?,95.63 °
18 kHz,15.7984 m?,98.3817 °
19 kHz,17.8492 m?,94.7153 °
20 kHz,18.9977 m?,94.5382 °
21 kHz,19.8036 m?,94.2282 °
22 kHz,20.3271 m?,94.0846 °
23 kHz,20.9795 m?,94.2602 °
24 kHz,21.7372 m?,94.0806 °
25 kHz,23.1814 m?,92.3508 °
26 kHz,23.6717 m?,92.9098 °
27 kHz,23.7557 m?,91.2817 °
28 kHz,24.884 m?,92.0798 °
29 kHz,25.8776 m?,93.1562 °
30 kHz,26.4338 m?,91.3523 °
31 kHz,26.8129 m?,91.7057 °
32 kHz,27.9351 m?,91.0948 °
33 kHz,28.5356 m?,91.9298 °
34 kHz,29.5001 m?,90.7245 °
35 kHz,30.3144 m?,90.2086 °
36 kHz,30.4376 m?,91.2863 °
37 kHz,32.8669 m?,90.8712 °
38 kHz,33.321 m?,89.9502 °
39 kHz,33.6485 m?,89.5829 °
40 kHz,35.4108 m?,90.3525 °
41 kHz,37.3697 m?,91.0887 °
42 kHz,39.2071 m?,92.7396 °
43 kHz,39.808 m?,92.0781 °
44 kHz,41.7254 m?,93.0969 °
45 kHz,36.1825 m?,84.5952 °
46 kHz,37.4824 m?,84.3619 °
47 kHz,38.0997 m?,86.1207 °
48 kHz,39.4849 m?,87.8052 °
49 kHz,41.6015 m?,87.4745 °
50 kHz,42.1435 m?,88.2333 °
51 kHz,43.1209 m?,88.5036 °
52 kHz,43.613 m?,88.5922 °
53 kHz,44.7615 m?,88.375 °
54 kHz,45.826 m?,88.0379 °
55 kHz,45.6802 m?,88.4873 °
56 kHz,47.3177 m?,88.5889 °
57 kHz,47.5171 m?,88.2299 °
58 kHz,48.3582 m?,88.512 °
59 kHz,49.0006 m?,88.2048 °
60 kHz,49.4442 m?,87.5387 °
61 kHz,50.0157 m?,87.5646 °
62 kHz,51.6241 m?,87.7884 °
63 kHz,52.7074 m?,88.0592 °
64 kHz,53.3753 m?,88.0773 °
65 kHz,53.5701 m?,88.0309 °
66 kHz,54.8027 m?,88.3033 °
67 kHz,55.2085 m?,87.8313 °
68 kHz,56.1414 m?,88.1065 °
69 kHz,57.3061 m?,87.6231 °
70 kHz,57.754 m?,87.7213 °
71 kHz,58.6922 m?,88.2515 °
72 kHz,59.622 m?,87.7944 °
73 kHz,59.7734 m?,87.399 °
74 kHz,60.7974 m?,87.749 °
75 kHz,61.6208 m?,87.3699 °
76 kHz,61.9708 m?,87.6816 °
77 kHz,63.4794 m?,87.2504 °
78 kHz,63.6603 m?,86.8647 °
79 kHz,65.334 m?,87.4785 °
80 kHz,65.3943 m?,86.9047 °
81 kHz,65.6963 m?,87.0216 °
82 kHz,66.6461 m?,86.8384 °
83 kHz,67.4899 m?,86.9451 °
84 kHz,68.5177 m?,86.6674 °
85 kHz,69.2995 m?,87.1021 °
86 kHz,70.4054 m?,87 °
87 kHz,70.9483 m?,86.8255 °
88 kHz,71.5871 m?,87.1595 °
89 kHz,72.021 m?,86.8972 °
90 kHz,73.1646 m?,86.9224 °
91 kHz,73.6578 m?,86.9104 °
92 kHz,74.6594 m?,86.9854 °
93 kHz,75.2209 m?,87.0105 °
94 kHz,76.1898 m?,86.7553 °
95 kHz,76.7322 m?,86.6254 °
96 kHz,77.6892 m?,86.864 °
97 kHz,78.1289 m?,86.4801 °
98 kHz,79.4319 m?,86.7756 °
99 kHz,79.6826 m?,86.5774 °
100 kHz,80.3245 m?,86.4756 °
