Frequency,Z,?°
0.02 kHz,7.1496 m?,-177.216 °
0.04 kHz,4.6504 m?,178.041 °
0.06 kHz,4.7693 m?,-179.251 °
0.08 kHz,4.6652 m?,-179.269 °
0.1 kHz,4.4887 m?,178.383 °
0.12 kHz,4.5344 m?,176.458 °
0.14 kHz,3.8779 m?,171.187 °
0.16 kHz,3.9322 m?,170.101 °
0.18 kHz,4.2287 m?,171.997 °
0.2 kHz,4.5441 m?,175.824 °
0.22 kHz,4.6866 m?,174.274 °
0.24 kHz,4.8155 m?,174.132 °
0.26 kHz,4.7613 m?,173.157 °
0.28 kHz,4.6551 m?,173.721 °
0.3 kHz,4.54 m?,174.563 °
0.32 kHz,4.5366 m?,174.792 °
0.34 kHz,4.5361 m?,174.134 °
0.36 kHz,4.5724 m?,173.316 °
0.38 kHz,4.5309 m?,173.395 °
0.4 kHz,4.5559 m?,172.894 °
0.42 kHz,4.4843 m?,171.832 °
0.44 kHz,4.4781 m?,172.264 °
0.46 kHz,4.4773 m?,172.099 °
0.48 kHz,4.4426 m?,170.991 °
0.5 kHz,4.442 m?,170.357 °
0.52 kHz,4.4634 m?,170.489 °
0.54 kHz,4.4818 m?,170.264 °
0.56 kHz,4.5234 m?,170.405 °
0.58 kHz,4.5236 m?,169.52 °
0.6 kHz,4.5473 m?,169.001 °
0.62 kHz,4.5577 m?,169.243 °
0.64 kHz,4.5934 m?,169.03 °
0.66 kHz,4.6174 m?,169.099 °
0.68 kHz,4.5842 m?,168.441 °
0.7 kHz,4.674 m?,168.231 °
0.72 kHz,4.619 m?,168.206 °
0.74 kHz,4.6377 m?,166.863 °
0.76 kHz,4.5352 m?,167.389 °
0.78 kHz,4.6077 m?,167.253 °
0.8 kHz,4.5956 m?,166.816 °
0.82 kHz,4.6208 m?,166.255 °
0.84 kHz,4.6303 m?,166.15 °
0.86 kHz,4.616 m?,165.766 °
0.88 kHz,4.5943 m?,165.281 °
0.9 kHz,4.577 m?,165.182 °
0.92 kHz,4.5605 m?,165.114 °
0.94 kHz,4.5552 m?,164.61 °
0.96 kHz,4.5502 m?,164.254 °
0.98 kHz,4.5332 m?,164.409 °
