Frequency,Z,?°
0.02 kHz,11.5735 m?,179.332 °
0.04 kHz,8.7104 m?,179.225 °
0.06 kHz,8.8582 m?,-179.571 °
0.08 kHz,8.7451 m?,-179.043 °
0.1 kHz,8.6365 m?,179.246 °
0.12 kHz,8.7374 m?,178.577 °
0.14 kHz,8.1998 m?,175.551 °
0.16 kHz,7.9196 m?,175.616 °
0.18 kHz,8.4307 m?,176.837 °
0.2 kHz,8.8099 m?,178.346 °
0.22 kHz,8.9798 m?,178.215 °
0.24 kHz,9.1248 m?,177.517 °
0.26 kHz,9.1721 m?,177.72 °
0.28 kHz,9.0373 m?,178.126 °
0.3 kHz,8.9269 m?,178.412 °
0.32 kHz,8.9643 m?,178.496 °
0.34 kHz,8.9742 m?,178.25 °
0.36 kHz,9.0012 m?,178.201 °
0.38 kHz,9.0085 m?,177.813 °
0.4 kHz,9.0334 m?,177.625 °
0.42 kHz,9.0376 m?,177.33 °
0.44 kHz,8.9568 m?,177.763 °
0.46 kHz,9.044 m?,177.581 °
0.48 kHz,9.0198 m?,177.402 °
0.5 kHz,8.995 m?,177.247 °
0.52 kHz,9.0324 m?,176.971 °
0.54 kHz,9.0467 m?,177.301 °
0.56 kHz,9.0985 m?,176.989 °
0.58 kHz,9.1165 m?,176.964 °
0.6 kHz,9.1284 m?,176.708 °
0.62 kHz,9.1661 m?,176.851 °
0.64 kHz,9.1894 m?,176.667 °
0.66 kHz,9.2028 m?,176.694 °
0.68 kHz,9.2306 m?,176.606 °
0.7 kHz,9.2702 m?,176.364 °
0.72 kHz,9.253 m?,176.318 °
0.74 kHz,9.3669 m?,176.576 °
0.76 kHz,9.2627 m?,176.587 °
0.78 kHz,9.2533 m?,176.097 °
0.8 kHz,9.2393 m?,175.857 °
0.82 kHz,9.2355 m?,175.773 °
0.84 kHz,9.2637 m?,175.667 °
0.86 kHz,9.251 m?,175.66 °
0.88 kHz,9.2626 m?,175.652 °
0.9 kHz,9.2665 m?,175.52 °
0.92 kHz,9.2333 m?,175.492 °
0.94 kHz,9.2252 m?,175.328 °
0.96 kHz,9.2095 m?,175.487 °
0.98 kHz,9.2006 m?,175.317 °
