Frequency,Z,?°
0.02 kHz,8.1615 m?,-179.432 °
0.04 kHz,5.5489 m?,178.855 °
0.06 kHz,5.6284 m?,-179.314 °
0.08 kHz,5.5074 m?,-178.916 °
0.1 kHz,5.2876 m?,178.546 °
0.12 kHz,5.4096 m?,177.705 °
0.14 kHz,4.9025 m?,171.603 °
0.16 kHz,4.8686 m?,170.88 °
0.18 kHz,5.0714 m?,173.642 °
0.2 kHz,5.383 m?,176.218 °
0.22 kHz,5.5124 m?,175.958 °
0.24 kHz,5.6367 m?,175.318 °
0.26 kHz,5.6676 m?,175.105 °
0.28 kHz,5.4877 m?,175.281 °
0.3 kHz,5.3729 m?,175.922 °
0.32 kHz,5.3913 m?,175.932 °
0.34 kHz,5.341 m?,175.43 °
0.36 kHz,5.3739 m?,175.331 °
0.38 kHz,5.3537 m?,174.588 °
0.4 kHz,5.3441 m?,174.832 °
0.42 kHz,5.3654 m?,174.845 °
0.44 kHz,5.2964 m?,174.544 °
0.46 kHz,5.255 m?,174.243 °
0.48 kHz,5.2589 m?,173.245 °
0.5 kHz,5.2747 m?,172.631 °
0.52 kHz,5.3051 m?,173.015 °
0.54 kHz,5.2976 m?,172.526 °
0.56 kHz,5.3575 m?,173.028 °
0.58 kHz,5.3264 m?,172.414 °
0.6 kHz,5.355 m?,172.301 °
0.62 kHz,5.3805 m?,171.813 °
0.64 kHz,5.3752 m?,172.039 °
0.66 kHz,5.4172 m?,171.916 °
0.68 kHz,5.4354 m?,171.307 °
0.7 kHz,5.4253 m?,171.584 °
0.72 kHz,5.4293 m?,171.152 °
0.74 kHz,5.5173 m?,171.478 °
0.76 kHz,5.3569 m?,171.164 °
0.78 kHz,5.418 m?,170.167 °
0.8 kHz,5.4369 m?,169.979 °
0.82 kHz,5.3954 m?,170.02 °
0.84 kHz,5.4456 m?,169.642 °
0.86 kHz,5.4104 m?,169.69 °
0.88 kHz,5.4228 m?,169.425 °
0.9 kHz,5.4005 m?,169.156 °
0.92 kHz,5.3835 m?,168.969 °
0.94 kHz,5.3868 m?,168.939 °
0.96 kHz,5.3444 m?,168.7 °
0.98 kHz,5.3473 m?,168.176 °
