Frequency,Z,?°
1 kHz,5.3284 m?,168.026 °
2 kHz,5.6175 m?,157.792 °
3 kHz,5.8858 m?,149.237 °
4 kHz,6.4631 m?,143.021 °
5 kHz,7.0516 m?,134.954 °
6 kHz,7.6489 m?,128.461 °
7 kHz,8.4274 m?,124.737 °
8 kHz,9.1201 m?,120.013 °
9 kHz,9.7062 m?,117.335 °
10 kHz,10.1425 m?,114.49 °
11 kHz,11.0784 m?,113.842 °
12 kHz,11.5249 m?,106.868 °
13 kHz,12.2454 m?,113.837 °
14 kHz,12.6071 m?,106.18 °
15 kHz,14.1657 m?,109.83 °
16 kHz,14.684 m?,107.965 °
17 kHz,15.5989 m?,105.049 °
18 kHz,16.3682 m?,103.392 °
19 kHz,17.7328 m?,98.7163 °
20 kHz,18.3017 m?,100.499 °
21 kHz,19.4795 m?,101.503 °
22 kHz,20.4512 m?,98.9724 °
23 kHz,20.6802 m?,99.079 °
24 kHz,21.8964 m?,98.4756 °
25 kHz,23.2904 m?,99.3689 °
26 kHz,23.446 m?,97.0395 °
27 kHz,24.4987 m?,98.1859 °
28 kHz,24.7475 m?,97.7412 °
29 kHz,25.2507 m?,98.0948 °
30 kHz,26.1556 m?,96.7756 °
31 kHz,26.5762 m?,97.4954 °
32 kHz,27.6237 m?,96.4908 °
33 kHz,28.4479 m?,95.5294 °
34 kHz,29.6639 m?,95.883 °
35 kHz,30.0344 m?,95.8893 °
36 kHz,30.7574 m?,96.2477 °
37 kHz,32.0211 m?,94.9069 °
38 kHz,33.276 m?,95.087 °
39 kHz,34.6594 m?,95.0619 °
40 kHz,35.4375 m?,94.4549 °
41 kHz,37.3742 m?,95.4073 °
42 kHz,38.503 m?,96.3187 °
43 kHz,40.628 m?,97.5542 °
44 kHz,42.4777 m?,96.6057 °
45 kHz,35.8114 m?,89.2972 °
46 kHz,37.4781 m?,89.9628 °
47 kHz,38.7426 m?,90.9818 °
48 kHz,39.9353 m?,91.3821 °
49 kHz,41.3689 m?,92.1383 °
50 kHz,42.3946 m?,92.5228 °
51 kHz,43.4508 m?,92.5179 °
52 kHz,44.3011 m?,92.9317 °
53 kHz,45.3762 m?,92.5955 °
54 kHz,46.0927 m?,92.73 °
55 kHz,47.1026 m?,92.5301 °
56 kHz,47.0206 m?,92.251 °
57 kHz,48.2676 m?,92.1145 °
58 kHz,48.9104 m?,91.8102 °
59 kHz,49.5142 m?,91.8143 °
60 kHz,50.4509 m?,91.8709 °
61 kHz,51.4963 m?,91.5591 °
62 kHz,52.4549 m?,91.7049 °
63 kHz,52.7349 m?,92.0149 °
64 kHz,53.8101 m?,91.5802 °
65 kHz,54.4129 m?,92.1784 °
66 kHz,55.8103 m?,91.872 °
67 kHz,56.5985 m?,91.7065 °
68 kHz,57.686 m?,91.9171 °
69 kHz,58.1175 m?,91.7529 °
70 kHz,59.0765 m?,91.568 °
71 kHz,59.6858 m?,91.7469 °
72 kHz,60.6417 m?,91.5133 °
73 kHz,61.2599 m?,91.7849 °
74 kHz,61.7377 m?,91.1928 °
75 kHz,62.4634 m?,90.9517 °
76 kHz,63.6735 m?,91.9033 °
77 kHz,64.1729 m?,90.8994 °
78 kHz,65.309 m?,90.7768 °
79 kHz,65.904 m?,90.2598 °
80 kHz,66.547 m?,90.2781 °
81 kHz,67.6515 m?,90.6781 °
82 kHz,68.5425 m?,90.6059 °
83 kHz,69.2316 m?,90.6769 °
84 kHz,70.2177 m?,90.6719 °
85 kHz,71.0579 m?,90.4149 °
86 kHz,72.0882 m?,90.2852 °
87 kHz,72.1876 m?,90.3262 °
88 kHz,73.6122 m?,90.4061 °
89 kHz,74.7041 m?,90.588 °
90 kHz,74.9758 m?,90.2964 °
91 kHz,76.0289 m?,90.6118 °
92 kHz,76.6727 m?,90.3362 °
93 kHz,77.3735 m?,90.3472 °
94 kHz,78.1055 m?,90.4309 °
95 kHz,79.3943 m?,90.2687 °
96 kHz,79.9711 m?,90.0147 °
97 kHz,80.7024 m?,90.0981 °
98 kHz,81.3835 m?,89.8069 °
99 kHz,82.1278 m?,89.6348 °
100 kHz,82.9991 m?,89.738 °
