Frequency,Z,?°
1 kHz,3.7968 m?,154.823 °
2 kHz,4.7306 m?,137.572 °
3 kHz,5.7681 m?,126.343 °
4 kHz,7.2204 m?,122.229 °
5 kHz,8.6628 m?,114.777 °
6 kHz,10.1976 m?,109.189 °
7 kHz,11.4915 m?,106.84 °
8 kHz,13.0367 m?,103.517 °
9 kHz,14.0214 m?,102.278 °
10 kHz,15.4314 m?,101.259 °
11 kHz,16.5992 m?,101.094 °
12 kHz,18.5085 m?,97.0119 °
13 kHz,18.9581 m?,99.8779 °
14 kHz,21.091 m?,98.6263 °
15 kHz,22.7256 m?,98.7821 °
16 kHz,23.758 m?,97.0517 °
17 kHz,25.3281 m?,96.1611 °
18 kHz,27.2708 m?,96.6366 °
19 kHz,28.5623 m?,95.2586 °
20 kHz,30.4715 m?,94.9161 °
21 kHz,31.3511 m?,94.3077 °
22 kHz,33.7153 m?,95.8979 °
23 kHz,34.6191 m?,95.0107 °
24 kHz,35.6945 m?,94.6688 °
25 kHz,37.6292 m?,94.3344 °
26 kHz,39.3962 m?,93.5866 °
27 kHz,40.3178 m?,93.8757 °
28 kHz,42.1237 m?,93.9873 °
29 kHz,43.6306 m?,93.306 °
30 kHz,44.9997 m?,93.6925 °
31 kHz,46.1071 m?,93.1178 °
32 kHz,47.3159 m?,93.4152 °
33 kHz,49.3957 m?,93.601 °
34 kHz,50.3324 m?,93.0051 °
35 kHz,52.4659 m?,93.3179 °
36 kHz,54.0471 m?,93.1994 °
37 kHz,55.5572 m?,92.587 °
38 kHz,57.3444 m?,92.8256 °
39 kHz,58.9252 m?,92.3139 °
40 kHz,60.8714 m?,91.8254 °
41 kHz,64.1636 m?,92.9688 °
42 kHz,64.9918 m?,93.5567 °
43 kHz,67.6083 m?,94.1202 °
44 kHz,62.549 m?,89.0508 °
45 kHz,64.5836 m?,89.4144 °
46 kHz,66.4932 m?,90.2074 °
47 kHz,68.1584 m?,90.021 °
48 kHz,70.7342 m?,90.7337 °
49 kHz,72.4271 m?,91.1073 °
50 kHz,74.348 m?,91.6401 °
51 kHz,76.1084 m?,91.0688 °
52 kHz,77.6285 m?,91.8872 °
53 kHz,78.9033 m?,91.4252 °
54 kHz,80.2789 m?,91.2692 °
55 kHz,81.0051 m?,91.5942 °
56 kHz,83.1408 m?,91.1873 °
57 kHz,84.0342 m?,91.9307 °
58 kHz,85.721 m?,91.1589 °
59 kHz,87.4531 m?,91.276 °
60 kHz,88.3215 m?,91.201 °
61 kHz,90.0872 m?,91.3078 °
62 kHz,91.7416 m?,91.319 °
63 kHz,93.6435 m?,91.4476 °
64 kHz,94.9259 m?,91.2151 °
65 kHz,96.2603 m?,91.3174 °
66 kHz,97.5911 m?,91.5375 °
67 kHz,99.0867 m?,91.3162 °
68 kHz,100.776 m?,91.2224 °
69 kHz,102.224 m?,91.2822 °
70 kHz,103.64 m?,91.1857 °
71 kHz,104.645 m?,91.154 °
72 kHz,106.436 m?,91.2024 °
73 kHz,107.903 m?,91.1973 °
74 kHz,109.53 m?,91.047 °
75 kHz,110.885 m?,91.07 °
76 kHz,112.247 m?,90.9578 °
77 kHz,113.542 m?,90.9083 °
78 kHz,115.23 m?,90.7191 °
79 kHz,116.574 m?,90.7021 °
80 kHz,117.807 m?,90.5386 °
81 kHz,119.579 m?,90.5281 °
82 kHz,121.208 m?,90.656 °
83 kHz,122.369 m?,90.6973 °
84 kHz,123.848 m?,90.599 °
85 kHz,124.947 m?,90.7438 °
86 kHz,127.05 m?,90.7664 °
87 kHz,128.543 m?,90.5926 °
88 kHz,130.208 m?,90.7504 °
89 kHz,131.557 m?,90.7096 °
90 kHz,133.005 m?,90.6779 °
91 kHz,134.552 m?,90.4774 °
92 kHz,136.098 m?,90.6031 °
93 kHz,137.422 m?,90.5849 °
94 kHz,138.821 m?,90.5173 °
95 kHz,139.964 m?,90.6222 °
96 kHz,141.589 m?,90.5827 °
97 kHz,142.815 m?,90.2915 °
98 kHz,144.541 m?,90.3466 °
99 kHz,145.903 m?,90.3428 °
100 kHz,147.121 m?,90.3325 °
