Frequency,Z,?°
1 kHz,9.288 m?,175.254 °
2 kHz,9.4035 m?,170.639 °
3 kHz,9.4553 m?,166.658 °
4 kHz,9.6893 m?,161.942 °
5 kHz,10.0746 m?,157.188 °
6 kHz,10.0226 m?,154.891 °
7 kHz,10.4123 m?,150.84 °
8 kHz,10.7032 m?,146.272 °
9 kHz,11.0414 m?,144.287 °
10 kHz,11.2785 m?,141.045 °
11 kHz,10.8155 m?,143.021 °
12 kHz,12.2724 m?,135.137 °
13 kHz,13.2834 m?,134.94 °
14 kHz,13.7804 m?,131.261 °
15 kHz,13.9283 m?,131.814 °
16 kHz,14.197 m?,128.019 °
17 kHz,14.0514 m?,125.556 °
18 kHz,14.9036 m?,124.126 °
19 kHz,15.9367 m?,120.599 °
20 kHz,15.5739 m?,118.411 °
21 kHz,17.0576 m?,118.669 °
22 kHz,17.2419 m?,118.385 °
23 kHz,17.9483 m?,117.003 °
24 kHz,18.5833 m?,115.552 °
25 kHz,19.1297 m?,115.944 °
26 kHz,19.0642 m?,114.636 °
27 kHz,20.3889 m?,111.995 °
28 kHz,20.6157 m?,112.819 °
29 kHz,21.572 m?,112.276 °
30 kHz,21.677 m?,112.103 °
31 kHz,21.7699 m?,111.721 °
32 kHz,23.7336 m?,109.901 °
33 kHz,23.3359 m?,107.783 °
34 kHz,24.3753 m?,108.371 °
35 kHz,25.0794 m?,109.475 °
36 kHz,25.7762 m?,106.822 °
37 kHz,26.4951 m?,106.66 °
38 kHz,27.2863 m?,106.327 °
39 kHz,28.0434 m?,105.575 °
40 kHz,28.769 m?,103.852 °
41 kHz,30.3973 m?,105.029 °
42 kHz,32.2163 m?,106.367 °
43 kHz,33.1245 m?,106.318 °
44 kHz,34.8965 m?,106.162 °
45 kHz,36.7607 m?,106.461 °
46 kHz,29.1134 m?,98.4988 °
47 kHz,30.7057 m?,97.1516 °
48 kHz,31.5091 m?,99.9337 °
49 kHz,32.9567 m?,99.7239 °
50 kHz,33.8674 m?,100.318 °
51 kHz,34.8129 m?,100.627 °
52 kHz,35.4383 m?,101.279 °
53 kHz,35.38 m?,99.2983 °
54 kHz,35.7834 m?,99.8255 °
55 kHz,36.9273 m?,99.444 °
56 kHz,36.8254 m?,99.1564 °
57 kHz,38.9953 m?,99.6068 °
58 kHz,38.1942 m?,98.5529 °
59 kHz,39.4226 m?,98.8725 °
60 kHz,39.7246 m?,97.8479 °
61 kHz,40.4691 m?,97.8439 °
62 kHz,41.0745 m?,98.2059 °
63 kHz,41.8529 m?,97.4891 °
64 kHz,42.3466 m?,97.5169 °
65 kHz,43.1008 m?,97.0131 °
66 kHz,44.1621 m?,97.5865 °
67 kHz,44.4149 m?,96.9748 °
68 kHz,44.5871 m?,96.3901 °
69 kHz,45.355 m?,96.0793 °
70 kHz,45.8745 m?,96.4975 °
71 kHz,47.2708 m?,96.6944 °
72 kHz,47.4027 m?,96.1602 °
73 kHz,48.2334 m?,95.8888 °
74 kHz,48.9572 m?,95.5031 °
75 kHz,49.2893 m?,95.2013 °
76 kHz,49.5684 m?,95.5822 °
77 kHz,49.6218 m?,95.061 °
78 kHz,50.8064 m?,94.5429 °
79 kHz,51.6698 m?,94.7145 °
80 kHz,51.8024 m?,93.8371 °
81 kHz,52.3772 m?,94.3071 °
82 kHz,53.3828 m?,94.3267 °
83 kHz,53.8981 m?,93.5599 °
84 kHz,54.7225 m?,93.535 °
85 kHz,55.4248 m?,93.4765 °
86 kHz,55.8881 m?,93.4571 °
87 kHz,56.7776 m?,93.6106 °
88 kHz,56.8438 m?,93.2616 °
89 kHz,57.7284 m?,93.1476 °
90 kHz,58.256 m?,93.1083 °
91 kHz,59.0117 m?,92.6812 °
92 kHz,59.49 m?,92.5719 °
93 kHz,59.7677 m?,92.5638 °
94 kHz,60.3025 m?,92.5639 °
95 kHz,61.0043 m?,92.6936 °
96 kHz,61.3813 m?,92.1776 °
97 kHz,62.4457 m?,92.3862 °
98 kHz,62.6612 m?,91.9422 °
99 kHz,63.1612 m?,91.7957 °
100 kHz,63.8044 m?,91.4264 °
