Frequency,Z,?°
1 kHz,29.2164 m?,4.5021 °
1.1 kHz,29.1611 m?,4.9872 °
1.2 kHz,29.0794 m?,5.4705 °
1.3 kHz,28.9952 m?,5.9663 °
1.4 kHz,28.9179 m?,6.4281 °
1.5 kHz,28.8353 m?,6.886 °
1.6 kHz,28.7372 m?,7.4017 °
1.7 kHz,28.6017 m?,7.9363 °
1.8 kHz,28.4999 m?,8.4276 °
1.9 kHz,28.3757 m?,8.9777 °
2 kHz,28.269 m?,9.475 °
2.1 kHz,28.1476 m?,10.0879 °
2.2 kHz,28.0037 m?,10.648 °
2.3 kHz,27.8603 m?,11.2444 °
2.4 kHz,27.7319 m?,11.8692 °
2.5 kHz,27.6083 m?,12.4551 °
2.6 kHz,27.4412 m?,13.138 °
2.7 kHz,27.285 m?,13.8551 °
2.8 kHz,27.1468 m?,14.5357 °
2.9 kHz,27.0056 m?,15.2628 °
3 kHz,26.8616 m?,15.9652 °
3.1 kHz,26.7584 m?,16.7451 °
3.2 kHz,26.5327 m?,17.6602 °
3.3 kHz,26.4865 m?,18.3874 °
3.4 kHz,26.318 m?,19.3009 °
3.5 kHz,26.1105 m?,20.2925 °
3.6 kHz,25.959 m?,21.1868 °
3.7 kHz,25.9115 m?,22.0879 °
3.8 kHz,25.6859 m?,23.0031 °
3.9 kHz,25.5642 m?,23.781 °
4 kHz,25.5076 m?,24.8704 °
4.1 kHz,25.3359 m?,25.9706 °
4.2 kHz,25.2652 m?,27.0341 °
4.3 kHz,25.1442 m?,28.1494 °
4.4 kHz,25.1575 m?,29.3237 °
4.5 kHz,24.9943 m?,30.3982 °
4.6 kHz,24.913 m?,31.5744 °
4.7 kHz,24.8401 m?,32.7106 °
4.8 kHz,24.7992 m?,33.8597 °
4.9 kHz,24.716 m?,34.898 °
5 kHz,24.7027 m?,36.0817 °
