Frequency,Z,?°
20 Hz,28.8375 m?,-3.2413 °
40 Hz,29.006 m?,-0.4073 °
60 Hz,28.9659 m?,0.2224 °
80 Hz,29.037 m?,0.1678 °
100 Hz,29.0851 m?,0.321 °
120 Hz,29.122 m?,0.5409 °
140 Hz,29.162 m?,0.4667 °
160 Hz,29.2434 m?,0.7884 °
180 Hz,29.1293 m?,0.8059 °
200 Hz,29.1355 m?,0.929 °
220 Hz,29.1469 m?,1.1492 °
240 Hz,29.1265 m?,1.3834 °
260 Hz,29.2775 m?,1.5361 °
280 Hz,29.1888 m?,1.3871 °
300 Hz,29.1517 m?,1.3266 °
320 Hz,29.135 m?,1.3674 °
340 Hz,29.083 m?,1.431 °
360 Hz,29.1994 m?,1.5794 °
380 Hz,29.1432 m?,1.57 °
400 Hz,29.1312 m?,1.6238 °
420 Hz,29.1294 m?,1.7212 °
440 Hz,29.0626 m?,1.7681 °
460 Hz,29.1392 m?,1.8259 °
480 Hz,29.0757 m?,1.9577 °
500 Hz,29.0627 m?,1.9859 °
520 Hz,29.0283 m?,2.0679 °
540 Hz,28.9935 m?,2.0819 °
560 Hz,29.0555 m?,2.3264 °
580 Hz,29.0162 m?,2.3889 °
600 Hz,28.9693 m?,2.5375 °
620 Hz,28.9426 m?,2.6038 °
640 Hz,28.9256 m?,2.6933 °
660 Hz,28.8458 m?,2.8102 °
680 Hz,28.879 m?,2.9401 °
700 Hz,28.8666 m?,3.0378 °
720 Hz,28.859 m?,3.1738 °
740 Hz,28.8225 m?,3.2636 °
760 Hz,28.8799 m?,3.4253 °
780 Hz,28.8522 m?,3.4924 °
800 Hz,28.865 m?,3.6063 °
820 Hz,28.8555 m?,3.7147 °
840 Hz,28.8457 m?,3.8683 °
860 Hz,28.8547 m?,3.8805 °
880 Hz,28.8342 m?,3.9755 °
900 Hz,28.8213 m?,4.1047 °
920 Hz,28.7943 m?,4.2174 °
940 Hz,28.7874 m?,4.2706 °
960 Hz,28.8149 m?,4.3973 °
980 Hz,28.7984 m?,4.5059 °
