Frequency,Z,?°
5 kHz,24.6754 m?,36.3705 °
30 kHz,210.742 m?,98.8735 °
55 kHz,418.368 m?,95.4467 °
80 kHz,620.334 m?,93.4398 °
105 kHz,817.446 m?,92.2409 °
130 kHz,1.0135 ?,91.3939 °
155 kHz,1.1948 ?,90.9922 °
180 kHz,1.3867 ?,90.5995 °
205 kHz,1.5778 ?,90.2588 °
230 kHz,1.7675 ?,90.0241 °
255 kHz,1.957 ?,89.804 °
280 kHz,2.1462 ?,89.6083 °
305 kHz,2.3346 ?,89.4285 °
330 kHz,2.5221 ?,89.2878 °
355 kHz,2.7093 ?,89.1633 °
380 kHz,2.896 ?,89.0487 °
405 kHz,3.0821 ?,88.9452 °
430 kHz,3.268 ?,88.8617 °
455 kHz,3.4532 ?,88.7849 °
480 kHz,3.6381 ?,88.7103 °
505 kHz,3.8229 ?,88.6477 °
530 kHz,4.007 ?,88.5855 °
555 kHz,4.1906 ?,88.5311 °
580 kHz,4.3743 ?,88.4831 °
605 kHz,4.5577 ?,88.4367 °
630 kHz,4.7409 ?,88.3995 °
655 kHz,4.9237 ?,88.366 °
680 kHz,5.1065 ?,88.331 °
705 kHz,5.2884 ?,88.2922 °
730 kHz,5.4704 ?,88.2532 °
755 kHz,5.6523 ?,88.214 °
780 kHz,5.8333 ?,88.1741 °
805 kHz,6.0139 ?,88.1359 °
830 kHz,6.1945 ?,88.1105 °
855 kHz,6.3751 ?,88.0793 °
880 kHz,6.555 ?,88.0519 °
905 kHz,6.7339 ?,88.0276 °
930 kHz,6.9126 ?,88.005 °
955 kHz,7.0912 ?,87.9814 °
980 kHz,7.2688 ?,87.9578 °
