Frequency,Z,?°
20 Hz,24.5065 m?,-6.5052 °
40 Hz,26.2119 m?,-0.2619 °
60 Hz,26.4709 m?,0.5473 °
80 Hz,26.325 m?,0.4926 °
100 Hz,26.3653 m?,0.6317 °
120 Hz,26.4225 m?,0.8721 °
140 Hz,26.4706 m?,1.371 °
160 Hz,26.307 m?,1.3407 °
180 Hz,26.4567 m?,1.3192 °
200 Hz,26.4452 m?,1.4044 °
220 Hz,26.4453 m?,1.6682 °
240 Hz,26.4381 m?,2.0246 °
260 Hz,26.5989 m?,1.9882 °
280 Hz,26.5272 m?,2.0494 °
300 Hz,26.4757 m?,2.0317 °
320 Hz,26.4744 m?,2.04 °
340 Hz,26.4279 m?,2.3344 °
360 Hz,26.5138 m?,2.1597 °
380 Hz,26.4909 m?,2.398 °
400 Hz,26.4888 m?,2.5482 °
420 Hz,26.4942 m?,2.6359 °
440 Hz,26.5417 m?,2.7289 °
460 Hz,26.4242 m?,2.8838 °
480 Hz,26.464 m?,2.9702 °
500 Hz,26.4347 m?,3.121 °
520 Hz,26.4173 m?,3.2604 °
540 Hz,26.4577 m?,3.4132 °
560 Hz,26.3531 m?,3.5507 °
580 Hz,26.4049 m?,3.6456 °
600 Hz,26.3776 m?,3.7665 °
620 Hz,26.3367 m?,3.9235 °
640 Hz,26.3463 m?,4.178 °
660 Hz,26.3154 m?,4.3099 °
680 Hz,26.3072 m?,4.3444 °
700 Hz,26.3104 m?,4.5173 °
720 Hz,26.3068 m?,4.6382 °
740 Hz,26.3142 m?,4.8862 °
760 Hz,26.2954 m?,4.9973 °
780 Hz,26.3056 m?,5.102 °
800 Hz,26.3147 m?,5.2527 °
820 Hz,26.3229 m?,5.4054 °
840 Hz,26.2797 m?,5.5001 °
860 Hz,26.2802 m?,5.6358 °
880 Hz,26.3263 m?,5.82 °
900 Hz,26.3035 m?,5.9401 °
920 Hz,26.301 m?,6.0803 °
940 Hz,26.3263 m?,6.2082 °
960 Hz,26.3268 m?,6.3634 °
980 Hz,26.3145 m?,6.4259 °
