Frequency,Z,?°
5 kHz,24.9359 m?,44.5783 °
30 kHz,227.177 m?,98.6669 °
55 kHz,448.031 m?,95.2681 °
80 kHz,663.158 m?,93.3184 °
105 kHz,873.429 m?,92.1422 °
130 kHz,1.0828 ?,91.379 °
155 kHz,1.2762 ?,90.9675 °
180 kHz,1.481 ?,90.5983 °
205 kHz,1.6846 ?,90.3027 °
230 kHz,1.8877 ?,90.0625 °
255 kHz,2.0904 ?,89.8484 °
280 kHz,2.2923 ?,89.6633 °
305 kHz,2.494 ?,89.512 °
330 kHz,2.6947 ?,89.3736 °
355 kHz,2.8949 ?,89.2549 °
380 kHz,3.0946 ?,89.1497 °
405 kHz,3.294 ?,89.0559 °
430 kHz,3.493 ?,88.9774 °
455 kHz,3.6916 ?,88.9131 °
480 kHz,3.8896 ?,88.8458 °
505 kHz,4.0871 ?,88.7861 °
530 kHz,4.2846 ?,88.7311 °
555 kHz,4.4815 ?,88.6817 °
580 kHz,4.6782 ?,88.6366 °
605 kHz,4.8747 ?,88.5933 °
630 kHz,5.0712 ?,88.5582 °
655 kHz,5.2671 ?,88.5274 °
680 kHz,5.4626 ?,88.4953 °
705 kHz,5.6582 ?,88.4583 °
730 kHz,5.8533 ?,88.424 °
755 kHz,6.0481 ?,88.3867 °
780 kHz,6.2424 ?,88.3509 °
805 kHz,6.4358 ?,88.3186 °
830 kHz,6.6299 ?,88.2933 °
855 kHz,6.8231 ?,88.2645 °
880 kHz,7.0159 ?,88.2404 °
905 kHz,7.2081 ?,88.2177 °
930 kHz,7.4 ?,88.1962 °
955 kHz,7.5913 ?,88.1747 °
980 kHz,7.7822 ?,88.1549 °
