Frequency,Z,?°
1 kHz,26.2937 m?,6.5896 °
1.1 kHz,26.2437 m?,7.3123 °
1.2 kHz,26.2311 m?,7.9225 °
1.3 kHz,26.1745 m?,8.5696 °
1.4 kHz,26.112 m?,9.2421 °
1.5 kHz,26.0836 m?,9.8729 °
1.6 kHz,26.0161 m?,10.5792 °
1.7 kHz,25.9191 m?,11.2742 °
1.8 kHz,25.8463 m?,12.0181 °
1.9 kHz,25.7748 m?,12.6792 °
2 kHz,25.7235 m?,13.4098 °
2.1 kHz,25.6298 m?,14.215 °
2.2 kHz,25.5406 m?,14.9891 °
2.3 kHz,25.4451 m?,15.7837 °
2.4 kHz,25.3482 m?,16.6063 °
2.5 kHz,25.2679 m?,17.4048 °
2.6 kHz,25.1828 m?,18.2734 °
2.7 kHz,25.0972 m?,19.2043 °
2.8 kHz,25.0119 m?,20.0875 °
2.9 kHz,24.914 m?,20.9916 °
3 kHz,24.83 m?,21.8776 °
3.1 kHz,24.7548 m?,22.8762 °
3.2 kHz,24.7555 m?,23.8985 °
3.3 kHz,24.6282 m?,25.1448 °
3.4 kHz,24.4992 m?,26.0835 °
3.5 kHz,24.5189 m?,27.3025 °
3.6 kHz,24.4037 m?,28.5187 °
3.7 kHz,24.4307 m?,29.4603 °
3.8 kHz,24.3173 m?,30.509 °
3.9 kHz,24.3042 m?,31.8346 °
4 kHz,24.2362 m?,32.6264 °
4.1 kHz,24.2349 m?,33.9342 °
4.2 kHz,24.2638 m?,35.4076 °
4.3 kHz,24.2703 m?,36.6195 °
4.4 kHz,24.3293 m?,37.7567 °
4.5 kHz,24.2883 m?,39.1233 °
4.6 kHz,24.3756 m?,40.4161 °
4.7 kHz,24.4071 m?,41.7365 °
4.8 kHz,24.4505 m?,43.0493 °
4.9 kHz,24.6325 m?,44.2792 °
5 kHz,24.7418 m?,45.5779 °
