Frequency,Z,?°
5 kHz,22.2395 m?,48.0783 °
30 kHz,223.292 m?,99.7007 °
55 kHz,440.605 m?,95.8061 °
80 kHz,652.189 m?,93.6519 °
105 kHz,859.061 m?,92.3769 °
130 kHz,1.064 ?,91.5089 °
155 kHz,1.254 ?,91.0538 °
180 kHz,1.4555 ?,90.6578 °
205 kHz,1.6554 ?,90.3253 °
230 kHz,1.8543 ?,90.0727 °
255 kHz,2.0524 ?,89.8787 °
280 kHz,2.251 ?,89.6429 °
305 kHz,2.4485 ?,89.4703 °
330 kHz,2.645 ?,89.3261 °
355 kHz,2.8411 ?,89.2004 °
380 kHz,3.0367 ?,89.0907 °
405 kHz,3.2316 ?,88.9925 °
430 kHz,3.4269 ?,88.9085 °
455 kHz,3.6209 ?,88.8311 °
480 kHz,3.8146 ?,88.7675 °
505 kHz,4.0079 ?,88.7054 °
530 kHz,4.2008 ?,88.6501 °
555 kHz,4.3934 ?,88.5934 °
580 kHz,4.5858 ?,88.5508 °
605 kHz,4.7782 ?,88.5058 °
630 kHz,4.97 ?,88.473 °
655 kHz,5.1617 ?,88.443 °
680 kHz,5.3532 ?,88.4103 °
705 kHz,5.5442 ?,88.3782 °
730 kHz,5.7352 ?,88.3409 °
755 kHz,5.9257 ?,88.3076 °
780 kHz,6.1155 ?,88.2704 °
805 kHz,6.3048 ?,88.2369 °
830 kHz,6.495 ?,88.2095 °
855 kHz,6.6838 ?,88.1873 °
880 kHz,6.872 ?,88.1647 °
905 kHz,7.0603 ?,88.1431 °
930 kHz,7.2482 ?,88.1249 °
955 kHz,7.4351 ?,88.1048 °
980 kHz,7.6218 ?,88.0853 °
