Frequency,Z,?°
1 kHz,23.7912 m?,6.6268 °
1.1 kHz,23.9403 m?,7.2063 °
1.2 kHz,23.9154 m?,7.8416 °
1.3 kHz,23.8391 m?,8.5285 °
1.4 kHz,23.7645 m?,9.179 °
1.5 kHz,23.7072 m?,9.8599 °
1.6 kHz,23.6302 m?,10.549 °
1.7 kHz,23.5149 m?,11.2924 °
1.8 kHz,23.4435 m?,12.0545 °
1.9 kHz,23.3823 m?,12.8102 °
2 kHz,23.3207 m?,13.5013 °
2.1 kHz,23.2093 m?,14.2901 °
2.2 kHz,23.0962 m?,15.1852 °
2.3 kHz,22.9939 m?,16.0129 °
2.4 kHz,22.9066 m?,16.8838 °
2.5 kHz,22.8097 m?,17.7345 °
2.6 kHz,22.7175 m?,18.6317 °
2.7 kHz,22.6097 m?,19.6381 °
2.8 kHz,22.5213 m?,20.5657 °
2.9 kHz,22.4092 m?,21.5284 °
3 kHz,22.3366 m?,22.5739 °
3.1 kHz,22.3349 m?,23.6328 °
3.2 kHz,22.2083 m?,24.9122 °
3.3 kHz,22.1069 m?,26.2198 °
3.4 kHz,21.9371 m?,27.2373 °
3.5 kHz,21.9276 m?,28.1287 °
3.6 kHz,21.8942 m?,29.4564 °
3.7 kHz,21.7526 m?,30.6118 °
3.8 kHz,21.8445 m?,31.8548 °
3.9 kHz,21.7108 m?,33.2363 °
4 kHz,21.6816 m?,34.1306 °
4.1 kHz,21.6837 m?,35.7935 °
4.2 kHz,21.7156 m?,37.1627 °
4.3 kHz,21.7396 m?,38.4243 °
4.4 kHz,21.7168 m?,39.8397 °
4.5 kHz,21.7728 m?,41.2763 °
4.6 kHz,21.8487 m?,42.5813 °
4.7 kHz,21.9706 m?,43.8551 °
4.8 kHz,21.9839 m?,45.3439 °
4.9 kHz,22.0899 m?,46.7951 °
5 kHz,22.2255 m?,47.9101 °
