x-axis,y_1,y_2
Hz,Cp,D 
1000.000000,9.697896E-12,6.188277E-02
1247.500000,9.288755E-12,3.268524E-02
1495.000000,9.479982E-12,6.005570E-02
1742.500000,9.813375E-12,3.828594E-02
1990.000000,9.627665E-12,4.508831E-02
2237.500000,9.622136E-12,3.310560E-02
2485.000000,9.502037E-12,3.495579E-02
2732.500000,9.481283E-12,3.108635E-02
2980.000000,9.480263E-12,3.330070E-02
3227.500000,1.111324E-11,1.338620E-01
3475.000000,1.156715E-11,5.629988E-02
3722.500000,1.109602E-11,5.442300E-02
3970.000000,1.150791E-11,2.939885E-03
4217.500000,1.078865E-11,7.778577E-02
4465.000000,1.064269E-11,7.050751E-02
4712.500000,1.072677E-11,8.916485E-02
4960.000000,1.073067E-11,5.036531E-03
5207.500000,1.070777E-11,7.347536E-02
5455.000000,1.049930E-11,3.674020E-02
5702.500000,1.058469E-11,5.134784E-02
5950.000000,1.040068E-11,1.231762E-01
6197.500000,1.061758E-11,3.849874E-02
6445.000000,1.024973E-11,5.644993E-02
6692.500000,1.037113E-11,4.364339E-02
6940.000000,1.026026E-11,6.595234E-02
7187.500000,1.031536E-11,5.464005E-02
7435.000000,1.025009E-11,4.204166E-02
7682.500000,1.026971E-11,7.596835E-02
7930.000000,8.487866E-12,9.931266E-03
8177.500000,8.536664E-12,7.385888E-03
8425.000000,8.696254E-12,1.482021E-03
8672.500000,8.677650E-12,5.403592E-03
8920.000000,8.748792E-12,8.617956E-03
9167.500000,8.642538E-12,4.784824E-03
9415.000000,8.709299E-12,2.648514E-03
9662.500000,8.640431E-12,1.403590E-03
9910.000000,8.842743E-12,1.490363E-02
10157.500000,9.494943E-12,6.930269E-02
10405.000000,9.153661E-12,1.561385E-02
10652.500000,9.741119E-12,1.002551E-02
10900.000000,1.005011E-11,1.576493E-02
11147.500000,8.885925E-12,8.633920E-03
11395.000000,9.775061E-12,1.163478E-02
11642.500000,8.853394E-12,9.233012E-03
11890.000000,9.255412E-12,1.862482E-02
12137.500000,9.586074E-12,8.320807E-03
12385.000000,9.761373E-12,4.123246E-02
12632.500000,9.461784E-12,1.221203E-02
12880.000000,9.370690E-12,1.253102E-02
13127.500000,1.020966E-11,3.509994E-03
13375.000000,9.307133E-12,4.175161E-03
13622.500000,9.659262E-12,5.270916E-03
13870.000000,9.665671E-12,1.284878E-02
14117.500000,9.308698E-12,1.877442E-02
14365.000000,9.462629E-12,1.290505E-02
14612.500000,9.399746E-12,1.026452E-03
14860.000000,9.397186E-12,1.533597E-03
15107.500000,9.621430E-12,4.425017E-03
15355.000000,9.405926E-12,1.502140E-02
15602.500000,9.540680E-12,5.208871E-03
15850.000000,9.472353E-12,1.546618E-02
16097.500000,9.277148E-12,4.109458E-02
16345.000000,9.510929E-12,3.794271E-03
16592.500000,9.692630E-12,3.416399E-02
16840.000000,9.607618E-12,5.545213E-02
17087.500000,9.546519E-12,3.465558E-02
17335.000000,9.321269E-12,2.987216E-02
17582.500000,9.334142E-12,1.919902E-02
17830.000000,9.379430E-12,3.646368E-03
18077.500000,9.248624E-12,2.745962E-03
18325.000000,9.575579E-12,2.682456E-02
18572.500000,9.382770E-12,1.919488E-02
18820.000000,9.509346E-12,1.195951E-02
19067.500000,9.363683E-12,2.786251E-02
19315.000000,9.932592E-12,2.867979E-02
19562.500000,9.385745E-12,2.510309E-02
19810.000000,9.639714E-12,4.147216E-02
20057.500000,9.658636E-12,2.938977E-02
20305.000000,9.282170E-12,5.185071E-02
20552.500000,9.677223E-12,1.289053E-02
20800.000000,9.208606E-12,5.151021E-02
21047.500000,9.452915E-12,4.884522E-02
21295.000000,9.439371E-12,1.944709E-02
21542.500000,9.588573E-12,6.094363E-02
21790.000000,9.572184E-12,4.160680E-02
22037.500000,9.234936E-12,3.188368E-02
