Frequency,Z,?°
20 Hz,5.5544 m?,1.8421 °
40 Hz,6.2869 m?,-1.3908 °
60 Hz,6.2262 m?,-0.7463 °
80 Hz,6.2016 m?,-0.0013 °
100 Hz,6.2078 m?,1.236 °
120 Hz,6.2338 m?,0.8774 °
140 Hz,6.4536 m?,2.2093 °
160 Hz,6.5119 m?,2.697 °
180 Hz,6.3641 m?,2.3695 °
200 Hz,6.2371 m?,2.0072 °
220 Hz,6.2158 m?,2.79 °
240 Hz,6.219 m?,3.6113 °
260 Hz,6.2082 m?,3.8212 °
280 Hz,6.1943 m?,3.3314 °
300 Hz,6.173 m?,2.9245 °
320 Hz,6.2606 m?,3.1328 °
340 Hz,6.2621 m?,3.314 °
360 Hz,6.2638 m?,3.4053 °
380 Hz,6.2675 m?,3.6786 °
400 Hz,6.2529 m?,3.9871 °
420 Hz,6.2594 m?,4.0846 °
440 Hz,6.246 m?,4.1711 °
460 Hz,6.2569 m?,4.5088 °
480 Hz,6.248 m?,4.7133 °
500 Hz,6.2444 m?,5.0306 °
520 Hz,6.2504 m?,5.1303 °
540 Hz,6.2437 m?,5.3191 °
560 Hz,6.2475 m?,5.5673 °
580 Hz,6.2536 m?,5.9068 °
600 Hz,6.2592 m?,6.2695 °
620 Hz,6.2493 m?,6.3676 °
640 Hz,6.2457 m?,6.5842 °
660 Hz,6.2443 m?,6.718 °
680 Hz,6.2569 m?,6.9332 °
700 Hz,6.2544 m?,7.1712 °
720 Hz,6.2714 m?,7.3288 °
740 Hz,6.2791 m?,7.4884 °
760 Hz,6.2983 m?,7.6659 °
780 Hz,6.3184 m?,7.9448 °
800 Hz,6.3377 m?,8.0267 °
820 Hz,6.3395 m?,8.1585 °
840 Hz,6.3422 m?,8.3021 °
860 Hz,6.3569 m?,8.4113 °
880 Hz,6.3542 m?,8.541 °
900 Hz,6.3616 m?,8.7168 °
920 Hz,6.3657 m?,8.7711 °
940 Hz,6.3769 m?,8.9371 °
960 Hz,6.3877 m?,8.8956 °
980 Hz,6.3864 m?,9.0041 °
