Frequency,Z,?°
5 kHz,7.5571 m?,17.8904 °
30 kHz,11.9305 m?,53.108 °
55 kHz,17.6751 m?,71.4737 °
80 kHz,25.1362 m?,83.0239 °
105 kHz,33.9526 m?,89.4672 °
130 kHz,47.6664 m?,92.8084 °
155 kHz,53.5629 m?,97.7275 °
180 kHz,66.1429 m?,99.8702 °
205 kHz,77.9497 m?,100.89 °
230 kHz,91.4416 m?,101.489 °
255 kHz,104.502 m?,101.771 °
280 kHz,118.537 m?,101.649 °
305 kHz,132.247 m?,101.619 °
330 kHz,147.425 m?,101.15 °
355 kHz,162.027 m?,100.751 °
380 kHz,176.096 m?,100.46 °
405 kHz,189.927 m?,100.188 °
430 kHz,204.815 m?,99.5912 °
455 kHz,219.364 m?,99.0933 °
480 kHz,233.296 m?,98.6832 °
505 kHz,247.067 m?,98.2832 °
530 kHz,261.79 m?,97.8043 °
555 kHz,275.988 m?,97.3769 °
580 kHz,290.008 m?,97.0246 °
605 kHz,303.904 m?,96.6591 °
630 kHz,318.946 m?,96.339 °
655 kHz,333.806 m?,96.0237 °
680 kHz,348.189 m?,95.6718 °
705 kHz,362.238 m?,95.3209 °
730 kHz,375.857 m?,94.935 °
755 kHz,389.162 m?,94.544 °
780 kHz,401.801 m?,94.1295 °
805 kHz,414.326 m?,93.7544 °
830 kHz,428.604 m?,93.4423 °
855 kHz,443.015 m?,93.1442 °
880 kHz,456.489 m?,92.8426 °
905 kHz,469.348 m?,92.5757 °
930 kHz,481.972 m?,92.3504 °
955 kHz,494.236 m?,92.0975 °
980 kHz,505.742 m?,91.8566 °
