Frequency,Z,?°
1 kHz,21.0939 m?,10.4825 °
2 kHz,21.2502 m?,19.7719 °
3 kHz,21.3494 m?,30.436 °
4 kHz,21.9412 m?,43.0676 °
5 kHz,23.6469 m?,55.8286 °
6 kHz,26.8447 m?,67.4847 °
7 kHz,31.6675 m?,77.1931 °
8 kHz,37.1556 m?,84.2444 °
9 kHz,43.9821 m?,89.2271 °
10 kHz,51.0984 m?,92.9748 °
11 kHz,59.0805 m?,95.5113 °
12 kHz,67.21 m?,97.2737 °
13 kHz,75.7008 m?,98.257 °
14 kHz,84.5021 m?,99.002 °
15 kHz,93.3263 m?,99.6583 °
16 kHz,102.169 m?,99.8125 °
17 kHz,111.036 m?,99.8548 °
18 kHz,119.947 m?,99.9613 °
19 kHz,129.126 m?,99.9768 °
20 kHz,138.109 m?,100.035 °
21 kHz,147.098 m?,99.8399 °
22 kHz,156.112 m?,99.6467 °
23 kHz,165.141 m?,99.4602 °
24 kHz,174.241 m?,99.2749 °
25 kHz,183.431 m?,99.1135 °
26 kHz,192.327 m?,98.8878 °
27 kHz,201.118 m?,98.6461 °
28 kHz,210.067 m?,98.4042 °
29 kHz,218.939 m?,98.2235 °
30 kHz,228.073 m?,98.0157 °
31 kHz,236.73 m?,97.8159 °
32 kHz,245.4 m?,97.595 °
33 kHz,254.039 m?,97.4111 °
34 kHz,262.813 m?,97.2059 °
35 kHz,271.517 m?,96.9832 °
36 kHz,280.416 m?,96.819 °
37 kHz,289.238 m?,96.6173 °
38 kHz,297.941 m?,96.4401 °
39 kHz,306.984 m?,96.2594 °
40 kHz,315.725 m?,96.0913 °
41 kHz,324.328 m?,95.9367 °
42 kHz,332.993 m?,95.7512 °
43 kHz,341.535 m?,95.597 °
44 kHz,350.147 m?,95.4426 °
45 kHz,358.725 m?,95.2989 °
46 kHz,367.213 m?,95.1354 °
47 kHz,375.946 m?,94.9964 °
48 kHz,384.504 m?,94.8456 °
49 kHz,393.212 m?,94.6944 °
50 kHz,401.868 m?,94.561 °
51 kHz,410.316 m?,94.4373 °
52 kHz,418.773 m?,94.3103 °
53 kHz,427.234 m?,94.2039 °
54 kHz,435.614 m?,94.0622 °
55 kHz,444.108 m?,93.9554 °
56 kHz,452.545 m?,93.8427 °
57 kHz,460.991 m?,93.7256 °
58 kHz,469.423 m?,93.6099 °
59 kHz,477.942 m?,93.4993 °
60 kHz,486.337 m?,93.3951 °
61 kHz,494.669 m?,93.2911 °
62 kHz,503.002 m?,93.1932 °
63 kHz,511.293 m?,93.1124 °
64 kHz,519.586 m?,93.0109 °
65 kHz,527.858 m?,92.9229 °
66 kHz,536.21 m?,92.8308 °
67 kHz,544.451 m?,92.7447 °
68 kHz,552.737 m?,92.6506 °
69 kHz,560.981 m?,92.5619 °
70 kHz,569.296 m?,92.4862 °
71 kHz,577.58 m?,92.3988 °
72 kHz,585.82 m?,92.3118 °
73 kHz,594.108 m?,92.2227 °
74 kHz,602.295 m?,92.1462 °
75 kHz,610.556 m?,92.0644 °
76 kHz,618.812 m?,91.9815 °
77 kHz,627.053 m?,91.9058 °
78 kHz,635.334 m?,91.8224 °
79 kHz,643.52 m?,91.7487 °
80 kHz,651.733 m?,91.6781 °
81 kHz,659.894 m?,91.6083 °
82 kHz,668 m?,91.5452 °
83 kHz,676.139 m?,91.4831 °
84 kHz,684.305 m?,91.4249 °
85 kHz,692.405 m?,91.3577 °
86 kHz,700.501 m?,91.2994 °
87 kHz,708.564 m?,91.2356 °
88 kHz,716.648 m?,91.1811 °
89 kHz,724.759 m?,91.1216 °
90 kHz,732.85 m?,91.0659 °
91 kHz,740.874 m?,91.0046 °
92 kHz,748.978 m?,90.9438 °
93 kHz,757.026 m?,90.8923 °
94 kHz,765.038 m?,90.8382 °
95 kHz,773.114 m?,90.7853 °
96 kHz,781.181 m?,90.7255 °
97 kHz,789.239 m?,90.6705 °
98 kHz,797.184 m?,90.622 °
99 kHz,805.265 m?,90.5679 °
100 kHz,813.246 m?,90.5192 °
