Frequency,Z,?°
0.02 kHz,1.2642 m?,9.5866 °
0.04 kHz,1.5173 m?,0.2395 °
0.06 kHz,1.3466 m?,8.7278 °
0.08 kHz,1.3305 m?,6.4839 °
0.1 kHz,1.4648 m?,5.2806 °
0.12 kHz,1.5082 m?,3.2491 °
0.14 kHz,2.1489 m?,7.9228 °
0.16 kHz,2.4713 m?,12.6986 °
0.18 kHz,1.8955 m?,12.3253 °
0.2 kHz,1.4847 m?,10.8871 °
0.22 kHz,1.4227 m?,19.7731 °
0.24 kHz,1.4138 m?,24.705 °
0.26 kHz,1.411 m?,25.59 °
0.28 kHz,1.4865 m?,19.5728 °
0.3 kHz,1.4835 m?,14.0605 °
0.32 kHz,1.515 m?,17.0507 °
0.34 kHz,1.5259 m?,16.5867 °
0.36 kHz,1.5675 m?,17.251 °
0.38 kHz,1.5418 m?,17.1486 °
0.4 kHz,1.5328 m?,17.3193 °
0.42 kHz,1.5473 m?,15.7463 °
0.44 kHz,1.4848 m?,20.8712 °
0.46 kHz,1.5779 m?,16.779 °
0.48 kHz,1.516 m?,18.2936 °
0.5 kHz,1.5892 m?,17.9595 °
0.52 kHz,1.5566 m?,19.4479 °
0.54 kHz,1.466 m?,21.2067 °
0.56 kHz,1.481 m?,23.6555 °
0.58 kHz,1.4565 m?,23.9591 °
0.6 kHz,1.4354 m?,26.335 °
0.62 kHz,1.4181 m?,26.8382 °
0.64 kHz,1.3993 m?,27.983 °
0.66 kHz,1.3973 m?,28.6215 °
0.68 kHz,1.4281 m?,31.5505 °
0.7 kHz,1.4314 m?,31.3542 °
0.72 kHz,1.4443 m?,32.2186 °
0.74 kHz,1.3994 m?,36.8526 °
0.76 kHz,1.5553 m?,36.9386 °
0.78 kHz,1.517 m?,35.1457 °
0.8 kHz,1.5289 m?,34.1139 °
0.82 kHz,1.5088 m?,36.1022 °
0.84 kHz,1.5547 m?,36.5414 °
0.86 kHz,1.5847 m?,37.8864 °
0.88 kHz,1.5456 m?,37.8165 °
0.9 kHz,1.5954 m?,39.207 °
0.92 kHz,1.589 m?,38.7745 °
0.94 kHz,1.6348 m?,39.6672 °
0.96 kHz,1.6034 m?,40.8075 °
0.98 kHz,1.6158 m?,40.9792 °
