Frequency,Z,?°
100 kHz,180.745 m?,101.954 °
200 kHz,355.334 m?,96.053 °
300 kHz,528.159 m?,93.9036 °
400 kHz,701.707 m?,92.8971 °
500 kHz,868.818 m?,92.067 °
600 kHz,1.0353 ?,91.6512 °
700 kHz,1.2048 ?,91.4116 °
800 kHz,1.3518 ?,91.1482 °
900 kHz,1.514 ?,91.0236 °
