Frequency,Z,?°;;;Frequency,Z,?°;;;Frequency,Z,?°;;;Frequency,Z,?°;;;Frequency,Z,?°
0.48 kHz,1.516 m?,18.2936 °;;;0.48 kHz,6.8636 m?,177.528 °;;;0.48 kHz,10.1335 m?,179.713 °;;;0.48 kHz,36.3794 m?,179.998 °;;;0.48 kHz,37.4007 m?,178.57 °
0.5 kHz,1.5892 m?,17.9595 °;;;0.5 kHz,6.8829 m?,177.5 °;;;0.5 kHz,10.1103 m?,179.772 °;;;0.5 kHz,36.3759 m?,179.989 °;;;0.5 kHz,37.3808 m?,178.471 °
0.52 kHz,1.5566 m?,19.4479 °;;;0.52 kHz,6.9297 m?,177.285 °;;;0.52 kHz,10.1496 m?,179.818 °;;;0.52 kHz,36.3984 m?,-179.957 °;;;0.52 kHz,37.4125 m?,178.49 °
0.54 kHz,1.466 m?,21.2067 °;;;0.54 kHz,7.0205 m?,177.182 °;;;0.54 kHz,10.2084 m?,179.816 °;;;0.54 kHz,36.4062 m?,-179.951 °;;;0.54 kHz,37.4957 m?,178.358 °
0.56 kHz,1.481 m?,23.6555 °;;;0.56 kHz,7.0123 m?,177.094 °;;;0.56 kHz,10.2455 m?,179.847 °;;;0.56 kHz,36.4479 m?,-179.962 °;;;0.56 kHz,37.5448 m?,178.366 °
0.58 kHz,1.4565 m?,23.9591 °;;;0.58 kHz,7.0633 m?,177.102 °;;;0.58 kHz,10.2907 m?,179.799 °;;;0.58 kHz,36.5054 m?,-179.929 °;;;0.58 kHz,37.5311 m?,178.308 °
0.6 kHz,1.4354 m?,26.335 °;;;0.6 kHz,7.1098 m?,176.824 °;;;0.6 kHz,10.3253 m?,179.674 °;;;0.6 kHz,36.5075 m?,-179.951 °;;;0.6 kHz,37.575 m?,178.217 °
0.62 kHz,1.4181 m?,26.8382 °;;;0.62 kHz,7.1381 m?,176.983 °;;;0.62 kHz,10.3867 m?,179.678 °;;;0.62 kHz,36.5497 m?,-179.963 °;;;0.62 kHz,37.5331 m?,178.197 °
0.64 kHz,1.3993 m?,27.983 °;;;0.64 kHz,7.1832 m?,176.798 °;;;0.64 kHz,10.3844 m?,179.772 °;;;0.64 kHz,36.5355 m?,-179.933 °;;;0.64 kHz,37.6205 m?,178.124 °
0.66 kHz,1.3973 m?,28.6215 °;;;0.66 kHz,7.1978 m?,176.85 °;;;0.66 kHz,10.4278 m?,179.661 °;;;0.66 kHz,36.5397 m?,-179.93 °;;;0.66 kHz,37.6267 m?,178.119 °
