Ladekurvenmessung
Zeit: 2018_05_03 14.57.53
Info: SHC320, v = 1.06, T = 40, F = 20, h = 576.5
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7
68	-0.001498	-0.008072	-0.004621	-0.001005	-0.002977	-0.001169	-0.001169
69	-0.000347	-0.007579	-0.003306	-0.006264	-0.0061	-0.001827	-0.001498
70	-0.003799	-0.005114	-0.002484	-0.00347	-0.002813	-0.004621	-0.001169
71	-0.002155	-0.00347	-0.000676	-0.003635	-0.003635	-0.004292	-0.000347
72	-0.001827	-0.010373	-0.002484	-0.004292	-0.001169	-0.005443	0.00031
73	-0.000841	-0.003963	-0.001991	-0.00347	-0.001169	-0.00347	-0.001169
74	-0.001662	-0.004785	-0.002648	0.000967	-0.003635	0.001132	-0.000676
75	-0.000512	-0.004621	-0.001169	-0.00232	-0.003306	-0.00347	-1.9e-05
76	-0.000183	-0.001827	-0.001662	0.000803	0.000639	-0.002813	0.001954
77	-0.002155	-0.002484	-0.004949	-0.002648	-0.000841	-0.005114	-0.00232
78	-1.9e-05	-0.001827	-0.001334	-0.001827	-0.00232	-0.003799	-0.000183
79	-0.003142	-0.004128	-0.004128	-0.001498	-0.001827	-0.004292	-0.001334
80	0.001625	-0.00232	-0.001169	-0.00347	0.000474	-0.004456	-0.000183
81	-0.002813	-0.001005	-0.002484	-0.006593	-0.004949	-0.004785	-0.004128
82	-0.004785	-0.000183	-0.00347	-0.002484	-0.003963	-0.003635	-0.002813
83	-1.9e-05	-0.004128	-0.006429	-0.00347	-0.001991	-0.003963	-0.002484
84	-0.003142	-0.005771	-0.00232	-0.007744	-0.003142	-0.001991	-0.001662
85	-0.00347	-0.008894	-0.001991	-0.000183	-0.002977	-0.001991	-0.001991
86	-0.0061	-0.005443	-0.002484	-0.00232	-0.004949	-0.002648	-0.003306
87	-0.004128	-0.006922	-0.000512	-0.001169	0.000803	-0.004621	-0.001827
88	-0.002813	-0.005443	-0.003142	-0.001334	-0.002155	-0.002484	0.000474
89	-0.002484	-0.005443	-0.000183	-0.00347	-0.001334	-0.004949	-0.000347
90	0.000639	-0.002977	0.001625	-0.000347	0.00031	-0.005114	-0.000347
91	-0.000183	-0.00347	-0.000676	0.00031	0.00031	-0.008072	0.001789
92	-0.000512	-0.001991	-0.000676	-0.002484	-0.003799	-0.005771	-0.001005
93	-0.000676	-0.001005	-0.001334	-0.000841	0.001954	-0.008401	0.003104
94	-0.00347	-0.001827	-0.00232	-0.007744	-0.001991	-0.002977	-0.00347
95	-1.9e-05	-0.004292	-0.002155	-0.004292	0.001789	-0.004621	-0.001498
96	-0.003799	-0.002484	-0.001827	-0.005607	0.000639	-0.005771	-0.001827
97	-0.003306	-0.001334	-0.002155	-0.00232	-0.004785	-0.00347	0.00031
98	-0.00347	-0.001827	-0.003306	-0.005443	0.00146	-0.007086	0.003104
99	-0.001991	-1.9e-05	-0.002648	-0.005443	-0.001498	-0.003306	-0.002648
100	-0.004621	-0.001498	-0.004292	-0.004292	-0.000347	-0.004292	-0.006922
101	-0.002648	-0.002484	-0.000841	-0.000512	0.001625	-0.001334	-0.002155
102	-0.000841	-0.003306	0.00146	-0.00232	0.001296	-0.004785	-0.002484
103	-0.0061	-0.001169	-0.002155	-0.003963	-0.003963	-1.9e-05	-0.007086
104	-0.002977	-0.000676	-0.005607	-1.9e-05	0.000967	-0.003142	-0.00232
105	-0.003963	-0.002813	-0.001991	-0.00347	-0.00232	-0.001662	-0.001991
106	-0.001991	-0.002813	-0.002648	-0.000512	-0.001169	-0.004456	-0.003799
107	-0.001827	-0.005771	-0.000512	-0.001498	-0.003799	-0.003306	-0.003142
108	-0.003142	-0.001827	-0.003306	-0.000512	-0.000676	-0.004949	-0.001662
109	-0.002484	-0.001991	-0.000841	-0.003799	0.001132	-0.004292	-0.002648
110	0.000639	-0.004621	0.00146	-0.003306	0.001954	-0.005114	0.00031
111	-0.005114	-0.001991	-1.9e-05	-0.000183	-0.001498	-0.0061	-0.005936
112	-0.003963	-0.004128	-0.00232	-0.000841	-0.001334	-0.005114	-0.000347
113	-0.007908	-0.00347	0.001132	-0.000841	-0.003306	-0.006264	-0.001334
114	-0.005278	-0.000512	-0.000512	-0.000676	-0.006429	-0.004456	-0.003306
115	-0.007415	-0.003142	-0.004456	-0.002155	-0.003799	-0.00232	-0.00347
116	-0.009716	-0.001827	-0.000841	-0.002648	-0.003306	-0.002977	-0.005607
117	-0.011359	-0.002977	-0.004621	-0.001334	-0.003799	-0.002484	-0.004292
118	-0.005771	-0.00347	-0.001662	-0.001498	-0.003306	-0.002813	-0.001827
119	-0.006264	-0.005936	-0.003306	-0.001827	-0.004292	-0.004785	-0.004785
120	-0.004785	-0.003635	-0.001827	-0.003799	-0.003963	-0.002977	-0.005114
121	-0.003963	-0.005443	-0.001498	0.000474	-0.001334	0.000146	-0.00347
122	-0.002155	-0.005278	-0.001662	-0.004292	-0.002813	-0.001498	-0.003635
123	-0.001827	-0.004621	-0.001498	-0.003306	-0.001334	-0.005771	-0.002484
124	-0.001169	-0.001827	0.000967	-0.001991	-0.001334	-0.004456	-0.005607
125	-0.002813	-0.004621	0.000803	-0.001169	-0.003963	-0.007415	-0.001498
