Ladekurvenmessung
Zeit: 2018_05_03 11.58.28
Info: FVA3, v = 1.47, T = 60, F = 20, h = 337.9
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15
29	-0.00347	0.002118	0.008692	-0.001991	-0.005771	0.00294	-0.046367	0.011815	-0.009223	0.000146	0.000639	-0.000183	0.01691	0.007706	-0.002155
30	-0.000676	0.000967	0.009185	-0.001662	-0.004785	-0.002155	-0.050476	0.012801	-0.011359	0.000639	-0.004785	-0.000347	0.018225	0.008035	-0.005278
31	0.003597	0.001625	0.009514	-0.005443	0.00146	-1.9e-05	-0.050641	0.012144	-0.011524	0.001954	-0.001334	-0.000676	0.005076	0.010171	-0.001498
32	0.001132	0.000967	0.011651	-0.000183	-0.00232	-0.001334	-0.051134	0.011158	-0.011031	0.001789	-0.001169	-0.001334	0.018554	0.010171	0.004583
33	0.001789	0.001296	0.008692	-0.001334	0.00294	0.000146	-0.0559	0.011322	-0.012017	-1.9e-05	-0.002155	0.000474	0.016417	0.010336	-0.001498
34	0.000639	0.000474	0.013623	0.001625	0.000146	-0.004949	-0.054421	0.010829	-0.009716	-0.005443	-0.000512	0.001132	0.019868	0.009678	0.000639
35	-0.001991	0.004583	0.014445	0.004583	0.005405	-0.00232	-0.057051	0.013294	-0.011688	-0.000676	-0.004785	-0.001662	0.018554	0.007213	0.000474
36	-0.001169	-0.000841	0.014445	0.002775	0.003268	-0.000512	-0.055736	0.013294	-0.011031	-0.000347	0.003597	0.002282	0.018718	0.008528	-0.001169
37	-0.001334	0.002282	0.015102	-0.002484	-0.001169	-0.002484	-0.057215	0.01313	-0.009387	-1.9e-05	-0.000347	-0.001498	0.016746	0.004583	0.003926
38	0.00031	0.000474	0.012472	-0.000512	-0.000512	-0.003635	-0.055736	0.01313	-0.008565	-0.00347	0.001296	0.000146	0.018389	0.006556	-0.002813
39	-0.000676	-0.000841	0.014445	-0.001498	-0.000512	-0.000676	-0.055571	0.012308	-0.010538	0.000639	-0.000347	-0.000512	0.015431	0.003761	0.000803
40	-0.003142	-0.000347	0.011979	0.002447	-0.001662	-0.001169	-0.063954	0.014116	-0.006429	-0.004456	-0.000183	0.001296	0.018389	0.004419	0.00031
41	-0.003799	-0.000347	0.013459	-0.006429	-0.001005	0.000639	-0.060009	0.014773	-0.010702	-0.002813	-0.001827	-0.002813	0.019868	0.000474	-0.001991
42	-0.007415	-0.001498	0.017403	-0.002155	-0.000512	0.000639	-0.056064	0.016581	-0.006593	0.000146	0.00146	-1.9e-05	0.016088	0.003597	0.000803
