Frequency,Z,?°
0.02 kHz,12.3994 m?,0.3336 °
0.04 kHz,12.4662 m?,0.5791 °
0.06 kHz,12.7445 m?,0.9965 °
0.08 kHz,12.4232 m?,1.5328 °
0.1 kHz,12.4782 m?,1.1851 °
0.12 kHz,12.4093 m?,1.3572 °
0.14 kHz,12.0646 m?,4.0007 °
0.16 kHz,11.9607 m?,4.6526 °
0.18 kHz,12.2177 m?,3.4639 °
0.2 kHz,12.4383 m?,2.3848 °
0.22 kHz,12.4437 m?,3.0117 °
0.24 kHz,12.475 m?,3.6876 °
0.26 kHz,12.4901 m?,3.9317 °
0.28 kHz,12.4729 m?,3.6784 °
0.3 kHz,12.4471 m?,3.509 °
0.32 kHz,12.4792 m?,3.599 °
0.34 kHz,12.4815 m?,3.7866 °
0.36 kHz,12.4671 m?,4.0068 °
0.38 kHz,12.4749 m?,4.2229 °
0.4 kHz,12.4675 m?,4.4527 °
0.42 kHz,12.475 m?,4.6783 °
0.44 kHz,12.4606 m?,4.852 °
0.46 kHz,12.4611 m?,5.1272 °
0.48 kHz,12.4782 m?,5.3311 °
0.5 kHz,12.4704 m?,5.6196 °
0.52 kHz,12.4821 m?,5.7674 °
0.54 kHz,12.4875 m?,6.0165 °
0.56 kHz,12.4873 m?,6.2437 °
0.58 kHz,12.4885 m?,6.5047 °
0.6 kHz,12.4883 m?,6.7725 °
0.62 kHz,12.4705 m?,6.9609 °
0.64 kHz,12.4576 m?,7.2002 °
0.66 kHz,12.4464 m?,7.3913 °
0.68 kHz,12.4472 m?,7.6431 °
0.7 kHz,12.4477 m?,7.9128 °
0.72 kHz,12.4612 m?,8.1033 °
0.74 kHz,12.4693 m?,8.3578 °
0.76 kHz,12.481 m?,8.5723 °
0.78 kHz,12.503 m?,8.82 °
0.8 kHz,12.5224 m?,9.0035 °
0.82 kHz,12.5295 m?,9.3014 °
0.84 kHz,12.5261 m?,9.509 °
0.86 kHz,12.5433 m?,9.7743 °
0.88 kHz,12.5461 m?,9.9898 °
0.9 kHz,12.5447 m?,10.1907 °
0.92 kHz,12.5645 m?,10.3672 °
0.94 kHz,12.5792 m?,10.591 °
0.96 kHz,12.5883 m?,10.82 °
0.98 kHz,12.5899 m?,11.0182 °
