Frequency,Z,?°
200 kHz,142.327 m?,82.4904 °
300 kHz,214.402 m?,83.6517 °
400 kHz,283.637 m?,83.0687 °
500 kHz,343.811 m?,82.343 °
600 kHz,404.649 m?,82.2492 °
700 kHz,465.017 m?,82.291 °
800 kHz,507.359 m?,81.7721 °
900 kHz,557.184 m?,81.2086 °
