Frequency,Z,?°
0.02 kHz,11.9909 m?,0.3721 °
0.04 kHz,12.0472 m?,0.7627 °
0.06 kHz,12.2461 m?,0.9923 °
0.08 kHz,11.9898 m?,1.4569 °
0.1 kHz,12.0474 m?,1.1458 °
0.12 kHz,11.9918 m?,1.2787 °
0.14 kHz,11.6501 m?,3.6622 °
0.16 kHz,11.5911 m?,4.6419 °
0.18 kHz,11.7822 m?,3.4275 °
0.2 kHz,12.0082 m?,2.3037 °
0.22 kHz,12.0196 m?,2.9564 °
0.24 kHz,12.0496 m?,3.6398 °
0.26 kHz,12.0509 m?,3.8372 °
0.28 kHz,12.0417 m?,3.5974 °
0.3 kHz,12.019 m?,3.3935 °
0.32 kHz,12.0411 m?,3.4931 °
0.34 kHz,12.0577 m?,3.6782 °
0.36 kHz,12.0458 m?,3.8761 °
0.38 kHz,12.0436 m?,4.0994 °
0.4 kHz,12.0462 m?,4.2808 °
0.42 kHz,12.0429 m?,4.516 °
0.44 kHz,12.0444 m?,4.7543 °
0.46 kHz,12.0425 m?,4.9176 °
0.48 kHz,12.0526 m?,5.1487 °
0.5 kHz,12.0424 m?,5.4605 °
0.52 kHz,12.059 m?,5.6339 °
0.54 kHz,12.0627 m?,5.8175 °
0.56 kHz,12.0618 m?,6.0758 °
0.58 kHz,12.0671 m?,6.3071 °
0.6 kHz,12.0634 m?,6.6358 °
0.62 kHz,12.052 m?,6.7878 °
0.64 kHz,12.0365 m?,6.9665 °
0.66 kHz,12.0238 m?,7.213 °
0.68 kHz,12.0187 m?,7.4274 °
0.7 kHz,12.0232 m?,7.6548 °
0.72 kHz,12.0328 m?,7.8772 °
0.74 kHz,12.0467 m?,8.1165 °
0.76 kHz,12.0631 m?,8.354 °
0.78 kHz,12.0795 m?,8.5773 °
0.8 kHz,12.097 m?,8.8062 °
0.82 kHz,12.1044 m?,9.1356 °
0.84 kHz,12.1013 m?,9.2723 °
0.86 kHz,12.1082 m?,9.5257 °
0.88 kHz,12.1112 m?,9.7444 °
0.9 kHz,12.1137 m?,9.9887 °
0.92 kHz,12.1239 m?,10.1792 °
0.94 kHz,12.1385 m?,10.3678 °
0.96 kHz,12.1372 m?,10.5646 °
0.98 kHz,12.1498 m?,10.8004 °
