Frequency,Z,?°
200 kHz,502.048 m?,90.2744 °
300 kHz,758.138 m?,90.2008 °
400 kHz,1.0133 ?,89.8573 °
500 kHz,1.2576 ?,89.4599 °
600 kHz,1.5057 ?,89.4265 °
700 kHz,1.7516 ?,89.4172 °
800 kHz,1.981 ?,89.3278 °
900 kHz,2.2152 ?,89.1494 °
