Frequency,Z,?°
1 kHz,16.2898 m?,3.6698 °
2 kHz,16.5386 m?,6.5 °
3 kHz,16.7779 m?,9.089 °
4 kHz,16.8683 m?,11.2557 °
5 kHz,17.2307 m?,14.7694 °
6 kHz,17.5635 m?,16.567 °
7 kHz,17.8614 m?,18.6386 °
8 kHz,18.0756 m?,20.8341 °
9 kHz,18.439 m?,22.5899 °
10 kHz,18.7227 m?,24.6871 °
11 kHz,19.0407 m?,26.5578 °
12 kHz,18.7486 m?,27.8831 °
13 kHz,19.5894 m?,28.4381 °
14 kHz,20.3562 m?,31.3853 °
15 kHz,21.0113 m?,34.2369 °
16 kHz,21.2284 m?,34.4751 °
17 kHz,21.5063 m?,35.7672 °
18 kHz,22.0612 m?,37.2022 °
19 kHz,22.0401 m?,38.7264 °
20 kHz,22.7731 m?,40.0789 °
21 kHz,23.2185 m?,41.4359 °
22 kHz,23.4382 m?,42.9874 °
23 kHz,23.9674 m?,44.4428 °
24 kHz,24.6158 m?,45.5251 °
25 kHz,25.3211 m?,47.5992 °
26 kHz,25.642 m?,48.1451 °
27 kHz,26.1181 m?,48.6808 °
28 kHz,26.5537 m?,49.3293 °
29 kHz,27.2921 m?,50.4835 °
30 kHz,28.1179 m?,51.4849 °
31 kHz,28.5056 m?,51.9186 °
32 kHz,29.1151 m?,52.3464 °
33 kHz,29.8517 m?,53.3494 °
34 kHz,29.9669 m?,54.0479 °
35 kHz,30.5909 m?,55.1678 °
36 kHz,31.2255 m?,55.1746 °
37 kHz,31.9068 m?,56.1353 °
38 kHz,32.5876 m?,57.0384 °
39 kHz,33.2033 m?,57.5736 °
40 kHz,34.231 m?,58.9235 °
41 kHz,35.0161 m?,60.4094 °
42 kHz,36.2828 m?,62.7926 °
43 kHz,37.1367 m?,64.6341 °
44 kHz,38.3447 m?,66.7617 °
45 kHz,40.0682 m?,68.3457 °
46 kHz,40.9383 m?,70.059 °
47 kHz,37.9064 m?,58.2834 °
48 kHz,38.6126 m?,59.8592 °
49 kHz,39.5002 m?,61.0288 °
50 kHz,40.208 m?,62.5885 °
51 kHz,40.8897 m?,63.2856 °
52 kHz,41.5533 m?,63.7668 °
53 kHz,41.7788 m?,64.0027 °
54 kHz,42.6732 m?,64.5382 °
55 kHz,43.1852 m?,64.7826 °
56 kHz,44.04 m?,64.9696 °
57 kHz,44.6408 m?,65.1562 °
58 kHz,45.0338 m?,65.7279 °
59 kHz,45.9309 m?,65.9796 °
60 kHz,46.3984 m?,66.0527 °
61 kHz,46.9574 m?,66.8501 °
62 kHz,47.834 m?,67.1761 °
63 kHz,48.2567 m?,67.5455 °
64 kHz,48.9516 m?,67.9989 °
65 kHz,49.4688 m?,68.5302 °
66 kHz,50.1899 m?,68.8575 °
67 kHz,50.7988 m?,69.4023 °
68 kHz,51.4744 m?,69.5774 °
69 kHz,51.7797 m?,70.0709 °
70 kHz,52.6083 m?,70.2626 °
71 kHz,53.3442 m?,70.4298 °
72 kHz,53.8692 m?,70.8698 °
73 kHz,54.4384 m?,71.1276 °
74 kHz,55.072 m?,71.2086 °
75 kHz,55.7544 m?,71.2089 °
76 kHz,56.3336 m?,71.5229 °
77 kHz,56.8815 m?,71.718 °
78 kHz,57.5169 m?,71.887 °
79 kHz,58.0445 m?,72.1494 °
80 kHz,58.6926 m?,72.0139 °
81 kHz,59.3648 m?,72.4343 °
82 kHz,60.0799 m?,72.574 °
83 kHz,60.6273 m?,72.7987 °
84 kHz,61.3798 m?,73.0248 °
85 kHz,62.2248 m?,73.3506 °
86 kHz,62.6817 m?,73.5977 °
87 kHz,63.6537 m?,73.6721 °
88 kHz,64.0985 m?,73.9247 °
89 kHz,64.8302 m?,74.0714 °
90 kHz,65.4659 m?,74.3558 °
91 kHz,66.3924 m?,74.4177 °
92 kHz,66.9216 m?,74.5979 °
93 kHz,67.5292 m?,74.7436 °
94 kHz,68.0345 m?,74.8211 °
95 kHz,68.9939 m?,74.9618 °
96 kHz,69.436 m?,75.1351 °
97 kHz,70.0579 m?,74.998 °
98 kHz,70.7601 m?,75.2234 °
99 kHz,71.2982 m?,75.3077 °
100 kHz,71.9309 m?,75.2755 °
