Frequency,Z,?°
1 kHz,14.8245 m?,8.4252 °
2 kHz,15.2859 m?,16.5017 °
3 kHz,16.0256 m?,24.023 °
4 kHz,16.889 m?,30.515 °
5 kHz,18.3046 m?,37.3249 °
6 kHz,19.6515 m?,42.3923 °
7 kHz,21.1564 m?,46.5674 °
8 kHz,22.7755 m?,50.6004 °
9 kHz,24.5113 m?,53.662 °
10 kHz,26.3448 m?,56.6741 °
11 kHz,27.2668 m?,59.909 °
12 kHz,29.8992 m?,61.9442 °
13 kHz,31.8951 m?,63.3149 °
14 kHz,34.0712 m?,65.3134 °
15 kHz,35.9003 m?,66.0649 °
16 kHz,38.006 m?,67.4468 °
17 kHz,40.2049 m?,68.9105 °
18 kHz,41.0932 m?,70.7288 °
19 kHz,44.1166 m?,70.6829 °
20 kHz,45.8767 m?,71.7984 °
21 kHz,47.9851 m?,72.7523 °
22 kHz,49.5811 m?,74.1168 °
23 kHz,51.8139 m?,74.6485 °
24 kHz,53.8104 m?,75.8106 °
25 kHz,56.3996 m?,76.2878 °
26 kHz,58.243 m?,76.8102 °
27 kHz,59.9387 m?,77.2416 °
28 kHz,62.5543 m?,77.611 °
29 kHz,64.6372 m?,78.3213 °
30 kHz,66.9946 m?,78.3099 °
31 kHz,69.0567 m?,78.848 °
32 kHz,71.6119 m?,79.164 °
33 kHz,73.2879 m?,79.5132 °
34 kHz,75.504 m?,80.1661 °
35 kHz,77.5388 m?,80.5217 °
36 kHz,79.6239 m?,81.012 °
37 kHz,81.9136 m?,81.3261 °
38 kHz,84.6236 m?,81.5958 °
39 kHz,86.5207 m?,81.82 °
40 kHz,88.8154 m?,81.9081 °
41 kHz,92.1019 m?,82.6778 °
42 kHz,94.9933 m?,83.2799 °
43 kHz,97.749 m?,84.1767 °
44 kHz,94.9657 m?,80.4944 °
45 kHz,97.2237 m?,80.9927 °
46 kHz,100.229 m?,81.5738 °
47 kHz,102.837 m?,82.1882 °
48 kHz,105.296 m?,82.7681 °
49 kHz,107.969 m?,83.1839 °
50 kHz,110.694 m?,83.7287 °
51 kHz,112.851 m?,83.8237 °
52 kHz,115.315 m?,84.0308 °
53 kHz,117.3 m?,84.2672 °
54 kHz,119.505 m?,84.4075 °
55 kHz,121.788 m?,84.4932 °
56 kHz,123.872 m?,84.6167 °
57 kHz,125.926 m?,84.7183 °
58 kHz,128.476 m?,84.9683 °
59 kHz,130.808 m?,84.9778 °
60 kHz,132.883 m?,85.1038 °
61 kHz,135.277 m?,85.2167 °
62 kHz,137.424 m?,85.4448 °
63 kHz,139.807 m?,85.6241 °
64 kHz,142.026 m?,85.8301 °
65 kHz,144.423 m?,86.0537 °
66 kHz,146.402 m?,86.0602 °
67 kHz,148.929 m?,86.2787 °
68 kHz,150.925 m?,86.3581 °
69 kHz,153.138 m?,86.4613 °
70 kHz,155.56 m?,86.558 °
71 kHz,157.693 m?,86.483 °
72 kHz,160.09 m?,86.711 °
73 kHz,162.125 m?,86.89 °
74 kHz,164.353 m?,86.9058 °
75 kHz,166.721 m?,86.9801 °
76 kHz,168.828 m?,87.0163 °
77 kHz,171.073 m?,87.0905 °
78 kHz,173.406 m?,87.1675 °
79 kHz,175.557 m?,87.1729 °
80 kHz,177.775 m?,87.1808 °
81 kHz,180.019 m?,87.3582 °
82 kHz,182.484 m?,87.4601 °
83 kHz,184.579 m?,87.4601 °
84 kHz,186.962 m?,87.5581 °
85 kHz,189.507 m?,87.6653 °
86 kHz,191.686 m?,87.7129 °
87 kHz,194.122 m?,87.7609 °
88 kHz,196.517 m?,87.8102 °
89 kHz,198.764 m?,87.8208 °
90 kHz,201.072 m?,87.9052 °
91 kHz,202.977 m?,87.8972 °
92 kHz,205.656 m?,87.9517 °
93 kHz,208.032 m?,87.9927 °
94 kHz,210.326 m?,88.0735 °
95 kHz,212.245 m?,88.0958 °
96 kHz,214.656 m?,88.0991 °
97 kHz,216.931 m?,88.0957 °
98 kHz,219.208 m?,88.1874 °
99 kHz,221.244 m?,88.2153 °
100 kHz,223.632 m?,88.1515 °
