Frequency,Z,?°
0.02 kHz,14.7182 m?,0.2178 °
0.04 kHz,14.7688 m?,0.4433 °
0.06 kHz,15.0662 m?,0.7678 °
0.08 kHz,14.7397 m?,1.1945 °
0.1 kHz,14.7909 m?,0.908 °
0.12 kHz,14.7188 m?,1.042 °
0.14 kHz,14.3533 m?,3.2195 °
0.16 kHz,14.3119 m?,3.686 °
0.18 kHz,14.5146 m?,2.7515 °
0.2 kHz,14.7449 m?,1.819 °
0.22 kHz,14.7433 m?,2.3311 °
0.24 kHz,14.7721 m?,2.9163 °
0.26 kHz,14.7913 m?,3.053 °
0.28 kHz,14.7633 m?,2.8586 °
0.3 kHz,14.7395 m?,2.6223 °
0.32 kHz,14.7645 m?,2.6992 °
0.34 kHz,14.7644 m?,2.8579 °
0.36 kHz,14.7623 m?,3.0359 °
0.38 kHz,14.7554 m?,3.2186 °
0.4 kHz,14.7491 m?,3.3199 °
0.42 kHz,14.7478 m?,3.4967 °
0.44 kHz,14.743 m?,3.6362 °
0.46 kHz,14.7501 m?,3.8118 °
0.48 kHz,14.7423 m?,4.0204 °
0.5 kHz,14.7367 m?,4.2362 °
0.52 kHz,14.7503 m?,4.3488 °
0.54 kHz,14.7524 m?,4.5034 °
0.56 kHz,14.7579 m?,4.6756 °
0.58 kHz,14.7562 m?,4.8828 °
0.6 kHz,14.7564 m?,5.1133 °
0.62 kHz,14.7309 m?,5.2714 °
0.64 kHz,14.7227 m?,5.4041 °
0.66 kHz,14.713 m?,5.536 °
0.68 kHz,14.6987 m?,5.7035 °
0.7 kHz,14.6977 m?,5.9083 °
0.72 kHz,14.7201 m?,6.0668 °
0.74 kHz,14.7196 m?,6.2984 °
0.76 kHz,14.7412 m?,6.4294 °
0.78 kHz,14.7616 m?,6.6444 °
0.8 kHz,14.78 m?,6.7896 °
0.82 kHz,14.7763 m?,6.9688 °
0.84 kHz,14.7854 m?,7.1516 °
0.86 kHz,14.7837 m?,7.3217 °
0.88 kHz,14.787 m?,7.4772 °
0.9 kHz,14.7957 m?,7.666 °
0.92 kHz,14.7952 m?,7.8388 °
0.94 kHz,14.8118 m?,7.9702 °
0.96 kHz,14.8078 m?,8.135 °
0.98 kHz,14.8159 m?,8.2912 °
