Frequency,Z,?°
1 kHz,12.1591 m?,11.0076 °
2 kHz,12.7823 m?,21.4436 °
3 kHz,13.7837 m?,30.7881 °
4 kHz,14.9553 m?,38.597 °
5 kHz,16.8096 m?,46.0767 °
6 kHz,18.5077 m?,51.0158 °
7 kHz,20.4089 m?,55.2926 °
8 kHz,22.4152 m?,59.1793 °
9 kHz,24.5166 m?,61.8152 °
10 kHz,26.6582 m?,64.5633 °
11 kHz,28.8468 m?,67.7812 °
12 kHz,30.3149 m?,68.0142 °
13 kHz,33.2537 m?,69.5015 °
14 kHz,35.5905 m?,70.6619 °
15 kHz,37.8704 m?,72.3664 °
16 kHz,40.23 m?,73.6131 °
17 kHz,42.107 m?,74.3995 °
18 kHz,44.7439 m?,75.4195 °
19 kHz,46.4765 m?,75.7062 °
20 kHz,49.3011 m?,77.4285 °
21 kHz,50.9839 m?,77.925 °
22 kHz,53.4205 m?,78.8682 °
23 kHz,56.114 m?,79.6956 °
24 kHz,58.7126 m?,80.3168 °
25 kHz,61.0658 m?,80.3252 °
26 kHz,63.2855 m?,80.8259 °
27 kHz,65.5024 m?,81.325 °
28 kHz,67.9754 m?,81.5137 °
29 kHz,70.5454 m?,81.6707 °
30 kHz,72.9988 m?,82.1059 °
31 kHz,75.5129 m?,82.0389 °
32 kHz,77.8457 m?,82.4659 °
33 kHz,79.8525 m?,82.8343 °
34 kHz,82.481 m?,83.1441 °
35 kHz,84.6425 m?,83.5431 °
36 kHz,87.1808 m?,83.9744 °
37 kHz,89.7108 m?,84.0101 °
38 kHz,92.2826 m?,84.4902 °
39 kHz,94.8244 m?,84.2609 °
40 kHz,97.4428 m?,84.6428 °
41 kHz,100.876 m?,85.3743 °
42 kHz,103.94 m?,85.8879 °
43 kHz,107.442 m?,86.2776 °
44 kHz,104.362 m?,83.1026 °
45 kHz,107.132 m?,83.4376 °
46 kHz,109.497 m?,83.9456 °
47 kHz,112.913 m?,84.5163 °
48 kHz,115.771 m?,84.9424 °
49 kHz,118.696 m?,85.375 °
50 kHz,121.494 m?,85.5998 °
51 kHz,124.097 m?,85.8685 °
52 kHz,126.588 m?,86.0147 °
53 kHz,128.824 m?,86.1847 °
54 kHz,131.341 m?,86.2392 °
55 kHz,133.751 m?,86.3855 °
56 kHz,136.523 m?,86.5319 °
57 kHz,138.712 m?,86.4714 °
58 kHz,141.027 m?,86.5934 °
59 kHz,143.651 m?,86.6486 °
60 kHz,145.908 m?,86.6817 °
61 kHz,148.398 m?,86.9342 °
62 kHz,151.071 m?,86.9808 °
63 kHz,153.627 m?,87.0851 °
64 kHz,156.377 m?,87.2667 °
65 kHz,158.616 m?,87.4112 °
66 kHz,160.96 m?,87.5073 °
67 kHz,163.534 m?,87.6701 °
68 kHz,166.1 m?,87.7257 °
69 kHz,168.682 m?,87.7425 °
70 kHz,170.978 m?,87.912 °
71 kHz,173.657 m?,87.8749 °
72 kHz,176.05 m?,88.0268 °
73 kHz,178.216 m?,88.0421 °
74 kHz,180.771 m?,88.0944 °
75 kHz,183.326 m?,88.1738 °
76 kHz,185.674 m?,88.2414 °
77 kHz,188.217 m?,88.227 °
78 kHz,190.665 m?,88.2971 °
79 kHz,193.094 m?,88.3643 °
80 kHz,195.581 m?,88.2828 °
81 kHz,197.917 m?,88.3808 °
82 kHz,200.732 m?,88.4523 °
83 kHz,203.169 m?,88.4825 °
84 kHz,205.712 m?,88.5563 °
85 kHz,208.397 m?,88.6082 °
86 kHz,210.615 m?,88.6418 °
87 kHz,213.705 m?,88.6782 °
88 kHz,216.009 m?,88.7462 °
89 kHz,218.515 m?,88.7457 °
90 kHz,220.993 m?,88.8138 °
91 kHz,223.319 m?,88.8181 °
92 kHz,225.997 m?,88.87 °
93 kHz,228.573 m?,88.9091 °
94 kHz,230.772 m?,88.9001 °
95 kHz,233.506 m?,88.9258 °
96 kHz,235.741 m?,88.9399 °
97 kHz,238.614 m?,88.959 °
98 kHz,240.981 m?,89.0106 °
99 kHz,243.467 m?,88.9784 °
100 kHz,245.788 m?,89.0178 °
